"Squad","Total_Goals_Scored","Total_Goals_Conceded","Goal_Difference","Home_Goals_Scored","Home_Goals_Conceded","Home_Goal_Difference","Away_Goals_Scored","Away_Goals_Conceded","Away_Goal_Difference","Assists","Goals+Assists","Penalty_Attempted","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Arsenal",61,48,13,35,17,18,26,31,-5,41,101,8,5,581,186,32,0.09,0.3,17.8,21,1030,788,242,99,69,30
"Aston Villa",52,54,-2,29,29,0,23,25,-2,42,92,3,3,461,159,34.5,0.1,0.3,17.6,20,837,608,229,93,65,28
"Brentford",48,56,-8,22,21,1,26,35,-9,33,79,6,6,436,141,32.3,0.09,0.28,16.3,11,739,487,252,78,46,32
"Brighton",42,44,-2,19,23,-4,23,21,2,30,70,7,4,482,141,29.3,0.07,0.26,17.7,15,870,630,240,72,49,23
"Burnley",34,53,-19,18,25,-7,16,28,-12,26,58,2,1,405,119,29.4,0.08,0.26,17.2,14,674,455,219,60,39,21
"Chelsea",76,33,43,37,22,15,39,11,28,52,127,9,8,583,200,34.3,0.11,0.34,17.4,26,1064,818,246,135,97,38
"Crystal Palace",50,46,4,27,17,10,23,29,-6,31,81,8,6,404,140,34.7,0.11,0.31,16.1,13,711,500,211,81,53,28
"Everton",43,66,-23,27,25,2,16,41,-25,29,71,7,6,430,130,30.2,0.08,0.28,17.7,18,742,533,209,68,46,22
"Leeds United",42,79,-37,19,38,-19,23,41,-18,26,68,5,5,480,142,29.6,0.08,0.26,18.3,13,825,589,236,66,36,30
"Leicester City",62,59,3,34,23,11,28,36,-8,46,108,2,2,433,164,37.9,0.14,0.37,17.8,14,745,566,179,105,81,24
"Liverpool",94,26,68,49,9,40,45,17,28,71,165,8,7,721,237,32.9,0.12,0.37,16.7,13,1249,912,337,163,121,42
"Manchester City",99,26,73,58,15,43,41,11,30,63,159,9,7,704,237,33.7,0.13,0.38,16.3,17,1286,997,289,158,112,46
"Manchester Utd",57,57,0,32,22,10,25,35,-10,46,102,5,3,503,179,35.6,0.11,0.3,17.7,19,917,706,211,104,77,27
"Newcastle Utd",44,62,-18,26,27,-1,18,35,-17,23,64,3,3,446,142,31.8,0.09,0.27,18.1,15,758,504,254,70,46,24
"Norwich City",23,84,-61,12,43,-31,11,41,-30,16,37,3,3,370,104,28.1,0.05,0.17,19,18,637,435,202,35,27,8
"Southampton",43,67,-24,23,24,-1,20,43,-23,26,67,4,4,478,161,33.7,0.08,0.23,17.7,24,814,585,229,71,44,27
"Tottenham",69,40,29,38,19,19,31,21,10,50,113,5,5,486,185,38.1,0.12,0.31,16.7,16,882,678,204,117,95,22
"Watford",34,77,-43,17,46,-29,17,31,-14,26,59,2,1,397,123,31,0.08,0.26,18.1,24,693,475,218,57,36,21
"West Ham",60,51,9,33,26,7,27,25,2,46,104,6,4,443,142,32.1,0.12,0.38,16.6,13,770,569,201,102,72,30
"Wolves",38,43,-5,20,25,-5,18,18,0,22,57,1,1,401,133,33.2,0.08,0.26,18.6,13,692,496,196,58,37,21
