"Squad","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Arsenal",69,3,2,5,375
"Aston Villa",83,1,0,1,512
"Brentford",50,3,0,3,377
"Brighton",80,0,0,0,373
"Burnley",44,0,0,0,339
"Chelsea",69,4,1,5,406
"Crystal Palace",74,3,2,5,499
"Everton",72,0,0,0,400
"Leeds United",74,3,3,6,386
"Leicester City",60,0,0,0,406
"Liverpool",63,3,0,3,311
"Manchester City",68,3,2,5,342
"Manchester Utd",48,1,0,1,333
"Newcastle Utd",75,3,0,3,382
"Norwich City",62,2,1,3,445
"Southampton",64,1,1,2,377
"Tottenham",83,6,4,10,411
"Watford",64,1,1,2,364
"West Ham",49,3,1,4,294
"Wolves",90,3,3,6,355
