"Squad","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Arsenal",61,131,71.1,11,28.9,3,37.5
"Aston Villa",52,112,69.8,8,21.1,0,0
"Brentford",48,101,71.4,12,31.6,0,0
"Brighton",42,105,74,13,34.2,1,20
"Burnley",34,88,72.5,16,42.1,0,0
"Chelsea",76,133,67.5,4,10.5,1,11.1
"Crystal Palace",50,96,70.1,11,28.9,1,14.3
"Everton",43,94,72.8,12,31.6,0,0
"Leeds United",42,105,74.8,13,34.2,0,0
"Leicester City",62,104,63.9,6,15.8,0,0
"Liverpool",94,150,64.5,1,2.6,1,12.5
"Manchester City",99,148,62.6,4,10.5,2,22.2
"Manchester Utd",57,126,70.3,9,23.7,0,0
"Newcastle Utd",44,104,71.7,9,23.7,0,0
"Norwich City",23,86,81.3,22,57.9,0,0
"Southampton",43,124,76.4,9,23.7,0,0
"Tottenham",69,127,66.3,10,26.3,0,0
"Watford",34,91,73.6,18,47.4,1,50
"West Ham",60,88,62.2,8,21.1,2,33.3
"Wolves",38,99,72.4,16,42.1,0,0
