"Squad","Total_Goals_Scored","Total_Goals_Conceded","Assists","Goals+Assists","Penalty_Attempts","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Arsenal",48,61,33,80,6,5,419,142,33.9,0.1,0.3,17.6,16,762,577,185,78,57,21
"Aston Villa",54,52,35,87,6,4,471,144,30.6,0.1,0.33,17.4,22,827,576,251,91,63,28
"Brentford",56,48,41,95,5,5,498,174,34.9,0.1,0.28,18.2,22,876,659,217,97,73,24
"Brighton",44,42,34,78,4,3,472,143,30.3,0.09,0.29,18.6,21,824,612,212,77,49,28
"Burnley",53,34,36,87,5,5,598,173,28.9,0.08,0.27,17.7,16,1064,804,260,92,75,17
"Chelsea",33,76,20,52,6,6,335,109,32.5,0.08,0.24,18.1,11,587,407,180,53,34,19
"Crystal Palace",46,50,30,74,4,3,439,140,31.9,0.09,0.29,17.9,20,759,535,224,74,47,27
"Everton",66,43,46,107,2,2,520,186,35.8,0.11,0.32,17.7,19,922,650,272,104,65,39
"Leeds United",79,42,59,137,5,5,576,219,38,0.13,0.33,17.3,23,1005,711,294,134,97,37
"Leicester City",59,62,36,94,9,7,556,183,32.9,0.09,0.28,16.4,15,970,669,301,97,55,42
"Liverpool",26,94,18,43,0,0,297,107,36,0.08,0.23,17.2,14,518,386,132,46,32,14
"Manchester City",26,99,23,49,1,1,236,84,35.6,0.11,0.3,17.2,9,392,286,106,49,38,11
"Manchester Utd",57,57,41,95,5,3,506,175,34.6,0.1,0.29,17.7,14,859,594,265,89,64,25
"Newcastle Utd",62,44,43,103,6,5,524,159,30.3,0.1,0.35,17.6,23,936,676,260,106,76,30
"Norwich City",84,23,57,139,12,9,619,212,34.2,0.12,0.34,16.9,16,1091,798,293,138,100,38
"Southampton",67,43,47,112,2,2,493,181,36.7,0.13,0.35,16.2,11,853,646,207,110,76,34
"Tottenham",40,69,29,68,2,2,490,135,27.6,0.08,0.27,17.6,11,867,612,255,72,54,18
"Watford",77,34,56,130,7,6,554,181,32.7,0.12,0.38,16.9,16,961,717,244,130,93,37
"West Ham",51,60,38,87,6,2,542,160,29.5,0.09,0.29,17.5,15,973,769,204,86,61,25
"Wolves",43,38,23,65,10,9,499,158,31.7,0.07,0.21,17.4,23,889,647,242,69,39,30
