"Squad","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Arsenal",608,339,55.7565789473684,590,590,45.9,427,164,263,364,737,18
"Aston Villa",598,343,57.3578595317726,587,587,43.3,356,127,229,339,743,6
"Brentford",505,285,56.4356435643564,476,476,45,423,132,291,381,830,12
"Brighton",591,358,60.575296108291,559,559,43.3,481,140,341,389,752,8
"Burnley",512,306,59.765625,479,479,46.1,369,104,265,280,853,9
"Chelsea",643,356,55.3654743390358,624,624,41.7,487,169,318,376,793,12
"Crystal Palace",776,440,56.701030927835,687,687,44.4,386,110,276,378,712,16
"Everton",620,336,54.1935483870968,632,632,46.7,443,146,297,333,653,6
"Leeds United",614,351,57.1661237785016,655,655,48.2,459,138,321,398,735,20
"Leicester City",618,370,59.8705501618123,547,547,45.7,455,117,338,400,630,13
"Liverpool",657,350,53.2724505327245,634,634,45.9,542,212,330,487,999,18
"Manchester City",632,359,56.8037974683544,741,741,42.6,509,209,300,374,909,24
"Manchester Utd",596,347,58.2214765100671,631,631,41.7,468,143,325,430,686,17
"Newcastle Utd",632,364,57.5949367088608,632,632,43.2,373,120,253,268,665,12
"Norwich City",596,363,60.9060402684564,581,581,48.7,382,115,267,330,586,13
"Southampton",640,357,55.78125,624,624,43.9,438,137,301,349,820,18
"Tottenham",632,369,58.3860759493671,666,666,43.7,419,135,284,368,676,10
"Watford",745,438,58.7919463087248,751,751,47.4,377,93,284,347,608,15
"West Ham",533,324,60.7879924953096,545,545,43.9,408,133,275,337,776,9
"Wolves",662,388,58.6102719033233,771,771,41.6,404,108,296,383,630,14
