"Squad","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Arsenal",540,311,57.5925925925926,500,500,48.8,386,123,263,296,658,20
"Aston Villa",634,382,60.2523659305994,649,649,46.2,453,140,313,339,693,13
"Brentford",607,342,56.3426688632619,616,616,47.2,383,113,270,393,863,7
"Brighton",668,403,60.3293413173653,563,563,43.2,480,150,330,358,723,12
"Burnley",590,324,54.9152542372881,534,534,46.8,509,211,298,410,887,18
"Chelsea",621,348,56.0386473429952,567,567,45.3,408,96,312,347,641,15
"Crystal Palace",637,374,58.712715855573,575,575,47.5,452,135,317,333,761,5
"Everton",705,402,57.0212765957447,735,735,45.7,496,140,356,365,815,15
"Leeds United",787,437,55.5273189326557,886,886,46,473,143,330,395,621,15
"Leicester City",690,384,55.6521739130435,720,720,42.5,469,146,323,367,777,15
"Liverpool",554,320,57.7617328519856,576,576,40.5,359,74,285,340,523,8
"Manchester City",498,284,57.0281124497992,509,509,44.6,267,55,212,279,403,7
"Manchester Utd",585,358,61.1965811965812,608,608,43.6,404,133,271,340,704,20
"Newcastle Utd",659,383,58.1183611532625,641,641,47.4,420,162,258,360,776,14
"Norwich City",614,368,59.9348534201954,714,714,41.6,450,180,270,381,860,14
"Southampton",602,340,56.4784053156146,581,581,42.7,430,132,298,446,795,13
"Tottenham",598,349,58.3612040133779,584,584,44.9,470,161,309,355,793,15
"Watford",614,356,57.9804560260586,626,626,44.4,440,148,292,444,899,19
"West Ham",534,301,56.3670411985019,557,557,43.1,420,175,245,374,781,5
"Wolves",673,377,56.0178306092125,671,671,40.7,437,135,302,389,820,20
