"Squad","Progression_Carries","Progression_Passes","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Possession","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Arsenal",556,1191,14226,18005,79,6562,7418,88.5,1365,2710,50.4,5816,6793,85.6,16238,1703,401,49,102,606,744,175,64,46.8,21955,500,256,51.2,244,48.8
"Aston Villa",741,1514,15222,19079,79.8,6575,7465,88.1,1718,2960,58,6449,7500,86,17229,1811,424,48,233,685,815,220,39,53.5,23096,649,349,53.8,300,46.2
"Brentford",734,1523,15770,20238,77.9,7861,8970,87.6,1434,2945,48.7,5946,7075,84,18429,1738,405,73,104,812,774,229,71,55.5,24462,616,325,52.8,291,47.2
"Brighton",642,1263,13304,17380,76.5,6148,7119,86.4,1321,2648,49.9,5425,6514,83.3,15605,1733,417,36,113,680,740,211,42,45.3,21578,564,320,56.7,243,43.1
"Burnley",865,1711,16821,21508,78.2,8023,9188,87.3,1592,3140,50.7,6678,7936,84.1,19529,1925,473,44,168,861,846,265,54,60.2,25638,534,284,53.2,250,46.8
"Chelsea",495,1004,11678,15424,75.7,5484,6336,86.6,1187,2493,47.6,4597,5508,83.5,13651,1706,451,63,90,533,697,151,67,37.7,19624,567,310,54.7,257,45.3
"Crystal Palace",563,1402,14264,18471,77.2,6523,7559,86.3,1503,2862,52.5,5776,6884,83.9,16628,1790,453,42,130,664,825,184,53,49.1,22794,575,302,52.5,273,47.5
"Everton",735,1799,18019,22270,80.9,8044,9158,87.8,1610,2872,56.1,7922,9036,87.7,20390,1837,397,44,129,719,859,219,43,60.3,26579,735,399,54.3,336,45.7
"Leeds United",700,1359,13019,17052,76.3,5810,6807,85.4,1383,2657,52.1,5455,6544,83.4,15102,1897,498,100,92,568,829,181,53,47.5,21610,886,478,54,408,46
"Leicester City",732,1496,14828,18823,78.8,6675,7635,87.4,1512,2798,54,6259,7300,85.7,17017,1733,391,63,150,738,788,218,73,47.9,23094,720,414,57.5,306,42.5
"Liverpool",469,912,11072,15214,72.8,5182,6086,85.1,1287,2809,45.8,4238,5248,80.8,13387,1683,403,89,105,460,678,117,144,36.7,19789,577,343,59.4,233,40.4
"Manchester City",392,757,9984,13251,75.3,4365,5046,86.5,1104,2399,46,4222,4971,84.9,11640,1517,376,50,89,397,493,108,94,31.5,17313,509,282,55.4,227,44.6
"Manchester Utd",672,1404,15051,18933,79.5,7180,8073,88.9,1373,2712,50.6,6013,7001,85.9,17152,1709,462,61,139,648,668,207,72,47.1,23079,608,343,56.4,265,43.6
"Newcastle Utd",774,1725,17236,21214,81.2,8392,9334,89.9,1472,2768,53.2,6907,8022,86.1,19431,1725,433,72,125,685,764,190,58,60.1,25217,641,337,52.6,304,47.4
"Norwich City",822,1773,17698,21657,81.7,8331,9312,89.5,1671,2885,57.9,7126,8252,86.4,19892,1709,380,77,162,793,784,251,56,57.5,25642,714,417,58.4,297,41.6
"Southampton",647,1497,14361,18812,76.3,6549,7740,84.6,1499,2833,52.9,5804,7009,82.8,16984,1763,422,41,109,721,817,197,65,52.1,23224,581,333,57.3,248,42.7
"Tottenham",653,1443,15570,19252,80.9,6902,7766,88.9,1575,2812,56,6689,7670,87.2,17557,1652,434,39,130,740,680,192,43,48,23287,585,322,55,262,44.8
"Watford",744,1742,17339,21809,79.5,7667,8781,87.3,1713,3083,55.6,7477,8759,85.4,19879,1875,469,69,174,801,850,234,55,59.7,25989,627,348,55.5,278,44.3
"West Ham",845,1536,16243,20172,80.5,7672,8611,89.1,1391,2684,51.8,6637,7768,85.4,18525,1612,361,50,92,758,651,200,35,52.2,24232,557,317,56.9,240,43.1
"Wolves",780,1520,15751,19655,80.1,7523,8446,89.1,1355,2541,53.3,6393,7494,85.3,17914,1656,391,84,111,721,745,204,85,50.4,23724,671,398,59.3,273,40.7
