"Player","Squad","Nation","Pos","Pos2","Age","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Dickson Abiama","Greuther Fürth","NGA","FW",NA,22,3,0,0,0,17
"Ragnar Ache","Eint Frankfurt","GER","MF","FW",23,0,0,0,0,5
"Tyler Adams","RB Leipzig","USA","MF",NA,22,5,0,0,0,19
"Sargis Adamyan","Hoffenheim","ARM","FW","MF",28,0,0,0,0,5
"Amine Adli","Leverkusen","MAR","FW","MF",21,3,0,0,0,27
"Naouirou Ahamada","Stuttgart","FRA","MF","DF",19,0,0,0,0,2
"Manuel Akanji","Dortmund","SUI","DF",NA,26,3,0,0,0,19
"Kevin Akpoguma","Hoffenheim","NGA","DF","FW",26,5,0,0,0,25
"Lucas Alario","Leverkusen","ARG","FW",NA,28,2,0,0,0,8
"Nadiem Amiri","Leverkusen","GER","MF","FW",24,0,0,0,0,2
"Sebastian Andersson","Köln","SWE","FW",NA,30,3,0,0,0,23
"Andrés Andrade Cedeño","Arminia","PAN","DF",NA,22,4,0,0,0,14
"Fredrik André Bjørkan","Hertha BSC","NOR","DF",NA,22,1,0,0,0,3
"Robert Andrich","Leverkusen","GER","MF",NA,26,5,1,0,1,40
"Angeliño","RB Leipzig","ESP","DF",NA,24,3,0,0,0,15
"Waldemar Anton","Stuttgart","GER","DF",NA,25,6,1,0,1,29
"Christopher Antwi-Adjei","Bochum","GHA","FW","MF",27,2,0,0,0,15
"Charles Aránguiz","Leverkusen","CHI","MF",NA,32,2,0,0,0,26
"Maximilian Arnold","Wolfsburg","GER","MF",NA,27,4,0,0,0,47
"Takuma Asano","Bochum","JPN","FW","MF",26,1,0,0,0,17
"Santiago Ascacíbar","Hertha BSC","ARG","MF",NA,24,5,0,0,0,35
"Simon Asta","Greuther Fürth","GER","DF",NA,20,1,0,0,0,13
"Taiwo Awoniyi","Union Berlin","NGA","FW",NA,23,1,0,0,0,25
"Sardar Azmoun","Leverkusen","IRN","FW","MF",26,0,0,0,0,8
"Mitchel Bakker","Leverkusen","NED","DF",NA,21,6,0,0,0,15
"Ridle Baku","Wolfsburg","GER","DF","FW",23,4,0,0,0,28
"Aymen Barkok","Eint Frankfurt","MAR","MF","DF",23,0,0,0,0,4
"Leandro Barreiro Martins","Mainz 05","LUX","MF",NA,21,3,0,0,0,41
"Jacob Barrett Laursen","Arminia","DEN","DF",NA,26,1,0,0,0,12
"Abdourahmane Barry","Greuther Fürth","GUI","DF",NA,21,2,0,0,0,9
"Maximilian Bauer","Greuther Fürth","GER","DF",NA,21,5,0,0,0,26
"Oliver Baumann","Hoffenheim","GER","GK",NA,31,1,0,0,0,0
"Timo Baumgartl","Union Berlin","GER","DF",NA,25,5,0,0,0,24
"Julian Baumgartlinger","Leverkusen","AUT","MF","FW",33,1,0,0,0,2
"Christoph Baumgartner","Hoffenheim","AUT","MF","FW",21,5,0,0,0,37
"Noah Joel Sarenren Bazee","Augsburg","NGA","MF","FW",24,1,0,0,0,6
"Ihlas Bebou","Hoffenheim","TOG","FW","DF",27,0,0,0,0,26
"Sheraldo Becker","Union Berlin","SUR","FW","MF",26,4,0,0,0,26
"Kevin Behrens","Union Berlin","GER","FW",NA,30,1,0,0,0,15
