"Player","Squad","Nation","Pos","Pos2","Age","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Nabil Aberdin","Getafe","FRA","DF",NA,20,0,0,0,0,1
"Abner","Betis","BRA","DF",NA,23,3,0,0,0,16
"Abdel Abqar","Alavés","MAR","DF",NA,24,10,0,0,0,33
"Marcos Acuña","Sevilla","ARG","DF",NA,31,7,0,0,0,18
"Julen Agirrezabala","Athletic Club","ESP","GK",NA,22,0,0,0,0,0
"Lucien Agoume","Sevilla","FRA","MF",NA,21,3,0,0,0,19
"Joseph Aidoo","Celta Vigo","GHA","DF",NA,27,0,0,0,0,4
"Ilias Akhomach","Villarreal","MAR","MF","FW",19,4,0,0,0,41
"Sergio Akieme","Almería","ESP","DF",NA,25,2,0,0,0,18
"David Alaba","Real Madrid","AUT","DF",NA,31,2,0,0,0,4
"Raúl Albiol","Villarreal","ESP","DF",NA,37,6,0,0,0,21
"Rubén Alcaraz","Cádiz","ESP","MF",NA,32,14,0,0,0,84
"Omar Alderete","Getafe","PAR","DF",NA,26,8,1,0,1,34
"Iván Alejo","Cádiz","ESP","MF",NA,28,17,0,0,0,49
"Carles Aleñá","Getafe","ESP","MF",NA,25,6,0,0,0,22
"Mohamed Ali Cho","Real Sociedad","FRA","FW","MF",19,0,0,0,0,5
"Tadeo Allende","Celta Vigo","ARG","MF","FW",24,1,0,0,0,2
"Domingos André Ribeiro Almeida","Valencia","POR","FW","MF",23,0,0,0,0,12
"Marcos Alonso","Barcelona","ESP","DF",NA,32,0,0,0,0,7
"Adrià Altimira","Villarreal","ESP","DF","MF",22,3,0,0,0,12
"Sergi Altimira","Betis","ESP","MF",NA,21,1,0,0,0,8
"Gastón Álvarez","Getafe","URU","DF",NA,23,7,0,0,0,43
"Hugo Álvarez","Celta Vigo","ESP","MF","DF",20,1,0,0,0,9
"Yeray Álvarez","Athletic Club","ESP","DF",NA,28,1,1,0,1,15
"Selim Amallah","Valencia","MAR","FW","MF",26,5,1,1,2,21
"Amath","Mallorca","SEN","FW","MF",27,2,0,0,0,10
"Miguel Ángel Rubio","Granada","ESP","DF",NA,25,5,0,0,0,20
"Fabrizio Angileri","Getafe","ARG","DF","MF",29,2,1,0,1,1
"Mauro Arambarri","Getafe","URU","MF",NA,27,2,0,0,0,18
"Jon Aramburu","Real Sociedad","VEN","DF",NA,21,3,0,0,0,11
"Julian Araujo","Las Palmas","MEX","DF",NA,21,5,0,0,0,13
"Ronald Araújo","Barcelona","URU","DF",NA,24,6,0,0,0,25
"Adu Ares","Athletic Club","ESP","FW",NA,21,2,0,0,0,5
"Jesús Areso","Osasuna","ESP","DF",NA,24,3,0,0,0,30
"Matias Arezo","Granada","URU","FW",NA,20,1,0,0,0,6
"Iñigo Arguibide","Osasuna","ESP","DF",NA,18,0,0,0,0,1
"José Arnaiz","Osasuna","ESP","FW","MF",28,3,0,0,0,8
"Sergio Arribas","Almería","ESP","MF","FW",21,1,0,0,0,14
"Kepa Arrizabalaga","Real Madrid","ESP","GK",NA,28,1,0,0,0,0
"Iago Aspas","Celta Vigo","ESP","FW",NA,35,6,1,0,1,19
"Ezequiel Ávila","Osasuna","ARG","FW","MF",29,3,2,0,2,8
"Ezequiel Ávila","Betis","ARG","FW",NA,29,4,1,1,2,3
"César Azpilicueta","Atlético Madrid","ESP","DF",NA,33,4,0,0,0,29
"Iddrisu Baba","Almería","GHA","MF",NA,27,5,0,0,0,29
"Srđan Babić","Almería","SRB","DF",NA,27,0,0,0,0,2
"Loïc Bade","Sevilla","FRA","DF",NA,23,5,1,0,1,24
"Alex Baena","Villarreal","ESP","MF","FW",22,11,1,0,1,52
"Eric Bailly","Villarreal","CIV","DF",NA,29,4,0,0,0,6
"Cédric Bakambu","Betis","COD","FW",NA,32,1,0,0,0,4
"Alejandro Balde","Barcelona","ESP","DF",NA,19,1,0,0,0,9
"Iván Balliu","Rayo Vallecano","ALB","DF",NA,31,4,0,0,0,41
"Jonathan Bamba","Celta Vigo","CIV","MF","FW",27,0,0,0,0,15
"Léo Baptistão","Almería","BRA","FW",NA,30,6,1,0,1,21
"Kike Barja","Osasuna","ESP","FW","MF",26,3,0,0,0,8
"Ander Barrenetxea","Real Sociedad","ESP","FW","MF",21,1,0,0,0,27
"Pablo Barrios","Atlético Madrid","ESP","MF",NA,20,5,0,0,0,23
"Marc Bartra","Betis","ESP","DF",NA,32,1,0,0,0,4
"Augusto Batalla","Granada","ARG","GK",NA,27,3,0,0,0,0
"Bebé","Rayo Vallecano","CPV","MF","FW",33,1,0,0,0,0
"Sheraldo Becker","Real Sociedad","SUR","FW","MF",28,1,0,0,0,11
"Héctor Bellerín","Betis","ESP","DF",NA,28,0,1,0,1,21
"Jude Bellingham","Real Madrid","ENG","MF",NA,20,5,1,0,1,32
"Fran Beltrán","Celta Vigo","ESP","MF",NA,24,2,0,0,0,28
"Carlos Benavídez","Alavés","URU","MF",NA,25,5,0,0,0,38
"Yuri Berchiche","Athletic Club","ESP","DF",NA,33,5,0,0,0,29
"Álex Berenguer","Athletic Club","ESP","FW",NA,28,4,0,0,0,30
"Antonio Blanco","Alavés","ESP","MF",NA,23,5,1,0,1,36
"Daley Blind","Girona","NED","DF",NA,33,6,0,0,0,19
"Adri Bosch","Granada","ESP","DF",NA,22,0,0,0,0,0
"Lucas Boyé","Granada","ARG","FW",NA,27,8,1,0,1,72
"Darko Brašanac","Osasuna","SRB","MF",NA,31,0,0,0,0,1
"Claudio Bravo","Betis","CHI","GK",NA,40,0,0,0,0,0
"Ben Brereton","Villarreal","CHI","FW","MF",24,2,0,0,0,5
"Ante Budimir","Osasuna","CRO","FW",NA,32,4,0,0,0,40
"Manu Bueno","Sevilla","ESP","MF",NA,19,1,0,0,0,1
"José Callejón","Granada","ESP","MF","FW",36,2,0,0,0,11
"Eduardo Camavinga","Real Madrid","FRA","MF","DF",20,9,0,0,0,49
"Sergio Camello","Rayo Vallecano","ESP","FW",NA,22,3,0,0,0,18
"José Campaña","Las Palmas","ESP","MF",NA,30,0,0,0,0,0
"João Cancelo","Barcelona","POR","DF",NA,29,7,0,0,0,40
"Sergi Canós","Valencia","ESP","MF","FW",26,1,0,0,0,17
"Étienne Capoue","Villarreal","FRA","MF",NA,35,8,0,0,0,25
"Isaac Carcelen","Cádiz","ESP","DF",NA,30,2,0,0,0,16
"Marc Cardona","Las Palmas","ESP","FW",NA,28,4,0,0,0,12
"Sergi Cardona","Las Palmas","ESP","DF",NA,24,11,0,0,0,52
"Johnny Cardoso","Betis","USA","MF",NA,21,3,0,0,0,21
"Carmona","Getafe","ESP","DF","MF",21,8,0,0,0,33
"Yannick Carrasco","Atlético Madrid","BEL","DF",NA,29,0,0,0,0,2
"Álvaro Carreras","Granada","ESP","MF","FW",20,1,0,0,0,6
"Dani Carvajal","Real Madrid","ESP","DF",NA,31,5,1,1,2,23
"William Carvalho","Betis","POR","MF",NA,31,2,0,0,0,13
"Catena","Osasuna","ESP","DF",NA,28,8,1,0,1,47
"Dani Ceballos","Real Madrid","ESP","MF","FW",26,2,0,0,0,5
"Álex Centelles","Almería","ESP","DF",NA,25,2,0,0,0,10
"Franco Cervi","Celta Vigo","ARG","MF","DF",29,2,0,0,0,6
"Pep Chavarría","Rayo Vallecano","ESP","DF","MF",25,6,1,1,2,8
"Andreas Christensen","Barcelona","DEN","DF","MF",27,4,0,0,0,26
"Chumi","Almería","ESP","DF",NA,24,4,0,0,0,23
"Víctor Chust","Cádiz","ESP","DF",NA,23,3,2,0,2,15
"Pathé Ciss","Rayo Vallecano","SEN","MF",NA,29,10,0,0,0,27
"Saúl Coco","Las Palmas","EQG","DF",NA,24,6,1,0,1,19
"Santi Comesaña","Villarreal","ESP","MF",NA,26,8,2,1,3,33
"Copete","Mallorca","ESP","DF",NA,23,7,0,0,0,36
"Francis Coquelin","Villarreal","FRA","MF",NA,32,4,0,0,0,18
"Theo Corbeanu","Granada","CAN","MF","FW",21,2,0,0,0,2
"Ángel Correa","Atlético Madrid","ARG","FW","MF",28,3,0,0,0,24
"Thierry Correia","Valencia","POR","DF",NA,24,4,1,0,1,41
"Jaume Costa","Mallorca","ESP","DF",NA,35,7,0,0,0,25
"Samu Costa","Mallorca","POR","MF",NA,22,8,0,0,0,62
"Thibaut Courtois","Real Madrid","BEL","GK",NA,31,0,0,0,0,0
"Yan Couto","Girona","BRA","DF","FW",21,8,0,0,0,35
"Crespo","Rayo Vallecano","POR","MF",NA,26,4,0,0,0,19
"Cristian","Valencia","ESP","GK",NA,25,0,0,0,0,0
"Juan Cruz Armada","Osasuna","ESP","DF",NA,31,3,0,0,0,20
"Juan Cruz","Betis","ESP","FW",NA,23,0,0,0,0,2
"Pau Cubarsí","Barcelona","ESP","DF",NA,16,4,0,0,0,15
"Jorge Cuenca","Villarreal","ESP","DF",NA,23,7,0,0,0,25
"Eric Curbelo","Las Palmas","ESP","DF","MF",29,0,0,0,0,0
"Sergi Darder","Mallorca","ESP","MF",NA,29,4,0,0,0,19
"Rodrigo De Paul","Atlético Madrid","ARG","MF",NA,29,7,0,0,0,27
"Mouctar Diakhaby","Valencia","GUI","DF","MF",26,6,0,0,0,9
"Assane Diao","Betis","ESP","FW",NA,17,4,0,0,0,12
"Brahim Díaz","Real Madrid","MAR","FW","MF",23,0,0,0,0,22
"Víctor Díaz","Granada","ESP","DF","MF",35,1,0,0,0,0
"Famara Diedhiou","Granada","SEN","FW","MF",30,1,0,0,0,6
"Stole Dimitrievski","Rayo Vallecano","MKD","GK",NA,29,2,0,0,0,0
"Djené","Getafe","TOG","DF","MF",31,14,1,1,2,51
"Marko Dmitrović","Sevilla","SRB","GK",NA,31,1,0,0,0,0
"Jaume Doménech","Valencia","ESP","GK",NA,32,0,0,0,0,0
"Carlos Dominguez","Celta Vigo","ESP","DF",NA,22,2,0,0,0,15
"Mario Dominguez","Valencia","ESP","FW",NA,19,0,0,0,0,0
"Carlos Dotor","Celta Vigo","ESP","MF",NA,22,2,0,0,0,14
"Anastasios Douvikas","Celta Vigo","GRE","FW",NA,23,2,0,0,0,18
"Artem Dovbyk","Girona","UKR","FW",NA,26,2,0,0,0,27
"Domingos Duarte","Getafe","POR","DF",NA,28,5,2,1,3,8
"Rubén Duarte","Alavés","ESP","DF",NA,27,7,0,0,0,31
"Hugo Duro","Valencia","ESP","FW",NA,23,4,0,0,0,41
"Aritz Elustondo","Real Sociedad","ESP","DF",NA,29,2,0,0,0,9
"Adri Embarba","Almería","ESP","FW","MF",31,5,0,0,0,37
"Youssef En-Nesyri","Sevilla","MAR","FW",NA,26,4,0,0,0,21
"Gonzalo Escalante","Cádiz","ARG","MF",NA,30,2,1,0,1,31
"Alfonso Espino","Rayo Vallecano","URU","DF",NA,31,9,0,0,0,45
"Bernardo Espinosa","Girona","COL","DF",NA,34,0,0,0,0,0
"Karl Etta","Cádiz","CMR","FW",NA,19,0,0,0,0,1
"Abde Ezzalzouli","Barcelona","MAR","FW","MF",21,0,0,0,0,1
"Abde Ezzalzouli","Betis","MAR","FW",NA,21,1,0,0,0,9
"Radamel Falcao","Rayo Vallecano","COL","FW","DF",37,4,0,0,0,15
"Fali","Cádiz","ESP","DF",NA,29,12,0,0,0,23
"Ansu Fati","Barcelona","ESP","MF","FW",20,0,0,0,0,0
"Peter Federico","Valencia","DOM","MF","FW",21,1,0,0,0,11
"Nabil Fekir","Betis","FRA","MF","FW",30,1,0,0,0,22
"Luiz Felipe","Betis","ITA","DF",NA,26,1,0,0,0,2
"João Félix","Barcelona","POR","FW",NA,23,3,0,0,0,21
"Kiko Femenía","Villarreal","ESP","DF",NA,32,8,1,1,2,25
"Aitor Fernández","Osasuna","ESP","GK",NA,32,2,0,0,0,0
"Álex Fernández","Cádiz","ESP","MF",NA,30,3,0,0,0,5
"Carlos Fernández","Real Sociedad","ESP","FW",NA,27,3,0,0,0,15
"Valery Fernández","Girona","ESP","MF","FW",23,1,0,0,0,6
"Fernando","Almería","ESP","GK",NA,33,0,0,0,0,0
"Fernando","Sevilla","BRA","MF",NA,36,0,0,0,0,6
"André Ferreira","Granada","POR","GK",NA,27,1,0,0,0,2
"Rachad Fettal","Almería","MAR","FW",NA,18,0,0,0,0,1
"Pablo Fornals","Betis","ESP","FW","MF",27,2,0,0,0,13
"Héctor Fort","Barcelona","ESP","DF",NA,16,0,0,0,0,8
"Dimitri Foulquier","Valencia","FRA","DF","MF",30,3,0,0,0,24
"Juan Foyth","Villarreal","ARG","DF",NA,25,1,0,0,0,18
"Jorge de Frutos","Rayo Vallecano","ESP","FW","MF",26,1,0,0,0,15
"Matteo Gabbia","Villarreal","ITA","DF",NA,23,2,0,0,0,9
"Javi Galán","Atlético Madrid","ESP","DF",NA,28,1,0,0,0,1
"Javi Galán","Real Sociedad","ESP","DF",NA,28,3,0,0,0,21
"Iñigo Ruiz de Galarreta","Athletic Club","ESP","MF",NA,29,7,0,0,0,54
"Aleix García","Girona","ESP","MF",NA,26,4,1,0,1,29
"Álvaro García","Rayo Vallecano","ESP","FW","MF",30,8,1,1,2,25
"Dani García","Athletic Club","ESP","MF",NA,33,4,0,0,0,11
"David García","Osasuna","ESP","DF",NA,29,5,0,0,0,33
"Eric García","Barcelona","ESP","DF",NA,22,1,0,0,0,1
"Eric García","Girona","ESP","DF",NA,22,4,0,0,0,24
"Fran Garcia","Real Madrid","ESP","DF",NA,23,2,0,0,0,10
"Raúl García","Athletic Club","ESP","FW","MF",37,3,0,0,0,20
"Rubén García","Osasuna","ESP","FW","MF",30,1,0,0,0,24
"Unai García","Osasuna","ESP","DF",NA,31,6,1,1,2,9
"Yarek Gasiorowski","Valencia","ESP","DF",NA,18,1,0,0,0,11
"Federico Gattoni","Sevilla","ARG","DF","FW",24,0,0,0,0,2
"Gavi","Barcelona","ESP","MF","FW",18,5,0,0,0,31
"Paulo Gazzaniga","Girona","ARG","GK",NA,31,2,0,0,0,0
"David Gil","Cádiz","ESP","GK",NA,29,1,0,0,0,0
"Maxi Gómez","Cádiz","URU","FW",NA,26,2,0,0,0,20
"Moi Gómez","Osasuna","ESP","MF","FW",29,3,0,0,0,29
"Unai Gómez","Athletic Club","ESP","MF",NA,20,1,0,0,0,11
"Édgar González","Almería","ESP","DF","MF",26,7,1,1,2,29
"Fabio González","Las Palmas","ESP","MF",NA,26,1,0,0,0,1
"Giovanni González","Mallorca","URU","DF",NA,28,6,0,0,0,38
"Hugo González","Valencia","ESP","MF","FW",20,0,0,0,0,3
"Urko González","Real Sociedad","ESP","MF",NA,22,1,0,0,0,1
"Andoni Gorosabel","Alavés","ESP","DF",NA,26,6,0,0,0,29
"Pablo Gozalbez","Valencia","ESP","MF","FW",22,0,0,0,0,6
"Mason Greenwood","Getafe","ENG","MF","FW",21,6,1,0,1,39
"Antoine Griezmann","Atlético Madrid","FRA","FW","MF",32,5,0,0,0,16
"Vicente Guaita","Celta Vigo","ESP","GK",NA,36,2,0,0,0,1
"Andrés Guardado","Betis","MEX","MF",NA,36,2,0,0,0,10
"Sergi Guardiola","Cádiz","ESP","FW","MF",32,1,0,0,0,18
"Nemanja Gudelj","Sevilla","SRB","DF","MF",31,7,0,0,0,30
"Gonçalo Guedes","Villarreal","POR","FW","MF",26,0,0,0,0,5
"Javier Guerra","Valencia","ESP","MF",NA,20,3,1,0,1,40
"Ander Guevara","Alavés","ESP","MF",NA,26,7,0,0,0,48
"Hugo Guillamón","Valencia","ESP","MF",NA,23,7,0,0,0,36
"Marc Guiu","Barcelona","ESP","FW","MF",17,1,0,0,0,1
"Gerard Gumbau","Granada","ESP","MF",NA,28,12,0,0,0,62
"İlkay Gündoğan","Barcelona","GER","MF",NA,32,5,0,0,0,15
"Jon Guridi","Alavés","ESP","MF",NA,28,2,0,0,0,21
"Gorka Guruzeta","Athletic Club","ESP","FW",NA,26,2,0,0,0,45
"Miguel Gutiérrez","Girona","ESP","DF",NA,22,4,0,0,0,27
"Munir El Haddadi","Las Palmas","MAR","FW",NA,27,3,0,0,0,30
"Ianis Hagi","Alavés","ROU","MF","FW",24,3,0,0,0,13
"Luiz Henrique","Betis","BRA","FW",NA,22,1,0,0,0,7
"Mario Hermoso","Atlético Madrid","ESP","DF",NA,28,9,0,0,0,32
"Javi Hernández","Cádiz","ESP","DF",NA,25,10,0,0,0,45
"Aridane Hernández","Rayo Vallecano","ESP","DF",NA,34,3,0,0,0,11
"Luis Hernández","Cádiz","ESP","DF",NA,34,4,0,0,0,8
"Jorge Herrando","Osasuna","ESP","DF",NA,22,4,0,0,0,26
"Ander Herrera","Athletic Club","ESP","MF",NA,33,4,0,0,0,21
"Cristian Herrera","Las Palmas","ESP","FW","MF",32,1,0,0,0,3
"Sergio Herrera","Osasuna","ESP","GK",NA,30,2,0,0,0,0
"Yangel Herrera","Girona","VEN","MF",NA,25,9,0,0,0,65
"Juan Herzog","Las Palmas","ESP","DF",NA,20,1,0,0,0,1
"Martin Hongla","Granada","CMR","MF","DF",25,0,0,0,0,7
"Pablo Ibáñez","Osasuna","ESP","MF",NA,24,5,0,0,0,26
"Iglesias","Getafe","ESP","DF","FW",25,4,0,0,0,16
"Borja Iglesias","Betis","ESP","FW",NA,30,2,0,0,0,7
"Imanol","Athletic Club","ESP","DF",NA,23,2,0,0,0,5
"Isco","Betis","ESP","MF",NA,31,10,0,0,0,31
"Adnan Januzaj","Sevilla","BEL","FW","MF",28,0,0,0,0,3
"Mikel Jauregizar","Athletic Club","ESP","MF",NA,19,0,0,0,0,4
"Luis Javier Suárez","Almería","COL","FW",NA,25,3,0,0,0,18
"Salim El Jebari","Atlético Madrid","MAR","MF",NA,19,0,0,0,0,1
"Frenkie de Jong","Barcelona","NED","MF",NA,26,7,0,0,0,19
"Joan Jordán","Sevilla","ESP","MF",NA,29,1,0,0,0,1
"Jordi","Getafe","ESP","MF","DF",22,1,0,0,0,19
"Willian José","Betis","BRA","FW",NA,31,0,1,0,1,9
"Joselu","Real Madrid","ESP","FW",NA,33,1,0,0,0,10
"Kamil Jóźwiak","Granada","POL","MF",NA,25,2,0,0,0,13
"Juanmi","Cádiz","ESP","FW",NA,30,3,0,0,0,24
"Juanpe","Girona","ESP","DF",NA,32,4,0,0,0,5
"Vinicius Júnior","Real Madrid","BRA","FW",NA,23,7,0,0,0,24
"Filip Jørgensen","Villarreal","DEN","GK",NA,21,4,0,0,0,2
"Sory Kaba","Las Palmas","GUI","FW",NA,28,2,0,0,0,16
"Kaiky","Almería","BRA","DF",NA,19,2,0,0,0,7
"Ibrahima Kebe","Girona","MLI","MF",NA,22,1,0,0,0,1
"Kiké","Alavés","ESP","FW","MF",33,3,0,0,0,25
"Koke","Atlético Madrid","ESP","MF",NA,31,5,0,0,0,19
"Ibrahima Koné","Almería","MLI","FW",NA,24,0,0,0,0,3
"Rominigue Kouamé","Cádiz","MLI","MF",NA,26,2,0,0,0,11
"Jules Koundé","Barcelona","FRA","DF",NA,24,4,0,0,0,22
