"Player","Squad","Nation","Pos","Pos2","Age","Wins","Draws","Losses","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Etrit Berisha","Empoli","ALB","GK",NA,34,3,3,8,25,49,68.9,4,28.6,1,33.3
"Elia Caprile","Empoli","ITA","GK",NA,21,6,6,11,27,78,78.3,5,21.7,1,20
"Marco Carnesecchi","Atalanta","ITA","GK",NA,23,15,5,7,30,75,75.7,8,29.6,2,33.3
"Oliver Christensen","Fiorentina","DEN","GK",NA,24,1,1,2,9,10,63.2,0,0,0,0
"Andrea Consigli","Sassuolo","ITA","GK",NA,36,6,8,21,68,93,61.6,3,8.6,1,12.5
"Benoît Costil","Salernitana","FRA","GK",NA,36,2,3,8,29,38,60.6,1,7.7,0,0
"Alessio Cragno","Sassuolo","ITA","GK",NA,29,1,1,1,7,8,57.1,0,0,0,0
"Michele Di Gregorio","Monza","ITA","GK",NA,26,11,11,11,35,122,79.9,12,36.4,2,40
"Wladimiro Falcone","Lecce","ITA","GK",NA,28,8,14,16,54,119,71.7,7,18.4,1,16.7
"Luca Gemello","Torino","ITA","GK",NA,23,0,0,2,5,4,55.6,0,0,0,0
"Mike Maignan","Milan","FRA","GK",NA,28,19,5,5,34,86,77.5,10,34.5,0,0
"Josep Martinez","Genoa","ESP","GK",NA,25,11,13,12,43,87,69.2,8,22.2,1,25
"Alex Meret","Napoli","ITA","GK",NA,26,10,13,8,40,62,63.5,5,16.1,2,50
"Vanja Milinković-Savić","Torino","SRB","GK",NA,26,13,14,9,31,103,81.3,18,50,0,0
"Lorenzo Montipò","Hellas Verona","ITA","GK",NA,27,9,10,18,49,105,69.3,8,21.6,0,0
"Juan Musso","Atalanta","ARG","GK",NA,29,6,1,4,12,23,70.6,6,54.5,0,0
"Guillermo Ochoa","Salernitana","MEX","GK",NA,38,0,6,15,44,72,67.8,1,4.8,0,0
"Maduka Okoye","Udinese","NGA","GK",NA,23,5,8,8,25,65,75.3,5,23.8,0,0
"Rui Patrício","Roma","POR","GK",NA,35,11,5,7,27,49,66.2,6,26.1,0,0
"Ivan Provedel","Lazio","ITA","GK",NA,29,12,6,12,33,86,73.9,9,30,0,0
"Federico Ravaglia","Bologna","ITA","GK",NA,23,4,1,1,3,13,83.3,4,66.7,1,100
"Simone Scuffet","Cagliari","ITA","GK",NA,27,8,10,13,55,76,59.7,3,9.7,0,0
"Marco Silvestri","Udinese","ITA","GK",NA,32,1,11,5,28,40,67.6,4,23.5,0,0
"Łukasz Skorupski","Bologna","POL","GK",NA,32,14,13,5,29,77,75.5,13,40.6,1,25
"Yann Sommer","Inter","SUI","GK",NA,34,27,6,1,19,78,82.7,19,55.9,1,33.3
"Alessandro Sorrentino","Monza","ITA","GK",NA,21,0,1,4,16,16,62.5,0,0,0,0
"Marco Sportiello","Milan","ITA","GK",NA,31,3,3,1,11,23,69.7,2,28.6,0,0
"Mile Svilar","Roma","SRB","GK",NA,23,7,4,4,19,58,76.6,5,33.3,1,50
"Wojciech Szczęsny","Juventus","POL","GK",NA,33,17,13,5,30,79,74.1,15,42.9,1,33.3
"Pietro Terracciano","Fiorentina","ITA","GK",NA,33,15,8,10,35,90,77,8,24.2,1,14.3
"Stefano Turati","Frosinone","ITA","GK",NA,21,6,9,16,58,94,65.1,4,12.9,1,16.7
