"Player","Squad","Nation","Pos","Pos2","Age","Born","Total_Match_Played","Total_Playing_Time","Minutes_Per_Match_Played","Percent_of_Squad_Minutes_Played","Matches_Started","Minutes_Per_Match_Start","Complete_Matches_PLayed","Matches_Played_As_Substitute","Minutes_Per_Match_Substitute","Player_Points_Per_Match","Player_On_Pitch_Squad_Goals","Player_On_Pitch_Goals_Allowed","Weekly_Wages","Annual_Wages"
"Aarón Martín","Genoa","ESP","DF",NA,26,1997,22,1376,63,40.2,17,76,7,5,17,1.27,22,20,24615,1280000
"Abdou Harroui","Frosinone","NED","MF","FW",25,1998,18,1019,57,29.8,13,70,0,5,22,0.67,15,29,14808,770000
"Adam Masina","Torino","MAR","DF",NA,29,1994,16,1024,64,29.9,10,87,7,6,26,1.31,10,12,22115,1150000
"Adam Masina","Udinese","MAR","DF",NA,29,1994,4,64,16,1.9,1,45,0,3,6,1.25,0,2,22115,1150000
"Adam Obert","Cagliari","SVK","DF",NA,20,2002,17,941,55,27.5,10,85,7,7,14,0.65,10,32,14231,740000
"Ademola Lookman","Atalanta","NGA","FW","MF",25,1997,31,1894,61,55.4,22,73,4,9,32,1.61,33,26,44423,2310000
"Adrien Rabiot","Juventus","FRA","MF",NA,28,1995,31,2651,86,77.5,30,87,28,1,33,1.9,37,24,172500,8970000
"Adrien Tameze","Torino","CMR","DF","MF",29,1994,29,2146,74,62.7,25,81,14,4,30,1.38,22,22,24615,1280000
"Agustín Martegani","Salernitana","ARG","MF",NA,23,2000,18,731,41,21.4,6,73,1,12,25,0.28,8,21,6731,350000
"Ahmed Touba","Lecce","ALG","DF",NA,25,1998,6,277,46,8.1,3,79,2,3,14,0.67,1,7,5385,280000
"Alan Matturro","Genoa","URU","DF",NA,18,2004,6,106,18,3.1,1,75,0,5,6,2.33,3,3,9808,510000
"Albert Guðmundsson","Genoa","ISL","FW","MF",26,1997,35,3016,86,88.2,34,88,26,1,24,1.34,40,37,29615,1540000
"Alberto Cerri","Empoli","ITA","FW",NA,27,1996,12,545,45,15.9,10,52,0,2,13,1.58,6,6,19615,1020000
"Alberto Dossena","Cagliari","ITA","DF",NA,24,1998,35,2977,85,87,33,88,30,2,34,1,36,51,14231,740000
"Alberto Grassi","Empoli","ITA","MF",NA,28,1995,27,1807,67,52.8,22,77,9,5,22,1,15,28,25000,1300000
"Aleksei Miranchuk","Atalanta","RUS","MF","FW",27,1995,27,1176,44,34.4,12,76,4,15,18,1.96,24,10,53462,2780000
"Alessandro Deiola","Cagliari","ITA","MF",NA,27,1995,27,1608,60,47,19,79,10,8,14,1.04,15,29,14231,740000
"Alessandro Di Pardo","Cagliari","ITA","DF","MF",24,1999,15,359,24,10.5,2,61,0,13,18,0.73,2,10,5385,280000
"Alessandro Florenzi","Milan","ITA","DF",NA,32,1991,31,1732,56,50.6,19,79,11,12,19,1.84,35,23,106923,5560000
"Alessandro Sorrentino","Monza","ITA","GK",NA,21,2002,7,548,78,16,5,90,5,2,49,1,8,16,3269,170000
"Alessandro Vogliacco","Genoa","ITA","DF",NA,24,1998,20,1169,58,34.2,14,80,5,6,9,1.5,16,17,3654,190000
"Alessandro Zanoli","Salernitana","ITA","DF",NA,22,2000,17,921,54,26.9,10,77,3,7,22,0.29,9,20,14231,740000
"Alessio Romagnoli","Lazio","ITA","DF",NA,28,1995,29,2411,83,70.5,26,88,25,3,39,1.62,33,28,106923,5560000
"Alessio Zerbin","Monza","ITA","DF","FW",24,1999,13,684,53,20,7,75,2,6,27,0.85,4,5,6346,330000
