"Player","Squad","Nation","Pos","Pos2","Age","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Francesco Acerbi","Inter","ITA","DF",NA,35,22,13,59.0909090909091,14,14,78.6,20,13,7,32,77,1
"Yacine Adli","Milan","FRA","MF",NA,23,34,17,50,35,35,37.1,22,8,14,20,15,1
"Michel Aebischer","Bologna","SUI","MF",NA,26,35,20,57.1428571428571,34,34,44.1,28,6,22,12,22,0
"Ebenezer Akinsanmiro","Inter","NGA","MF",NA,18,0,0,NA,1,1,0,0,0,0,0,0,0
"Jean-Daniel Akpa-Akpro","Monza","CIV","MF",NA,30,20,11,55,9,9,33.3,10,4,6,12,15,1
"David Akpan Ankeye","Genoa","NGA","FW",NA,21,1,0,0,1,1,0,1,0,1,0,0,0
"Luis Alberto","Lazio","ESP","MF",NA,30,35,20,57.1428571428571,53,53,28.3,34,4,30,7,13,0
"Carlos Alcaraz","Juventus","ARG","MF",NA,20,6,6,100,10,10,50,5,2,3,5,4,0
"Pontus Almqvist","Lecce","SWE","FW","MF",24,45,29,64.4444444444444,51,51,45.1,21,2,19,14,10,0
"Bruno Amione","Hellas Verona","ARG","DF",NA,21,11,3,27.2727272727273,5,5,80,4,2,2,9,19,2
"Felipe Anderson","Lazio","BRA","FW","MF",30,78,45,57.6923076923077,90,90,37.8,45,3,42,27,23,0
"Angeliño","Roma","ESP","DF",NA,26,21,11,52.3809523809524,19,19,57.9,11,5,6,12,37,1
"Houssem Aouar","Roma","ALG","MF","FW",25,16,11,68.75,12,12,25,5,0,5,4,2,1
"Marko Arnautović","Inter","AUT","FW",NA,34,10,4,40,7,7,57.1,8,1,7,5,5,0
"Kristjan Asllani","Inter","ALB","MF",NA,21,7,2,28.5714285714286,11,11,18.2,9,3,6,11,8,0
"Tommaso Augello","Cagliari","ITA","DF",NA,28,26,19,73.0769230769231,25,25,64,21,10,11,17,89,0
"Carlos Augusto","Inter","BRA","DF",NA,24,29,21,72.4137931034483,22,22,68.2,20,8,12,16,52,0
"Yann Aurel Bisseck","Inter","GER","DF",NA,22,14,6,42.8571428571429,9,9,66.7,10,7,3,5,23,0
"Sardar Azmoun","Roma","IRN","FW","MF",28,8,5,62.5,8,8,50,4,1,3,3,6,1
"Paulo Azzi","Cagliari","BRA","DF","MF",29,19,11,57.8947368421053,18,18,50,11,2,9,16,23,0
"Oussama El Azzouzi","Bologna","MAR","MF",NA,22,12,7,58.3333333333333,14,14,50,8,2,6,6,12,0
"Milan Badelj","Genoa","CRO","MF",NA,34,51,27,52.9411764705882,61,61,39.3,45,13,32,50,54,1
"Jaime Báez","Frosinone","URU","FW","MF",28,4,1,25,7,7,0,5,0,5,4,1,0
"Nedim Bajrami","Sassuolo","ALB","MF","FW",24,13,6,46.1538461538462,13,13,38.5,5,1,4,6,8,0
"Mitchel Bakker","Atalanta","NED","DF",NA,23,7,3,42.8571428571429,12,12,16.7,5,0,5,3,6,0
