"Player","Squad","Nation","Pos","Pos2","Age","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Max Aarons","Bournemouth","ENG","DF",NA,23,29,19,65.5172413793103,34,34,58.8,9,5,4,8,27,0
"Tyler Adams","Bournemouth","USA","MF",NA,24,4,3,75,3,3,66.7,2,0,2,4,2,0
"Tosin Adarabioyo","Fulham","ENG","DF",NA,25,21,11,52.3809523809524,21,21,57.1,16,11,5,25,80,0
"Elijah Adebayo","Luton Town","ENG","FW",NA,25,4,1,25,12,12,8.3,13,2,11,6,25,0
"Simon Adingra","Brighton","CIV","FW",NA,21,45,20,44.4444444444444,42,42,45.2,31,1,30,19,22,0
"Nayef Aguerd","West Ham","MAR","DF",NA,27,26,14,53.8461538461538,22,22,72.7,33,24,9,17,85,2
"Naouirou Ahamada","Crystal Palace","FRA","MF","FW",21,13,9,69.2307692307692,17,17,47.1,3,0,3,2,4,0
"Anel Ahmedhodžić","Sheffield Utd","BIH","DF",NA,24,64,36,56.25,49,49,61.2,43,26,17,35,137,2
"Ola Aina","Nott'ham Forest","NGA","DF",NA,26,47,31,65.9574468085106,41,41,70.7,19,3,16,18,51,1
"Rayan Aït-Nouri","Wolves","ALG","DF","MF",22,71,44,61.9718309859155,49,49,57.1,32,6,26,15,38,0
"Kristoffer Ajer","Brentford","NOR","DF",NA,25,38,21,55.2631578947368,36,36,63.9,26,11,15,25,79,1
"Manuel Akanji","Manchester City","SUI","DF","MF",28,42,28,66.6666666666667,39,39,56.4,28,12,16,23,70,3
"Nathan Aké","Manchester City","NED","DF",NA,28,26,16,61.5384615384615,20,20,65,17,2,15,14,54,0
"Trent Alexander-Arnold","Liverpool","ENG","DF",NA,24,39,26,66.6666666666667,87,87,31,22,2,20,31,48,5
"Alisson","Liverpool","BRA","GK",NA,30,0,0,NA,1,1,0,0,0,0,0,11,4
"Miguel Almirón","Newcastle Utd","PAR","FW",NA,29,36,24,66.6666666666667,29,29,37.9,29,2,27,10,13,0
"Edson Álvarez","West Ham","MEX","MF",NA,25,80,39,48.75,66,66,47,59,20,39,42,81,0
"Julián Álvarez","Manchester City","ARG","MF","FW",23,24,13,54.1666666666667,32,32,25,30,0,30,2,14,1
"Zeki Amdouni","Burnley","SUI","FW",NA,22,27,18,66.6666666666667,25,25,28,23,10,13,9,10,0
"Sofyan Amrabat","Manchester Utd","MAR","MF","DF",26,27,16,59.2592592592593,31,31,54.8,20,7,13,8,19,2
"Joachim Andersen","Crystal Palace","DEN","DF",NA,27,56,35,62.5,39,39,74.4,33,18,15,41,207,1
"Elliot Anderson","Newcastle Utd","ENG","MF","FW",20,24,18,75,29,29,51.7,23,4,19,8,23,0
"Jaidon Anthony","Bournemouth","ENG","FW",NA,23,3,1,33.3333333333333,7,7,14.3,3,0,3,1,3,0
"Michail Antonio","West Ham","JAM","FW",NA,33,15,8,53.3333333333333,11,11,27.3,16,3,13,4,4,0
"Antony","Manchester Utd","BRA","FW",NA,23,40,21,52.5,40,40,50,29,1,28,12,9,0
"Oliver Arblaster","Sheffield Utd","ENG","MF",NA,19,23,14,60.8695652173913,15,15,46.7,17,7,10,15,9,0
"Cameron Archer","Sheffield Utd","ENG","FW","MF",22,18,13,72.2222222222222,18,18,44.4,22,3,19,1,11,0
