"Player","Squad","Nation","Pos","Pos2","Age","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Max Aarons","Bournemouth","ENG","DF",NA,23,1,0,0,0,12
"Joshua Acheampong","Chelsea","ENG","DF",NA,17,0,0,0,0,0
"Tyler Adams","Bournemouth","USA","MF",NA,24,0,0,0,0,0
"Tosin Adarabioyo","Fulham","ENG","DF",NA,25,2,0,0,0,10
"Elijah Adebayo","Luton Town","ENG","FW",NA,25,1,0,0,0,27
"Simon Adingra","Brighton","CIV","FW",NA,21,3,0,0,0,29
"Nayef Aguerd","West Ham","MAR","DF",NA,27,3,1,1,2,10
"Naouirou Ahamada","Crystal Palace","FRA","MF","FW",21,4,1,1,2,9
"Anel Ahmedhodžić","Sheffield Utd","BIH","DF",NA,24,11,1,1,2,34
"Ola Aina","Nott'ham Forest","NGA","DF",NA,26,3,0,0,0,18
"Rayan Aït-Nouri","Wolves","ALG","DF","MF",22,7,0,0,0,25
"Kristoffer Ajer","Brentford","NOR","DF",NA,25,5,0,0,0,25
"Manuel Akanji","Manchester City","SUI","DF","MF",28,4,1,1,2,17
"Nathan Aké","Manchester City","NED","DF",NA,28,0,0,0,0,10
"Trent Alexander-Arnold","Liverpool","ENG","DF",NA,24,6,0,0,0,9
"Alisson","Liverpool","BRA","GK",NA,30,1,0,0,0,1
"Miguel Almirón","Newcastle Utd","PAR","FW",NA,29,2,0,0,0,16
"Edson Álvarez","West Ham","MEX","MF",NA,25,11,0,0,0,33
"Julián Álvarez","Manchester City","ARG","MF","FW",23,2,0,0,0,23
"Zeki Amdouni","Burnley","SUI","FW",NA,22,2,0,0,0,22
"Sofyan Amrabat","Manchester Utd","MAR","MF","DF",26,6,0,0,0,24
"Joachim Andersen","Crystal Palace","DEN","DF",NA,27,7,0,0,0,43
"Elliot Anderson","Newcastle Utd","ENG","MF","FW",20,3,0,0,0,21
"Jaidon Anthony","Bournemouth","ENG","FW",NA,23,1,0,0,0,4
"Michail Antonio","West Ham","JAM","FW",NA,33,6,0,0,0,25
"Antony","Manchester Utd","BRA","FW",NA,23,5,0,0,0,19
"Oliver Arblaster","Sheffield Utd","ENG","MF",NA,19,2,0,0,0,10
"Cameron Archer","Sheffield Utd","ENG","FW","MF",22,1,0,0,0,14
"Alphonse Areola","West Ham","FRA","GK",NA,30,1,0,0,0,2
"Lorenz Assignon","Burnley","TOG","DF",NA,23,5,1,1,2,33
"Serge Aurier","Nott'ham Forest","CIV","DF","MF",30,2,0,0,0,8
"Taiwo Awoniyi","Nott'ham Forest","NGA","FW",NA,25,2,0,0,0,9
"Jordan Ayew","Crystal Palace","GHA","FW","MF",31,9,1,1,2,46
"Benoît Badiashile","Chelsea","FRA","DF",NA,22,3,0,0,0,17
"Leon Bailey","Aston Villa","JAM","MF","FW",25,5,0,0,0,26
"George Baldock","Sheffield Utd","GRE","DF",NA,30,4,0,0,0,19
"Carlos Baleba","Brighton","CMR","MF",NA,19,7,0,0,0,40
"Fodé Ballo-Touré","Fulham","SEN","DF","MF",26,1,0,0,0,4
"Shandon Baptiste","Brentford","GRN","MF",NA,25,1,0,0,0,3
"Valentín Barco","Brighton","ARG","DF","FW",19,1,0,0,0,7
"Ross Barkley","Luton Town","ENG","MF",NA,29,6,0,0,0,25
"Harvey Barnes","Newcastle Utd","ENG","FW","MF",25,2,0,0,0,5
"Chris Basham","Sheffield Utd","ENG","DF","MF",35,1,0,0,0,3
"Calvin Bassey","Fulham","NGA","DF",NA,23,6,1,1,2,15
"Amari'i Bell","Luton Town","JAM","DF",NA,29,0,0,0,0,22
"Jean-Ricner Bellegarde","Wolves","FRA","MF","FW",25,0,1,0,1,10
"Anis Ben Slimane","Sheffield Utd","TUN","MF",NA,22,2,0,0,0,7
"Saïd Benrahma","West Ham","ALG","FW","MF",27,1,0,0,0,5
"Rodrigo Bentancur","Tottenham","URU","MF",NA,26,7,0,0,0,20
"Daniel Bentley","Wolves","ENG","GK",NA,30,0,0,0,0,0
"Jóhann Berg Guðmundsson","Burnley","ISL","MF","FW",32,2,0,0,0,9
"Sander Berge","Burnley","NOR","MF",NA,25,10,1,1,2,40
"Luke Berry","Luton Town","ENG","MF","DF",31,1,0,0,0,6
"Beto","Everton","GNB","FW",NA,25,2,0,0,0,21
"Jordan Beyer","Burnley","GER","DF",NA,23,6,0,0,0,11
"Philip Billing","Bournemouth","DEN","MF",NA,27,3,1,0,1,19
"Yves Bissouma","Tottenham","MLI","MF",NA,26,10,2,1,3,35
"Oscar Bobb","Manchester City","NOR","FW","MF",20,0,0,0,0,2
"Jayden Bogle","Sheffield Utd","ENG","DF",NA,23,9,0,0,0,38
"Willy Boly","Nott'ham Forest","CIV","DF",NA,32,3,1,1,2,20
"Sven Botman","Newcastle Utd","NED","DF",NA,23,2,0,0,0,9
"Jarrod Bowen","West Ham","ENG","FW",NA,26,2,0,0,0,28
"Conor Bradley","Liverpool","NIR","DF",NA,20,2,0,0,0,8
"Jarrad Branthwaite","Everton","ENG","DF",NA,21,8,0,0,0,25
"Ben Brereton","Sheffield Utd","CHI","FW","MF",24,3,0,0,0,11
"Rhian Brewster","Sheffield Utd","ENG","FW","MF",23,0,1,0,1,5
"Armando Broja","Chelsea","ALB","FW",NA,21,0,0,0,0,4
"Armando Broja","Fulham","ALB","FW",NA,21,0,0,0,0,5
"Andre Brooks","Sheffield Utd","ENG","MF","DF",19,1,0,0,0,11
