"Player","Squad","Nation","Pos","Pos2","Age","Born","Total_Match_Played","Total_Playing_Time","Minutes_Per_Match_Played","Percent_of_Squad_Minutes_Played","Matches_Started","Minutes_Per_Match_Start","Complete_Matches_PLayed","Matches_Played_As_Substitute","Minutes_Per_Match_Substitute","Player_Points_Per_Match","Player_On_Pitch_Squad_Goals","Player_On_Pitch_Goals_Allowed","Weekly_Wages","Annual_Wages"
"Aaron Cresswell","West Ham","ENG","DF","FW",33,1989,11,436,40,12.7,4,77,2,7,18,1,6,11,50000,2600000
"Aaron Ramsey","Burnley","ENG","MF","FW",20,2003,14,527,38,15.4,5,68,0,9,21,0.36,4,17,25000,1300000
"Aaron Wan-Bissaka","Manchester Utd","ENG","DF",NA,25,1997,22,1780,81,52,20,88,16,2,11,1.32,30,34,90000,4680000
"Adam Lallana","Brighton","ENG","MF","FW",35,1988,25,850,34,24.9,13,53,0,12,13,1.24,12,13,90000,4680000
"Adam Smith","Bournemouth","ENG","DF",NA,32,1991,28,2150,77,62.9,25,85,15,3,12,1.61,39,33,35000,1820000
"Adam Webster","Brighton","ENG","DF",NA,28,1995,15,1144,76,33.5,13,85,11,2,18,1.13,16,22,55000,2860000
"Adam Wharton","Crystal Palace","ENG","MF",NA,19,2004,16,1297,81,37.9,15,82,6,1,63,1.56,27,16,35000,1820000
"Adama Traoré","Fulham","ESP","FW","MF",27,1996,17,377,22,11,1,78,0,16,19,1.06,11,13,65000,3380000
"Albert Sambi Lokonga","Luton Town","BEL","MF",NA,23,1999,17,1303,77,38.1,16,80,8,1,19,0.76,22,31,50000,2600000
"Alejandro Garnacho","Manchester Utd","ARG","FW",NA,19,2004,36,2565,71,75,30,82,12,6,19,1.5,44,39,50000,2600000
"Alex Iwobi","Fulham","NGA","FW","MF",27,1996,30,2192,73,64.1,25,81,9,5,34,1.27,38,38,80000,4160000
"Álex Moreno","Aston Villa","ESP","DF",NA,30,1993,21,1031,49,30.1,11,80,5,10,16,1.67,24,20,35000,1820000
