"Squad","Goalkeepers_Used","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Almería",3,65,138,70,4,10.5,1,20
"Athletic Club",2,43,83,67.5,11,28.9,0,0
"Atlético Madrid",3,33,95,77.3,13,34.2,0,0
"Barcelona",2,20,85,83.3,26,68.4,0,0
"Betis",2,41,106,74,13,34.2,0,0
"Cádiz",2,53,148,78.2,13,34.2,1,10
"Celta Vigo",2,53,80,64.2,10,26.3,2,28.6
"Elche",2,67,140,71.2,4,10.5,3,30
"Espanyol",4,69,115,65,6,15.8,1,16.7
"Getafe",1,45,119,75.3,13,34.2,4,50
"Girona",2,55,112,70.8,4,10.5,1,14.3
"Mallorca",3,43,101,74.5,13,34.2,1,14.3
"Osasuna",2,42,107,72.3,11,28.9,1,50
"Rayo Vallecano",2,53,95,66,9,23.7,0,0
"Real Madrid",2,36,100,76.5,13,34.2,1,20
"Real Sociedad",1,35,99,74.4,15,39.5,1,50
"Sevilla",2,54,109,67.7,9,23.7,1,33.3
"Valencia",1,45,105,70.9,7,18.4,0,0
"Valladolid",3,63,134,71.4,9,23.7,3,33.3
"Villarreal",3,40,110,75.8,12,31.6,0,0
