"Squad","Progression_Carries","Progression_Passes","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Possession","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Almería",860,1706,15420,19392,79.5,7336,8173,89.8,1644,2972,55.3,6009,7055,85.2,17371,1863,501,70,189,851,781,227,158,54.9,23165,711,343,48.2,280,39.4
"Athletic Club",549,1212,13537,17573,77,6176,7079,87.2,1644,3105,52.9,5335,6384,83.6,15545,1951,580,41,190,579,789,136,77,48.4,21996,718,320,44.6,322,44.8
"Atlético Madrid",729,1634,16384,20021,81.8,6990,7841,89.1,1852,3099,59.8,7186,8112,88.6,18229,1735,495,40,228,743,650,185,57,49.4,24043,764,351,45.9,334,43.7
"Barcelona",474,955,10316,13758,75,4734,5458,86.7,1358,2606,52.1,3903,4724,82.6,11850,1788,511,41,155,483,672,111,120,35.7,17703,567,271,47.8,227,40
"Betis",750,1571,14220,17964,79.2,6584,7458,88.3,1478,2672,55.3,5828,6839,85.2,16070,1790,455,61,153,756,771,209,104,49.4,21955,774,363,46.9,338,43.7
"Cádiz",823,1739,15630,19569,79.9,7208,8097,89,1772,3099,57.2,6172,7272,84.9,17561,1939,570,39,233,852,778,200,69,58.1,23666,746,351,47.1,320,42.9
"Celta Vigo",536,1297,14618,18416,79.4,6485,7336,88.4,1704,2985,57.1,6036,7073,85.3,16454,1898,524,49,196,633,849,165,64,49.8,22441,747,381,51,295,39.5
"Elche",737,1615,15598,19238,81.1,7007,7840,89.4,1682,2859,58.8,6508,7501,86.8,17216,1922,563,62,140,753,785,223,100,54.5,23458,695,323,46.5,280,40.3
"Espanyol",748,1634,15807,19603,80.6,7448,8318,89.5,1742,3004,58,6120,7171,85.3,17628,1893,487,47,192,730,810,198,82,56.9,23635,680,299,44,301,44.3
"Getafe",689,1519,17070,21494,79.4,7505,8488,88.4,1833,3374,54.3,7300,8503,85.9,19437,1962,645,48,192,771,819,179,95,60.1,25413,714,334,46.8,285,39.9
"Girona",677,1439,14391,17921,80.3,6386,7118,89.7,1573,2822,55.7,6021,6982,86.2,16112,1745,501,45,163,753,678,181,64,48.7,21778,623,288,46.2,244,39.2
"Mallorca",795,1706,16934,20763,81.6,7875,8733,90.2,1588,2872,55.3,7059,8172,86.4,18826,1897,657,48,130,822,738,194,40,58.9,24505,652,298,45.7,283,43.4
"Osasuna",680,1371,14139,18199,77.7,6318,7230,87.4,1573,2988,52.6,5956,7018,84.9,16063,2027,574,46,175,696,861,192,109,52,22253,673,322,47.8,266,39.5
"Rayo Vallecano",589,1231,12926,17027,75.9,6099,6948,87.8,1497,2986,50.1,4988,6083,82,14931,2011,615,30,182,654,804,180,85,48.8,21335,765,383,50.1,281,36.7
"Real Madrid",631,1189,13004,15986,81.3,6326,6960,90.9,1292,2373,54.4,4976,5716,87.1,14341,1589,436,36,121,541,545,145,56,39.1,19962,617,306,49.6,259,42
"Real Sociedad",575,1025,12130,16093,75.4,5571,6377,87.4,1456,3002,48.5,4694,5669,82.8,13951,2051,691,34,147,570,817,154,91,45.4,20064,681,328,48.2,285,41.9
"Sevilla",643,1275,13660,17319,78.9,6107,6903,88.5,1572,2903,54.2,5592,6545,85.4,15346,1898,543,49,187,673,774,170,75,47.4,21295,661,310,46.9,281,42.5
"Valencia",480,1225,12580,16357,76.9,5588,6399,87.3,1540,2918,52.8,5099,6072,84,14310,1973,559,51,167,594,837,175,74,48,20602,712,334,46.9,311,43.7
"Valladolid",723,1486,13635,17448,78.1,6612,7546,87.6,1511,2794,54.1,5113,6088,84,15392,2003,523,55,141,734,875,211,53,51.3,21570,712,332,46.6,296,41.6
"Villarreal",640,1242,12047,15331,78.6,5567,6240,89.2,1447,2598,55.7,4683,5572,84,13541,1682,508,50,138,708,596,182,108,43.1,19276,597,264,44.2,270,45.2
