"Squad","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Almería",49,108,70.1,10,26.3,0,0
"Athletic Club",47,116,74.4,16,42.1,2,28.6
"Atlético Madrid",70,128,64.8,5,13.2,0,0
"Barcelona",70,118,62.6,4,10.5,0,NA
"Betis",46,103,74.1,13,34.2,1,11.1
"Cádiz",30,83,76.8,17,44.7,0,0
"Celta Vigo",43,121,74.8,10,26.3,1,33.3
"Elche",30,98,79.8,16,42.1,1,20
"Espanyol",52,105,69.9,4,10.5,0,0
"Getafe",34,87,76.4,14,36.8,2,28.6
"Girona",58,113,70.4,8,21.1,1,11.1
"Mallorca",37,75,70.5,13,34.2,1,20
"Osasuna",37,101,75.9,15,39.5,0,0
"Rayo Vallecano",45,109,73.2,10,26.3,3,42.9
"Real Madrid",75,142,69.6,5,13.2,2,18.2
"Real Sociedad",51,128,72.3,9,23.7,2,50
"Sevilla",47,98,70.3,7,18.4,0,0
"Valencia",42,105,74.8,12,31.6,2,28.6
"Valladolid",33,108,78.7,18,47.4,1,25
"Villarreal",59,135,71.6,9,23.7,2,33.3
