"Squad","Total_Goals_Scored","Total_Goals_Conceded","Goal_Difference","Home_Goals_Scored","Home_Goals_Conceded","Home_Goal_Difference","Away_Goals_Scored","Away_Goals_Conceded","Away_Goal_Difference","Assists","Goals+Assists","Penalty_Attempted","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Almería",49,65,-16,29,22,7,20,43,-23,33,82,3,2,439,155,35.3,0.11,0.3,18.1,21,758,533,225,76,51,25
"Athletic Club",47,43,4,22,15,7,25,28,-3,33,79,7,5,541,157,29,0.08,0.26,17.1,13,945,678,267,78,54,24
"Atlético Madrid",70,33,37,41,15,26,29,18,11,51,119,1,1,538,195,36.2,0.12,0.34,17,9,958,756,202,116,82,34
"Barcelona",70,20,50,37,4,33,33,16,17,56,125,2,0,570,187,32.8,0.12,0.37,15.8,20,1050,824,226,125,106,19
"Betis",46,41,5,26,18,8,20,23,-3,26,69,9,8,411,138,33.6,0.09,0.25,18.1,21,741,547,194,69,47,22
"Cádiz",30,53,-23,19,23,-4,11,30,-19,20,49,5,4,390,108,27.7,0.06,0.23,18.2,12,663,461,202,49,32,17
"Celta Vigo",43,53,-10,26,21,5,17,32,-15,31,72,3,2,470,160,34,0.08,0.24,19,19,819,623,196,70,55,15
"Elche",30,67,-37,18,29,-11,12,38,-26,21,51,5,4,400,124,31,0.07,0.21,16.9,10,726,495,231,54,36,18
"Espanyol",52,69,-17,27,35,-8,25,34,-9,31,82,5,5,417,151,36.2,0.11,0.3,17.3,13,735,506,229,84,58,26
"Getafe",34,45,-11,21,20,1,13,25,-12,21,55,8,5,365,116,31.8,0.08,0.25,18,19,619,414,205,51,38,13
"Girona",58,55,3,35,26,9,23,29,-6,41,96,9,8,446,160,35.9,0.11,0.29,17.2,6,821,597,224,102,70,32
"Mallorca",37,43,-6,22,12,10,15,31,-16,27,63,5,4,324,107,33,0.1,0.3,17.4,8,563,373,190,63,37,26
"Osasuna",37,42,-5,24,21,3,13,21,-8,30,66,5,4,441,133,30.2,0.07,0.24,18.7,7,779,564,215,69,53,16
"Rayo Vallecano",45,53,-8,28,22,6,17,31,-14,29,70,8,4,510,146,28.6,0.07,0.25,20.6,24,881,651,230,69,50,19
"Real Madrid",75,36,39,44,16,28,31,20,11,56,129,12,9,634,206,32.5,0.1,0.31,18.6,32,1194,894,300,134,95,39
"Real Sociedad",51,35,16,26,16,10,25,19,6,36,83,4,2,465,173,37.2,0.1,0.26,17.4,15,800,594,206,82,64,18
"Sevilla",47,54,-7,24,25,-1,23,29,-6,31,78,5,4,463,141,30.5,0.09,0.3,18.1,17,837,640,197,82,56,26
"Valencia",42,45,-3,27,19,8,15,26,-11,23,63,8,5,480,140,29.2,0.07,0.25,17.5,18,859,607,252,62,40,22
"Valladolid",33,63,-30,21,25,-4,12,38,-26,24,56,4,3,443,137,30.9,0.07,0.21,19.6,19,792,581,211,59,40,19
"Villarreal",59,40,19,36,18,18,23,22,1,33,90,7,4,499,188,37.7,0.11,0.28,18,22,884,665,219,89,59,30
