"Squad","Rank","Wins","Draws","Losses","Pts","Home_Wins","Away_Wins","Home_Draws","Away_Draws","Home_Losses","Away_Losses","Home_Pts","Away_Pts"
"Barcelona",1,28,4,6,88,15,13,3,1,1,5,48,40
"Real Madrid",2,24,6,8,78,13,11,5,1,1,7,44,34
"Atlético Madrid",3,23,8,7,77,13,10,3,5,3,4,42,35
"Real Sociedad",4,21,8,9,71,11,10,5,3,3,6,38,33
"Villarreal",5,19,7,12,64,12,7,3,4,4,8,39,25
"Betis",6,17,9,12,60,9,8,5,4,5,7,32,28
"Osasuna",7,15,8,15,53,11,4,1,7,7,8,34,19
"Athletic Club",8,14,9,15,51,8,6,3,6,8,7,27,24
"Mallorca",9,14,8,16,50,10,4,5,3,4,12,35,15
"Girona",10,13,10,15,49,10,3,3,7,6,9,33,16
"Rayo Vallecano",11,13,10,15,49,9,4,5,5,5,10,32,17
"Sevilla",12,13,10,15,49,7,6,5,5,7,8,26,23
"Celta Vigo",13,11,10,17,43,7,4,6,4,6,11,27,16
"Cádiz",14,10,12,16,42,7,3,6,6,6,10,27,15
"Getafe",15,10,12,16,42,7,3,6,6,6,10,27,15
"Valencia",16,11,9,18,42,8,3,5,4,6,12,29,13
"Almería",17,11,8,19,41,10,1,3,5,6,13,33,8
"Valladolid",18,11,7,20,40,8,3,4,3,7,13,28,12
"Espanyol",19,8,13,17,37,4,4,7,6,8,9,19,18
"Elche",20,5,10,23,25,3,2,6,4,10,13,15,10
