"Squad","Player_Count","Progression_Carries","Progression_Passes","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Possession","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Almería",29,569,1090,12151,15855,76.6,5232,6003,87.2,1512,2911,51.9,5084,6022,84.4,13865,1907,552,49,132,605,750,147,83,45.1,20070,666,296,44.4,310,46.5
"Athletic Club",26,864,1816,14440,18630,77.5,6451,7431,86.8,1634,2878,56.8,6030,7262,83,16594,1940,502,44,191,918,835,257,96,51.6,22736,734,347,47.3,305,41.6
"Atlético Madrid",27,730,1571,16814,20488,82.1,8616,9432,91.3,1549,2765,56,6028,7038,85.6,18630,1779,490,83,193,625,702,183,79,50.6,24416,656,322,49.1,262,39.9
"Barcelona",29,963,2181,21298,24733,86.1,10267,11175,91.9,1990,2923,68.1,8599,9543,90.1,22836,1799,565,133,205,744,710,244,98,64.3,28418,802,396,49.4,321,40
"Betis",30,620,1272,14678,18249,80.4,7288,8070,90.3,1432,2667,53.7,5334,6273,85,16255,1920,634,62,137,514,740,152,74,50.6,22482,773,365,47.2,311,40.2
"Cádiz",38,475,969,9940,13952,71.2,4341,5147,84.3,1452,3117,46.6,3874,4864,79.6,12025,1852,548,29,150,633,748,145,75,41.9,18156,569,246,43.2,249,43.8
"Celta Vigo",26,704,1403,14700,18499,79.5,6259,7148,87.6,1565,2844,55,6536,7569,86.4,16495,1923,557,44,161,705,802,184,81,50.2,22608,700,323,46.1,295,42.1
"Elche",32,561,1197,12051,15758,76.5,5427,6202,87.5,1477,2793,52.9,4762,5677,83.9,13769,1908,494,24,164,750,789,204,81,45.5,19948,708,342,48.3,311,43.9
"Espanyol",33,528,1146,10827,14698,73.7,4483,5312,84.4,1483,2971,49.9,4607,5640,81.7,12685,1951,574,34,115,713,744,179,62,43.1,18805,575,257,44.7,260,45.2
"Getafe",25,365,1003,9690,14126,68.6,4104,5044,81.4,1502,3175,47.3,3760,4936,76.2,12118,1929,524,18,162,649,857,119,79,39.9,17947,456,217,47.6,189,41.4
"Girona",29,725,1378,15146,18604,81.4,7006,7806,89.8,1449,2560,56.6,6295,7222,87.2,16633,1884,576,32,135,713,742,145,87,51.3,22397,728,341,46.8,311,42.7
"Mallorca",31,476,948,10451,14261,73.3,4575,5313,86.1,1424,2932,48.6,4184,5157,81.1,12483,1701,497,29,150,635,649,139,77,41.1,18171,556,293,52.7,198,35.6
"Osasuna",26,545,1356,12725,16835,75.6,5565,6377,87.3,1759,3323,52.9,5130,6255,82,14900,1875,523,26,197,794,799,159,60,48,20888,626,313,50,247,39.5
"Rayo Vallecano",28,703,1390,13497,17666,76.4,5811,6629,87.7,1717,3329,51.6,5654,6716,84.2,15514,2054,564,29,194,832,901,189,98,51.2,21773,660,296,44.8,290,43.9
"Real Madrid",26,1008,2017,22082,25012,88.3,11462,12245,93.6,1812,2595,69.8,8069,8810,91.6,23163,1760,555,65,242,574,653,226,89,60.9,28884,971,475,48.9,379,39
"Real Sociedad",30,692,1483,15324,19134,80.1,6955,7910,87.9,1505,2659,56.6,6451,7502,86,17244,1799,537,47,107,538,782,165,91,54.6,23231,680,307,45.1,293,43.1
"Sevilla",35,558,1513,15379,19193,80.1,7106,7918,89.7,1599,2958,54.1,6324,7354,86,17244,1843,526,36,209,827,746,174,106,52.6,22999,604,269,44.5,257,42.5
"Valencia",28,786,1472,13592,17492,77.7,6320,7184,88,1420,2753,51.6,5505,6588,83.6,15405,2007,570,39,164,924,852,226,80,52,21621,747,352,47.1,307,41.1
"Valladolid",36,610,1244,12627,16425,76.9,5273,6049,87.2,1734,3141,55.2,5251,6199,84.7,14336,1991,576,33,225,683,786,170,98,48.7,20748,718,309,43,318,44.3
"Villarreal",32,846,1622,16634,19862,83.7,7381,8147,90.6,1743,2737,63.7,7101,7924,89.6,17980,1795,574,86,186,520,642,210,87,56.9,23817,880,435,49.4,345,39.2
