"Squad","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Almería",591,369,62.4365482233503,606,606,51.2,373,108,265,249,553,14
"Athletic Club",656,416,63.4146341463415,652,652,46.8,449,147,302,384,839,17
"Atlético Madrid",539,317,58.8126159554731,584,584,44.9,445,134,311,368,663,14
"Barcelona",647,385,59.5054095826893,717,717,44.8,423,139,284,369,746,17
"Betis",664,417,62.8012048192771,676,676,46,437,95,342,324,584,9
"Cádiz",603,374,62.0232172470978,495,495,50.3,347,87,260,242,727,10
"Celta Vigo",593,356,60.0337268128162,618,618,47.7,369,121,248,394,681,9
"Elche",656,402,61.280487804878,653,653,47.6,418,97,321,288,698,9
"Espanyol",505,326,64.5544554455445,517,517,50.3,328,100,228,238,822,10
"Getafe",457,290,63.4573304157549,406,406,46.6,378,95,283,300,723,14
"Girona",641,415,64.7425897035881,652,652,47.7,359,78,281,304,659,10
"Mallorca",500,296,59.2,491,491,40.3,333,82,251,231,621,8
"Osasuna",563,332,58.9698046181172,560,560,44.1,381,93,288,311,797,7
"Rayo Vallecano",664,391,58.8855421686747,586,586,49.5,416,133,283,345,810,10
"Real Madrid",676,407,60.207100591716,854,854,44.4,492,175,317,331,678,8
"Real Sociedad",661,403,60.9682299546142,600,600,48.8,402,110,292,325,613,15
"Sevilla",569,353,62.0386643233743,526,526,48.9,358,96,262,271,769,13
"Valencia",645,382,59.2248062015504,659,659,46.6,418,133,285,294,834,15
"Valladolid",634,389,61.3564668769716,627,627,50.7,409,97,312,264,662,5
"Villarreal",688,423,61.4825581395349,780,780,44.2,426,114,312,349,618,16
