"Squad","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Almería",98,4,2,6,443
"Athletic Club",81,5,1,6,512
"Atlético Madrid",92,8,3,11,440
"Barcelona",84,6,3,9,433
"Betis",83,15,3,18,414
"Cádiz",116,7,4,11,532
"Celta Vigo",85,6,3,9,469
"Elche",99,12,3,15,525
"Espanyol",99,10,4,14,457
"Getafe",126,9,6,15,600
"Girona",92,3,2,5,440
"Mallorca",120,5,0,5,611
"Osasuna",93,7,1,8,544
"Rayo Vallecano",90,6,2,8,544
"Real Madrid",72,3,2,5,367
"Real Sociedad",90,2,0,2,621
"Sevilla",121,13,4,17,474
"Valencia",93,8,3,11,504
"Valladolid",94,6,2,8,460
"Villarreal",91,4,2,6,450
