"Squad","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Almería",557,322,57.8096947935368,623,623,44.9,435,122,313,322,855,13
"Athletic Club",608,369,60.6907894736842,642,642,50.2,415,95,320,310,598,14
"Atlético Madrid",667,408,61.1694152923538,685,685,48.8,396,103,293,304,704,9
"Barcelona",522,324,62.0689655172414,498,498,45.6,353,82,271,253,439,17
"Betis",665,421,63.3082706766917,701,701,48.2,411,112,299,364,857,7
"Cádiz",623,410,65.8105939004815,671,671,47.7,425,128,297,270,853,13
"Celta Vigo",664,413,62.1987951807229,676,676,43.6,393,84,309,368,666,5
"Elche",633,363,57.345971563981,603,603,46.4,413,131,282,323,766,13
"Espanyol",652,379,58.1288343558282,600,600,50.2,416,134,282,338,788,9
"Getafe",541,339,62.6617375231054,619,619,46,404,113,291,320,794,10
"Girona",551,321,58.2577132486388,532,532,45.9,379,111,268,266,662,20
"Mallorca",583,344,59.0051457975986,581,581,48.7,402,146,256,318,859,7
"Osasuna",534,328,61.4232209737828,588,588,45.2,392,97,295,315,749,10
"Rayo Vallecano",636,393,61.7924528301887,664,664,42.3,428,92,336,309,680,11
"Real Madrid",542,353,65.1291512915129,565,565,45.8,365,105,260,296,469,5
"Real Sociedad",660,395,59.8484848484849,613,613,46.5,399,103,296,271,624,13
"Sevilla",587,367,62.5212947189097,591,591,47.5,361,127,234,339,633,9
"Valencia",678,428,63.1268436578171,645,645,48.2,370,75,295,288,643,21
"Valladolid",671,396,59.016393442623,628,628,47.1,432,149,283,345,767,8
"Villarreal",578,370,64.0138408304498,534,534,50.6,372,125,247,262,691,16
