"Squad","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Almería",93,5,2,7,427
"Athletic Club",97,3,1,4,449
"Atlético Madrid",93,6,2,8,449
"Barcelona",93,8,2,10,471
"Betis",99,8,1,9,568
"Cádiz",100,11,5,16,508
"Celta Vigo",112,9,3,12,520
"Elche",83,8,4,12,417
"Espanyol",111,8,5,13,515
"Getafe",91,7,4,11,463
"Girona",91,5,1,6,537
"Mallorca",94,4,1,5,482
"Osasuna",81,9,5,14,430
"Rayo Vallecano",93,7,4,11,525
"Real Madrid",97,7,1,8,549
"Real Sociedad",98,10,5,15,470
"Sevilla",95,8,1,9,477
"Valencia",127,10,2,12,527
"Valladolid",66,2,0,2,555
"Villarreal",105,5,1,6,501
