"Squad","Goalkeepers_Used","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Augsburg",2,60,123,71,3,8.8,2,22.2
"Bayern Munich",3,45,78,66.1,11,32.4,1,25
"Bochum",2,74,117,65.6,4,11.8,2,18.2
"Darmstadt 98",2,86,130,60.5,3,8.8,1,50
"Dortmund",2,43,103,73.8,10,29.4,1,16.7
"Eint Frankfurt",2,50,94,71.9,7,20.6,2,18.2
"Freiburg",1,58,99,65.2,10,29.4,2,40
"Gladbach",2,67,140,70.5,4,11.8,0,0
"Heidenheim",1,55,121,72.4,6,17.6,1,12.5
"Hoffenheim",1,66,143,69.7,2,5.9,3,60
"Köln",1,60,108,66.1,4,11.8,0,0
"Leverkusen",2,24,81,77.1,16,47.1,0,NA
"Mainz 05",2,51,95,66.9,8,23.5,0,0
"RB Leipzig",2,39,79,70.1,10,29.4,0,0
"Stuttgart",2,39,93,72.1,12,35.3,0,0
"Union Berlin",2,58,109,68.5,7,20.6,2,28.6
"Werder Bremen",2,54,113,71.1,7,20.6,0,0
"Wolfsburg",2,56,98,64.2,6,17.6,0,0
