"Squad","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Augsburg",50,79,65.4,8,23.5,2,28.6
"Bayern Munich",94,141,62,3,8.8,0,0
"Bochum",42,108,74.5,8,23.5,0,0
"Darmstadt 98",30,85,76.1,17,50,0,0
"Dortmund",68,122,67.4,4,11.8,0,0
"Eint Frankfurt",51,93,65.2,6,17.6,0,0
"Freiburg",45,95,72.5,6,17.6,0,0
"Gladbach",56,94,66,8,23.5,1,16.7
"Heidenheim",50,70,59,5,14.7,1,33.3
"Hoffenheim",66,101,63.9,3,8.8,0,0
"Köln",28,119,84.4,14,41.2,0,0
"Leverkusen",89,153,66.3,1,2.9,0,0
"Mainz 05",39,97,72.5,9,26.5,3,75
"RB Leipzig",77,144,67,4,11.8,3,42.9
"Stuttgart",78,133,65.7,3,8.8,2,28.6
"Union Berlin",33,97,77.4,17,50,3,50
"Werder Bremen",48,85,67.2,7,20.6,1,16.7
"Wolfsburg",41,108,74,7,20.6,1,33.3
