"Squad","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Augsburg",528,319,60.4166666666667,492,492,48.2,439,133,306,295,727,9
"Bayern Munich",520,323,62.1153846153846,510,510,48,378,81,297,288,473,18
"Bochum",603,366,60.6965174129353,574,574,51.2,460,142,318,308,768,9
"Darmstadt 98",560,323,57.6785714285714,583,583,48.9,400,137,263,317,707,19
"Dortmund",548,356,64.963503649635,557,557,52.4,431,121,310,251,628,12
"Eint Frankfurt",602,359,59.6345514950166,548,548,53.5,424,99,325,302,704,12
"Freiburg",546,319,58.4249084249084,463,463,49,436,149,287,272,725,7
"Gladbach",582,337,57.9037800687285,534,534,53.7,465,168,297,333,860,15
"Heidenheim",601,352,58.5690515806988,591,591,46.5,463,129,334,302,783,5
"Hoffenheim",517,304,58.8007736943907,541,541,47.9,413,143,270,357,790,12
"Köln",617,375,60.7779578606159,659,659,51.9,506,154,352,305,766,9
"Leverkusen",458,277,60.4803493449782,403,403,48.9,330,72,258,224,460,9
"Mainz 05",572,328,57.3426573426573,526,526,52.5,442,117,325,346,704,3
"RB Leipzig",538,317,58.9219330855019,487,487,50.1,444,97,347,240,630,12
"Stuttgart",537,316,58.8454376163873,513,513,49.3,378,109,269,269,619,12
"Union Berlin",549,352,64.1165755919854,504,504,50.4,480,137,343,305,861,9
"Werder Bremen",604,351,58.112582781457,609,609,51.2,434,153,281,284,785,9
"Wolfsburg",550,303,55.0909090909091,527,527,49.7,414,99,315,268,801,8
