"Squad","Rank","Wins","Draws","Losses","Pts","Home_Wins","Away_Wins","Home_Draws","Away_Draws","Home_Losses","Away_Losses","Home_Pts","Away_Pts"
"Leverkusen",1,28,6,0,90,14,14,3,3,0,0,45,45
"Stuttgart",2,23,4,7,73,13,10,3,1,1,6,42,31
"Bayern Munich",3,23,3,8,72,14,9,1,2,2,6,43,29
"RB Leipzig",4,19,8,7,65,11,8,4,4,2,5,37,28
"Dortmund",5,18,9,7,63,10,8,3,6,4,3,33,30
"Eint Frankfurt",6,11,14,9,47,7,4,8,6,2,7,29,18
"Hoffenheim",7,13,7,14,46,6,7,5,2,6,8,23,23
"Heidenheim",8,10,12,12,42,7,3,5,7,5,7,26,16
"Werder Bremen",9,11,9,14,42,7,4,4,5,6,8,25,17
"Freiburg",10,11,9,14,42,5,6,7,2,5,9,22,20
"Augsburg",11,10,9,15,39,6,4,6,3,5,10,24,15
"Wolfsburg",12,10,7,17,37,6,4,4,3,7,10,22,15
"Mainz 05",13,7,14,13,35,6,1,5,9,6,7,23,12
"Gladbach",14,7,13,14,34,5,2,6,7,6,8,21,13
"Union Berlin",15,9,6,19,33,7,2,2,4,8,11,23,10
"Bochum",16,7,12,15,33,5,2,8,4,4,11,23,10
"Köln",17,5,12,17,27,4,1,4,8,9,8,16,11
"Darmstadt 98",18,3,8,23,17,1,2,3,5,13,10,6,11
