"Squad","Progression_Carries","Progression_Passes","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Possession","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Augsburg",665,1420,14958,18656,80.2,6839,7791,87.8,1555,2741,56.7,6224,7202,86.4,16854,1744,514,43,156,658,678,179,58,56.1,22454,551,256,46.5,237,43
"Bayern Munich",504,1001,11673,14634,79.8,5434,6109,89,1143,2123,53.8,4745,5506,86.2,13184,1400,346,45,86,463,527,96,50,38.7,18550,539,265,49.2,245,45.5
"Bochum",597,1264,12224,16555,73.8,5394,6454,83.6,1393,2806,49.6,5143,6349,81,14631,1865,506,51,101,668,755,198,59,53.4,20892,637,280,44,294,46.2
"Darmstadt 98",647,1458,14988,18463,81.2,6889,7744,89,1280,2397,53.4,6439,7393,87.1,16773,1631,453,76,70,622,709,182,59,54.3,22128,647,298,46.1,285,44
"Dortmund",608,1283,11645,14962,77.8,5261,6029,87.3,1155,2193,52.7,4918,5814,84.6,13401,1471,330,54,83,602,623,172,90,42.2,18853,602,265,44,292,48.5
"Eint Frankfurt",499,1283,13799,17532,78.7,6066,6954,87.2,1470,2591,56.7,5914,6961,85,15912,1535,378,48,85,619,679,155,85,47.9,21497,600,255,42.5,293,48.8
"Freiburg",623,1334,15011,18560,80.9,6651,7565,87.9,1268,2365,53.6,6723,7698,87.3,17024,1492,399,49,69,601,611,190,44,53.4,22323,509,236,46.4,227,44.6
"Gladbach",671,1599,16078,19590,82.1,7427,8280,89.7,1359,2449,55.5,6901,7868,87.7,17982,1562,355,65,81,710,668,208,46,53.2,23363,570,247,43.3,287,50.4
"Heidenheim",702,1587,15688,19659,79.8,6871,7861,87.4,1592,2821,56.4,6867,7970,86.2,17901,1702,450,67,83,637,739,170,56,57.5,23799,639,316,49.5,275,43
"Hoffenheim",683,1514,13823,17443,79.2,6292,7184,87.6,1444,2584,55.9,5762,6774,85.1,15782,1609,363,50,99,697,699,193,52,50.5,21315,594,282,47.5,259,43.6
"Köln",502,1442,14756,18354,80.4,6253,7137,87.6,1483,2552,58.1,6674,7685,86.8,16589,1725,447,41,101,629,742,203,40,53.5,22354,724,317,43.8,342,47.2
"Leverkusen",398,940,11820,14960,79,5262,5958,88.3,1157,2298,50.3,5090,5928,85.9,13528,1394,371,35,58,405,504,112,38,38.2,18788,434,206,47.5,197,45.4
"Mainz 05",522,1205,13806,17869,77.3,6132,7201,85.2,1299,2612,49.7,6081,7159,84.9,16094,1732,511,39,72,546,749,142,43,53.9,21939,587,250,42.6,276,47
"RB Leipzig",495,1128,12519,15867,78.9,5442,6262,86.9,1223,2261,54.1,5508,6416,85.8,14271,1546,405,31,60,539,623,140,50,44.7,19629,527,243,46.1,244,46.3
"Stuttgart",466,1013,11590,14991,77.3,5149,5942,86.7,1109,2244,49.4,4998,5895,84.8,13405,1527,356,39,70,522,652,143,59,40.1,18685,567,260,45.9,253,44.6
"Union Berlin",664,1565,16055,19979,80.4,7001,8000,87.5,1586,2741,57.9,7180,8281,86.7,18270,1661,435,40,100,734,721,175,48,57.1,23821,541,250,46.2,254,47
"Werder Bremen",638,1428,15028,18711,80.3,6989,7921,88.2,1425,2633,54.1,6158,7123,86.5,17015,1623,435,48,69,634,667,199,73,53.2,22502,664,297,44.7,312,47
"Wolfsburg",532,1346,14716,18266,80.6,6337,7233,87.6,1507,2583,58.3,6492,7426,87.4,16558,1613,426,41,107,616,716,171,95,52,21938,575,265,46.1,262,45.6
