"Squad","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Augsburg",63,1,0,1,360
"Bayern Munich",62,3,1,4,319
"Bochum",75,2,1,3,422
"Darmstadt 98",59,4,2,6,370
"Dortmund",70,1,0,1,406
"Eint Frankfurt",56,4,2,6,337
"Freiburg",69,1,1,2,387
"Gladbach",64,3,2,5,389
"Heidenheim",73,0,0,0,344
"Hoffenheim",70,5,5,10,392
"Köln",75,4,2,6,381
"Leverkusen",67,5,2,7,354
"Mainz 05",78,3,1,4,434
"RB Leipzig",90,5,1,6,404
"Stuttgart",75,3,0,3,392
"Union Berlin",60,1,1,2,355
"Werder Bremen",84,6,2,8,407
"Wolfsburg",79,4,2,6,424
