"Squad","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Augsburg",491,293,59.6741344195519,490,490,52,393,120,273,249,803,16
"Bayern Munich",731,435,59.5075239398085,855,855,43.7,527,188,339,349,734,8
"Bochum",489,304,62.1676891615542,395,395,52.9,433,147,286,314,928,11
"Darmstadt 98",450,270,60,412,412,53.4,395,117,278,221,578,6
"Dortmund",641,376,58.6583463338534,632,632,49.4,444,126,318,336,673,12
"Eint Frankfurt",624,370,59.2948717948718,607,607,53.7,442,108,334,312,692,10
"Freiburg",477,281,58.9098532494759,458,458,51.7,388,101,287,244,718,6
"Gladbach",581,358,61.617900172117,498,498,52.4,404,105,299,286,552,6
"Heidenheim",545,345,63.302752293578,489,489,54.4,473,109,364,303,708,11
"Hoffenheim",508,299,58.8582677165354,487,487,54.8,420,120,300,279,714,17
"Köln",528,322,60.9848484848485,482,482,49,464,122,342,268,784,6
"Leverkusen",661,376,56.8835098335855,676,676,48.5,472,160,312,363,751,17
"Mainz 05",554,315,56.8592057761733,538,538,50,442,146,296,276,896,9
"RB Leipzig",570,322,56.4912280701754,560,560,42.5,433,131,302,299,701,11
"Stuttgart",608,370,60.8552631578947,613,613,45.5,435,124,311,328,618,13
"Union Berlin",553,343,62.0253164556962,477,477,54.5,389,106,283,282,724,10
"Werder Bremen",525,298,56.7619047619048,515,515,50.9,382,107,275,283,586,11
"Wolfsburg",496,300,60.4838709677419,437,437,53.8,401,103,298,274,631,9
