"Squad","Player_Count","Progression_Carries","Progression_Passes","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Possession","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Augsburg",29,462,1137,10545,14262,73.9,4147,4989,83.1,1272,2491,51.1,4851,5902,82.2,12585,1596,393,34,76,631,681,165,81,43.9,18129,531,235,44.3,255,48
"Bayern Munich",30,944,1941,19987,22946,87.1,9254,10094,91.7,1476,2208,66.8,8928,9742,91.6,21398,1488,347,83,119,655,620,228,60,61.3,26644,907,481,53,374,41.2
"Bochum",25,400,1151,9786,14203,68.9,4234,5278,80.2,1393,2934,47.5,3854,5032,76.6,12336,1784,454,42,50,649,813,154,83,46.6,18361,436,186,42.7,209,47.9
"Darmstadt 98",32,437,1083,11807,15336,77,4830,5582,86.5,1494,2813,53.1,5247,6139,85.5,13685,1594,408,19,103,514,641,115,57,45.7,19009,440,192,43.6,220,50
"Dortmund",32,770,1452,17191,20445,84.1,7696,8552,90,1651,2584,63.9,7352,8202,89.6,18810,1591,467,52,151,522,602,176,44,57.8,24316,712,321,45.1,312,43.8
"Eint Frankfurt",34,574,1305,15017,18809,79.8,6582,7496,87.8,1204,2409,50,6907,7959,86.8,17091,1667,407,54,57,557,739,161,51,52.1,22762,640,281,43.9,326,50.9
"Freiburg",25,468,1208,12337,16023,77,5228,6120,85.4,1296,2579,50.3,5515,6445,85.6,14477,1494,406,34,68,593,582,128,52,46.6,19706,518,221,42.7,237,45.8
"Gladbach",27,598,1227,13544,16946,79.9,6222,7073,88,1162,2210,52.6,5785,6704,86.3,15325,1568,414,45,67,574,615,174,53,46.8,20954,550,237,43.1,261,47.5
"Heidenheim",22,510,983,10264,14339,71.6,3699,4713,78.5,1578,2863,55.1,4741,5858,80.9,12534,1767,381,22,112,663,798,183,38,42.5,18405,530,223,42.1,266,50.2
"Hoffenheim",30,538,1359,13457,17038,79,5931,6757,87.8,1372,2563,53.5,5840,6864,85.1,15411,1575,414,62,74,603,617,149,52,49.5,20983,542,220,40.6,267,49.3
"Köln",26,618,1086,11704,15411,75.9,4930,5779,85.3,1146,2378,48.2,5377,6369,84.4,13628,1730,396,19,69,779,792,188,53,46.5,19356,524,246,46.9,236,45
"Leverkusen",24,888,1997,21192,24301,87.2,12041,12986,92.7,1249,1977,63.2,7316,8125,90,22816,1412,357,84,109,586,578,236,73,61.8,27830,727,348,47.9,328,45.1
"Mainz 05",30,480,1169,10974,15120,72.6,4718,5730,82.3,1323,2702,49,4623,5826,79.4,13376,1685,446,29,74,633,770,180,59,46.1,19212,601,269,44.8,269,44.8
"RB Leipzig",26,714,1541,16254,19590,83,6994,7859,89,1287,2207,58.3,7624,8554,89.1,17935,1588,423,86,93,608,657,200,67,55.3,23320,633,322,50.9,238,37.6
"Stuttgart",27,693,1618,19201,22456,85.5,9516,10371,91.8,1352,2320,58.3,7721,8581,90,20912,1494,434,88,90,537,608,166,50,59.9,26204,673,334,49.6,279,41.5
"Union Berlin",30,389,1146,11004,14784,74.4,4534,5371,84.4,1356,2658,51,4773,5802,82.3,13097,1626,385,28,64,662,725,157,61,42.9,18929,506,217,42.9,260,51.4
"Werder Bremen",30,492,1172,12821,16418,78.1,5250,6169,85.1,1549,2676,57.9,5760,6739,85.5,14834,1514,455,50,97,543,554,120,70,46.8,20347,556,253,45.5,262,47.1
"Wolfsburg",28,441,1235,13092,16624,78.8,5883,6706,87.7,1288,2422,53.2,5603,6605,84.8,14924,1659,493,31,77,593,670,148,41,48,20363,481,202,42,235,48.9
