"Squad","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Augsburg",71,3,1,4,454
"Bayern Munich",47,2,1,3,304
"Bochum",97,2,0,2,446
"Darmstadt 98",83,4,0,4,429
"Dortmund",59,4,2,6,315
"Eint Frankfurt",70,5,4,9,355
"Freiburg",64,4,1,5,364
"Gladbach",66,2,1,3,337
"Heidenheim",54,1,0,1,442
"Hoffenheim",86,5,4,9,339
"Köln",71,4,3,7,418
"Leverkusen",59,0,0,0,305
"Mainz 05",99,3,1,4,473
"RB Leipzig",61,1,1,2,354
"Stuttgart",56,1,1,2,329
"Union Berlin",67,7,3,10,402
"Werder Bremen",73,2,0,2,396
"Wolfsburg",86,5,2,7,415
