"Squad","Total_Goals_Scored","Total_Goals_Conceded","Goal_Difference","Home_Goals_Scored","Home_Goals_Conceded","Home_Goal_Difference","Away_Goals_Scored","Away_Goals_Conceded","Away_Goal_Difference","Assists","Goals+Assists","Penalty_Attempted","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Augsburg",50,60,-10,26,26,0,24,34,-10,35,84,7,5,429,123,28.7,0.1,0.36,17.5,12,726,503,223,78,58,20
"Bayern Munich",94,45,49,53,12,41,41,33,8,71,164,5,5,633,229,36.2,0.14,0.38,15.7,13,1156,875,281,166,126,40
"Bochum",42,74,-32,26,29,-3,16,45,-29,30,71,4,4,524,145,27.7,0.07,0.26,18.2,18,884,561,323,72,43,29
"Darmstadt 98",30,86,-56,15,44,-29,15,42,-27,21,49,3,3,404,110,27.2,0.06,0.23,19.1,12,723,522,201,50,38,12
"Dortmund",68,43,25,37,22,15,31,21,10,49,117,6,6,506,184,36.4,0.12,0.34,16.9,17,909,668,241,121,84,37
"Eint Frankfurt",51,50,1,29,21,8,22,29,-7,36,84,3,2,402,139,34.6,0.11,0.33,16.4,11,688,493,195,81,63,18
"Freiburg",45,58,-13,28,30,-2,17,28,-11,32,75,9,7,392,131,33.4,0.09,0.27,16,7,714,538,176,77,51,26
"Gladbach",56,67,-11,27,26,1,29,41,-12,43,98,6,5,451,144,31.9,0.11,0.35,17.1,4,806,572,234,98,71,27
"Heidenheim",50,55,-5,30,26,4,20,29,-9,34,80,3,2,392,114,29.1,0.11,0.39,17,12,666,442,224,81,57,24
"Hoffenheim",66,66,0,31,31,0,35,35,0,47,112,6,6,457,160,35,0.13,0.37,17.9,16,813,608,205,110,78,32
"Köln",28,60,-32,15,28,-13,13,32,-19,17,45,6,5,441,142,32.2,0.05,0.16,17.8,12,780,551,229,45,22,23
"Leverkusen",89,24,65,47,11,36,42,13,29,71,158,8,8,611,232,38,0.13,0.34,17.6,21,1117,854,263,159,115,44
"Mainz 05",39,51,-12,23,18,5,16,33,-17,31,69,5,1,476,134,28.2,0.08,0.28,17.5,20,816,531,285,65,46,19
"RB Leipzig",77,39,38,40,12,28,37,27,10,53,127,7,4,528,214,40.5,0.13,0.33,16.8,17,934,691,243,126,97,29
"Stuttgart",78,39,39,50,15,35,28,24,4,60,138,8,5,529,206,38.9,0.14,0.35,17.6,8,960,738,222,138,108,30
"Union Berlin",33,58,-25,22,30,-8,11,28,-17,23,56,6,3,403,127,31.5,0.07,0.24,16.4,7,702,484,218,60,38,22
"Werder Bremen",48,54,-6,29,26,3,19,28,-9,33,78,6,5,407,125,30.7,0.1,0.32,17.4,14,721,550,171,82,61,21
"Wolfsburg",41,56,-15,25,25,0,16,31,-15,27,68,3,2,411,147,35.8,0.09,0.27,17.7,17,724,544,180,73,58,15
