"Squad","Total_Goals_Scored","Total_Goals_Conceded","Goal_Difference","Home_Goals_Scored","Home_Goals_Conceded","Home_Goal_Difference","Away_Goals_Scored","Away_Goals_Conceded","Away_Goal_Difference","Assists","Goals+Assists","Penalty_Attempted","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Amiens",31,50,-19,17,23,-6,14,27,-13,20,50,5,3,229,77,33.6,0.12,0.35,19.3,13,405,283,122,50,36,14
"Angers",28,33,-5,20,13,7,8,20,-12,21,48,1,1,363,113,31.1,0.07,0.23,19.2,16,629,452,177,48,36,12
"Bordeaux",40,34,6,19,12,7,21,22,-1,29,69,2,2,308,106,34.4,0.12,0.36,19.8,21,530,357,173,65,35,30
"Brest",34,37,-3,21,11,10,13,26,-13,27,59,5,1,320,97,30.3,0.1,0.32,19.2,7,574,443,131,59,44,15
"Dijon",27,37,-10,20,15,5,7,22,-15,17,43,1,1,335,100,29.9,0.07,0.25,18.7,11,580,390,190,44,31,13
"Lille",35,27,8,24,9,15,11,18,-7,25,60,8,5,342,121,35.4,0.09,0.25,18.6,10,615,414,201,58,38,20
"Lyon",42,27,15,17,7,10,25,20,5,29,71,6,5,354,130,36.7,0.1,0.28,19.1,15,636,453,183,72,51,21
"Marseille",41,29,12,21,14,7,20,15,5,28,66,6,4,370,115,31.1,0.09,0.3,19.7,20,637,427,210,63,40,23
"Metz",27,35,-8,18,17,1,9,18,-9,20,47,4,2,306,96,31.4,0.08,0.26,20.7,19,544,379,165,46,29,17
"Monaco",44,44,0,29,22,7,15,22,-7,29,73,4,4,376,135,35.9,0.11,0.3,16.9,16,668,462,206,75,52,23
"Montpellier",35,34,1,26,10,16,9,24,-15,19,52,5,2,348,112,32.2,0.09,0.28,19.2,22,617,418,199,58,39,19
"Nantes",28,31,-3,11,11,0,17,20,-3,16,39,2,2,332,112,33.7,0.06,0.19,20.1,9,583,407,176,40,30,10
"Nice",41,38,3,28,20,8,13,18,-5,30,71,5,5,334,125,37.4,0.11,0.29,18.9,25,598,396,202,72,50,22
"Nîmes",29,44,-15,17,15,2,12,29,-17,20,49,2,2,355,105,29.6,0.08,0.26,19.4,12,593,391,202,47,30,17
"Paris S-G",75,24,51,44,11,33,31,13,18,51,122,8,6,441,186,42.2,0.15,0.35,15.9,21,795,606,189,124,91,33
"Reims",26,21,5,12,7,5,14,14,0,16,42,5,5,333,87,26.1,0.06,0.24,19.3,14,594,433,161,45,29,16
"Rennes",38,24,14,25,14,11,13,10,3,26,63,5,3,336,108,32.1,0.1,0.31,19,27,602,422,180,62,44,18
"Saint-Étienne",29,45,-16,15,18,-3,14,27,-13,20,48,5,5,304,97,31.9,0.08,0.24,19,15,520,352,168,51,30,21
"Strasbourg",32,32,0,22,14,8,10,18,-8,21,53,4,3,323,105,32.5,0.09,0.28,18.3,13,572,423,149,56,43,13
"Toulouse",22,58,-36,11,24,-13,11,34,-23,14,35,6,4,310,90,29,0.05,0.19,18.5,12,552,381,171,39,26,13
