"Squad","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Amiens",59,4,2,6,403
"Angers",43,2,1,3,336
"Bordeaux",55,0,0,0,379
"Brest",45,2,0,2,329
"Dijon",43,2,0,2,351
"Lille",51,3,2,5,385
"Lyon",50,4,1,5,342
"Marseille",68,3,1,4,376
"Metz",45,4,0,4,335
"Monaco",61,10,1,11,336
"Montpellier",57,5,2,7,421
"Nantes",52,2,1,3,376
"Nice",58,7,4,11,295
"Nîmes",44,6,3,9,360
"Paris S-G",51,1,1,2,333
"Reims",57,5,5,10,384
"Rennes",51,1,0,1,387
"Saint-Étienne",61,3,2,5,371
"Strasbourg",47,1,1,2,367
"Toulouse",49,5,1,6,396
