"Squad","Goalkeepers_Used","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Amiens",1,50,93,65.5,5,17.9,0,0
"Angers",2,33,57,66.7,12,42.9,0,0
"Bordeaux",1,34,74,70.4,6,21.4,1,33.3
"Brest",2,37,104,76.9,8,28.6,2,33.3
"Dijon",2,37,93,71.9,6,21.4,0,0
"Lille",1,27,58,72.3,12,42.9,1,20
"Lyon",2,27,73,74.2,9,32.1,0,0
"Marseille",2,29,71,74.7,11,39.3,1,20
"Metz",2,35,100,77,8,28.6,0,0
"Monaco",1,44,91,71.6,7,25,0,0
"Montpellier",3,34,98,76.5,8,28.6,2,40
"Nantes",2,31,68,72.3,10,35.7,2,40
"Nice",2,38,100,75.9,4,14.3,1,16.7
"Nîmes",2,44,84,68.5,7,25,0,0
"Paris S-G",4,24,58,70.4,14,51.9,0,NA
"Reims",2,21,66,79.1,12,42.9,4,66.7
"Rennes",2,24,73,78.6,10,35.7,2,40
"Saint-Étienne",3,45,80,68,5,17.9,0,0
"Strasbourg",1,32,71,75,8,29.6,1,14.3
"Toulouse",3,58,87,62.3,3,10.7,2,40
