"Squad","Total_Goals_Scored","Total_Goals_Conceded","Assists","Goals+Assists","Penalty_Attempts","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Amiens",50,31,36,85,1,1,409,141,34.5,0.12,0.34,19.4,21,702,501,201,81,49,32
"Angers",33,28,25,58,3,3,265,87,32.8,0.11,0.34,18.6,13,472,353,119,54,41,13
"Bordeaux",34,40,28,61,3,2,357,105,29.4,0.09,0.3,19,10,630,433,197,56,45,11
"Brest",37,34,24,61,6,4,407,137,33.7,0.08,0.24,17.6,18,735,510,225,66,44,22
"Dijon",37,27,25,60,1,1,396,127,32.1,0.09,0.27,18.4,13,681,473,208,59,35,24
"Lille",27,35,17,41,6,4,271,78,28.8,0.07,0.26,18.1,15,482,327,155,40,30,10
"Lyon",27,42,15,39,3,2,307,95,30.9,0.07,0.23,21.1,21,549,390,159,41,31,10
"Marseille",29,41,20,47,5,4,273,94,34.4,0.08,0.24,18.9,19,481,323,158,50,34,16
"Metz",35,27,25,60,4,4,384,131,34.1,0.08,0.24,19,18,676,487,189,64,46,18
"Monaco",44,44,29,72,6,6,362,128,35.4,0.1,0.29,18.4,14,641,459,182,72,48,24
"Montpellier",34,35,22,54,5,3,367,127,34.6,0.08,0.23,20.1,26,667,461,206,60,34,26
"Nantes",31,28,23,53,6,3,296,96,32.4,0.09,0.28,18.6,15,528,359,169,52,36,16
"Nice",38,41,21,57,7,5,384,131,34.1,0.08,0.24,18.3,15,690,486,204,61,37,24
"Nîmes",44,29,28,71,4,4,348,123,35.3,0.11,0.32,18.6,18,596,395,201,70,46,24
"Paris S-G",24,75,16,39,0,0,266,81,30.5,0.09,0.28,18.9,8,460,323,137,37,28,9
"Reims",21,26,13,34,6,2,278,85,30.6,0.07,0.22,19.2,13,483,317,166,37,27,10
"Rennes",24,38,14,37,5,3,353,93,26.3,0.06,0.22,19.8,10,614,417,197,38,27,11
"Saint-Étienne",45,29,30,75,6,5,320,120,37.5,0.13,0.33,18.6,13,567,424,143,78,58,20
"Strasbourg",32,32,20,52,7,6,268,97,36.2,0.1,0.27,18.8,17,478,344,134,56,38,18
"Toulouse",58,22,47,104,5,3,408,141,34.6,0.13,0.38,18.4,21,712,507,205,102,70,32
