"Squad","Rank","Wins","Draws","Losses","Pts","Home_Wins","Away_Wins","Home_Draws","Away_Draws","Home_Losses","Away_Losses","Home_Pts","Away_Pts"
"Paris S-G",1,22,2,3,68,12,10,1,1,1,2,37,31
"Marseille",2,16,8,4,56,8,8,4,4,2,2,28,28
"Rennes",3,15,5,8,50,9,6,2,3,3,5,29,21
"Lille",4,15,4,9,49,11,4,2,2,2,7,35,14
"Nice",5,11,8,9,41,8,3,4,4,3,6,28,13
"Reims",6,10,11,7,41,5,5,7,4,2,5,22,19
"Lyon",7,11,7,10,40,5,6,4,3,4,6,19,21
"Montpellier",8,11,7,10,40,10,1,2,5,2,8,32,8
"Monaco",9,11,7,10,40,8,3,2,5,4,6,26,14
"Strasbourg",10,11,5,11,38,7,4,3,2,3,8,24,14
"Angers",11,11,6,11,39,8,3,3,3,4,7,27,12
"Bordeaux",12,9,10,9,37,4,5,5,5,4,5,17,20
"Nantes",13,11,4,13,37,6,5,2,2,6,7,20,17
"Brest",14,8,10,10,34,6,2,6,4,2,8,24,10
"Metz",15,8,10,10,34,5,3,4,6,5,5,19,15
"Dijon",16,7,9,12,30,6,1,6,3,2,10,24,6
"Saint-Étienne",17,8,6,14,30,4,4,6,0,4,10,18,12
"Nîmes",18,7,6,15,27,6,1,2,4,6,9,20,7
"Amiens",19,4,11,13,23,3,1,5,6,6,7,14,9
"Toulouse",20,3,4,21,13,3,0,0,4,10,11,9,4
