"Squad","Player_Count","Progression_Carries","Progression_Passes","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Possession","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Amiens",27,384,1013,9685,12850,75.4,4758,5530,86,1006,2015,49.9,3638,4570,79.6,11356,1457,350,28,91,463,669,108,37,45.6,15949,409,244,59.7,165,40.3
"Angers",26,542,1088,10518,13458,78.2,4767,5387,88.5,1219,2274,53.6,4021,4778,84.2,12001,1429,351,15,97,550,649,146,28,45.3,16445,479,291,60.8,187,39
"Bordeaux",26,441,995,12252,15092,81.2,5301,5940,89.2,1140,2058,55.4,5471,6290,87,13672,1380,389,35,93,425,546,137,40,53.6,18253,507,273,53.8,233,46
"Brest",24,415,1138,11054,14206,77.8,4569,5299,86.2,1383,2456,56.3,4931,5835,84.5,12692,1479,332,32,146,520,722,117,35,49.8,17263,364,209,57.4,155,42.6
"Dijon",28,513,909,10073,13029,77.3,4221,4899,86.2,1352,2415,56,4300,5125,83.9,11560,1437,380,30,90,451,622,121,32,46.5,16323,543,312,57.5,231,42.5
"Lille",25,544,1077,11263,14278,78.9,4937,5631,87.7,1168,2167,53.9,4595,5338,86.1,12765,1453,387,47,113,528,657,154,60,52.9,17279,522,307,58.8,215,41.2
"Lyon",27,563,1208,13273,15983,83,5867,6557,89.5,1367,2144,63.8,5651,6417,88.1,14622,1335,353,39,114,495,604,129,26,56.2,19207,578,341,59,237,41
"Marseille",23,639,1107,11918,14767,80.7,5862,6565,89.3,1219,2111,57.7,4311,5070,85,13347,1397,381,37,132,499,648,151,23,53.5,18065,510,316,62,194,38
"Metz",24,578,845,9568,12493,76.6,4411,5019,87.9,1042,2149,48.5,3816,4595,83,11124,1338,366,15,80,447,572,119,31,45.3,15860,561,337,60.1,224,39.9
"Monaco",28,646,1302,11667,14506,80.4,5366,6111,87.8,1134,1960,57.9,4871,5650,86.2,13101,1361,404,52,104,510,541,132,44,50.9,17559,500,308,61.6,192,38.4
"Montpellier",27,425,1104,9713,12825,75.7,3990,4707,84.8,1505,2568,58.6,4043,4848,83.4,11351,1432,418,19,147,614,592,130,42,47.6,15917,449,218,48.6,231,51.4
"Nantes",29,548,1034,10578,13673,77.4,5094,5897,86.4,1016,2038,49.9,4189,5013,83.6,12190,1439,383,17,102,464,649,150,44,48,16839,561,322,57.4,238,42.4
"Nice",31,499,1260,13394,15644,85.6,5945,6511,91.3,1083,1790,60.5,6148,6752,91.1,14277,1345,401,24,120,395,519,131,22,54.6,18875,626,364,58.1,262,41.9
"Nîmes",28,421,959,8100,11253,72,3604,4384,82.2,1004,2093,48,3332,4150,80.3,9597,1617,455,8,116,544,733,143,39,45,14493,469,233,49.7,236,50.3
"Paris S-G",31,711,1681,16726,19009,88,8660,9279,93.3,1201,1715,70,6218,6843,90.9,17723,1229,317,89,113,520,514,181,57,65.2,21903,675,406,60.1,268,39.7
"Reims",26,597,1042,10325,13260,77.9,4193,4859,86.3,1355,2389,56.7,4611,5416,85.1,11748,1467,412,30,130,539,653,143,45,48.9,16410,519,301,58,218,42
"Rennes",26,557,936,10388,13199,78.7,4476,5169,86.6,1227,2150,57.1,4433,5163,85.9,11752,1407,403,24,120,478,629,124,40,49.6,16431,488,261,53.5,227,46.5
"Saint-Étienne",31,515,979,10048,13149,76.4,4427,5195,85.2,1101,2146,51.3,4198,5013,83.7,11633,1473,375,24,119,563,678,140,43,48.2,16336,485,289,59.6,196,40.4
"Strasbourg",25,492,982,10044,12842,78.2,3908,4556,85.8,1597,2582,61.9,4143,4872,85,11488,1321,342,23,215,579,592,129,33,49.6,15640,426,257,60.3,169,39.7
"Toulouse",30,556,949,9333,12290,75.9,4710,5440,86.6,997,2067,48.2,3342,4089,81.7,10842,1418,341,15,60,534,582,123,30,44.2,15562,471,287,60.9,184,39.1
