"Player","Squad","Nation","Pos","Pos2","Age","Progression_Carries","Progression_Passes_Delivered","Progression_Passes_Recived","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Key_Passes","Passes_Into_Penalty_Area","Crosses_Into_Penalty_Area","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Abdel Jalil Medioub","Bordeaux","ALG","DF",NA,23,3,12,0,231,287,80.5,82,96,85.4,22,47,46.8,121,137,88.3,0,0,0,281,6,5,0,2,0,1,0,0,365,3,3,100,0,0
"Abdou Diallo","Paris S-G","SEN","DF",NA,25,16,47,39,623,704,88.5,302,320,94.4,42,63,66.7,263,290,90.7,4,6,4,635,68,16,0,1,18,52,0,1,798,26,19,73.1,7,26.9
"Abdoulaye Bakayoko","Saint-Étienne","FRA","DF",NA,18,1,7,1,93,136,68.4,37,43,86,7,26,26.9,46,59,78,0,1,0,132,4,4,0,0,0,0,0,0,195,5,4,80,1,20
"Abdoulaye Bamba","Angers","CIV","DF","FW",31,7,13,21,140,183,76.5,70,79,88.6,8,19,42.1,56,74,75.7,2,2,1,138,45,3,0,0,10,42,0,0,240,1,0,0,1,100
"Abdu Conté","Troyes","POR","DF",NA,23,31,37,71,447,614,72.8,244,302,80.8,27,57,47.4,159,211,75.4,9,9,5,480,132,4,0,3,41,128,0,2,733,19,11,57.9,8,42.1
"Abdul Majeed Waris","Strasbourg","GHA","FW","MF",29,17,11,47,97,132,73.5,62,75,82.7,4,7,57.1,26,35,74.3,4,3,2,127,4,1,1,0,7,3,0,1,171,18,12,66.7,6,33.3
"Achraf Hakimi","Paris S-G","MAR","DF",NA,22,71,99,294,1626,1830,88.9,991,1064,93.1,45,59,76.3,505,564,89.5,31,34,7,1619,208,26,1,3,52,180,2,3,2088,53,21,39.6,32,60.4
"Adil Aouchiche","Saint-Étienne","FRA","MF","FW",19,43,75,61,457,614,74.4,220,255,86.3,55,107,51.4,148,183,80.9,17,9,3,550,61,18,1,18,68,3,38,3,776,40,15,37.5,25,62.5
"Adil Rami","Troyes","FRA","DF",NA,35,5,24,0,443,525,84.4,148,166,89.2,78,114,68.4,207,225,92,2,2,0,504,19,15,0,13,1,4,0,2,624,5,3,60,2,40
"Adrian Grbić","Lorient","AUT","FW","MF",24,3,3,26,68,109,62.4,51,76,67.1,0,1,0,8,13,61.5,4,0,0,99,10,1,0,0,3,1,0,0,160,5,1,20,4,80
"Adrien Thomasson","Strasbourg","FRA","MF",NA,27,43,151,167,991,1305,75.9,493,596,82.7,77,130,59.2,376,456,82.5,33,40,9,1252,45,16,9,3,57,14,6,8,1672,55,31,56.4,24,43.6
"Adrien Truffert","Rennes","FRA","DF",NA,19,66,84,118,938,1155,81.2,491,548,89.6,59,96,61.5,357,435,82.1,13,18,9,976,175,16,0,2,47,159,0,4,1360,29,17,58.6,12,41.4
"Aimen Moueffek","Saint-Étienne","FRA","MF",NA,20,18,25,11,205,235,87.2,95,107,88.8,19,25,76,89,99,89.9,2,3,0,233,2,2,1,0,3,0,0,0,288,18,8,44.4,10,55.6
"Akim Zedadka","Clermont Foot","ALG","DF",NA,26,114,142,184,1688,2101,80.3,967,1091,88.6,104,176,59.1,556,687,80.9,45,55,37,1642,453,35,1,3,124,417,1,6,2523,71,32,45.1,39,54.9
"Alberth Elis","Bordeaux","HON","FW","MF",25,42,27,118,185,309,59.9,115,162,71,10,20,50,47,75,62.7,15,7,3,292,17,0,0,0,28,5,0,0,517,45,16,35.6,29,64.4
"Aleksandr Golovin","Monaco","RUS","FW","MF",25,51,87,126,548,759,72.2,275,322,85.4,50,124,40.3,195,244,79.9,44,36,8,643,111,19,4,1,111,8,78,5,928,31,22,71,9,29
"Alexander Djiku","Strasbourg","GHA","DF",NA,26,15,156,3,1357,1650,82.2,427,492,86.8,229,339,67.6,681,771,88.3,9,18,5,1562,81,56,1,36,15,5,0,7,1945,16,7,43.8,9,56.3
