"Player","Squad","Nation","Pos","Pos2","Age","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Yunis Abdelhamid","Reims","MAR","DF",NA,33,48,27,56.25,32,32,50,50,25,25,68,104,0
"Salis Abdul Samed","Clermont Foot","GHA","MF",NA,21,43,23,53.4883720930233,57,57,35.1,18,1,17,42,15,0
"Laurent Abergel","Lorient","FRA","MF",NA,28,110,60,54.5454545454545,166,166,42.8,58,1,57,55,13,0
"Charles Abi","Saint-Étienne","FRA","FW",NA,21,0,0,NA,1,1,0,2,0,2,0,0,0
"Martin Adeline","Reims","FRA","MF","FW",17,15,11,73.3333333333333,16,16,50,0,0,0,11,6,0
"Yacine Adli","Bordeaux","FRA","MF","FW",21,43,27,62.7906976744186,68,68,27.9,33,3,30,37,11,2
"Lucien Agoume","Brest","FRA","MF",NA,19,51,31,60.7843137254902,45,45,51.1,30,9,21,52,27,1
"Nayef Aguerd","Rennes","MAR","DF",NA,25,27,18,66.6666666666667,24,24,58.3,24,14,10,24,127,1
"Ruben Aguilar","Monaco","FRA","DF",NA,28,78,53,67.9487179487179,68,68,63.2,19,4,15,44,57,0
"Anel Ahmedhodžić","Bordeaux","BIH","DF",NA,22,38,26,68.421052631579,31,31,64.5,16,8,8,22,44,0
"Jean-Eudes Aholou","Strasbourg","CIV","MF",NA,27,16,9,56.25,19,19,26.3,8,1,7,19,7,0
"Ludovic Ajorque","Strasbourg","FRA","FW",NA,27,36,25,69.4444444444444,40,40,17.5,28,3,25,8,31,1
"Maghnes Akliouche","Monaco","FRA","MF","FW",19,2,0,0,1,1,0,2,0,2,0,0,0
"Sofiane Alakouch","Metz","MAR","DF","MF",23,7,4,57.1428571428571,5,5,40,4,0,4,1,4,0
"Mohamed Ali Cho","Angers","FRA","FW",NA,17,10,5,50,17,17,29.4,17,1,16,8,0,1
"Jim Allevinah","Clermont Foot","GAB","FW",NA,26,18,13,72.2222222222222,18,18,27.8,11,0,11,6,4,0
"Ibrahim Amadou","Metz","FRA","DF","MF",28,16,8,50,15,15,53.3,4,2,2,14,26,0
"Jordan Amavi","Nice","FRA","DF",NA,27,16,10,62.5,17,17,58.8,3,1,2,15,7,0
"Jordan Amavi","Marseille","FRA","DF","FW",27,6,5,83.3333333333333,10,10,50,1,0,1,1,3,0
"Benjamin André","Lille","FRA","MF",NA,30,123,69,56.0975609756098,113,113,45.1,49,11,38,50,56,0
"Houssem Aouar","Lyon","ALG","MF","FW",23,46,30,65.2173913043478,54,54,50,26,1,25,20,5,0
"Adil Aouchiche","Saint-Étienne","FRA","MF","FW",19,13,6,46.1538461538462,33,33,15.2,18,1,17,17,4,0
"Dennis Appiah","Nantes","FRA","DF",NA,29,55,34,61.8181818181818,48,48,58.3,30,13,17,27,74,0
"Lorenz Assignon","Rennes","TOG","DF",NA,21,15,10,66.6666666666667,9,9,55.6,3,1,2,11,19,0
"Youcef Atal","Nice","ALG","DF",NA,25,29,19,65.5172413793103,25,25,56,13,2,11,32,21,0
"Jean-Kévin Augustin","Nantes","FRA","FW","MF",24,1,0,0,3,3,0,1,0,1,0,0,0
"Karim Azamoum","Troyes","FRA","DF",NA,31,6,5,83.3333333333333,5,5,60,4,2,2,1,10,0
"Loïc Bade","Rennes","FRA","DF",NA,21,6,5,83.3333333333333,5,5,60,12,10,2,12,48,0
"Benoît Badiashile","Monaco","FRA","DF",NA,20,36,19,52.7777777777778,23,23,60.9,18,12,6,28,68,1
"Youssouph Badji","Brest","SEN","FW","MF",19,1,0,0,1,1,0,0,0,0,0,0,0
"Stéphane Bahoken","Angers","CMR","FW",NA,29,13,8,61.5384615384615,9,9,11.1,15,0,15,3,3,0
"Dénys Bain","Brest","FRA","DF",NA,28,3,3,100,1,1,100,3,1,2,3,5,0
"Cédric Bakambu","Marseille","COD","FW",NA,30,2,0,0,3,3,0,2,0,2,0,1,0
"Abdoulaye Bakayoko","Saint-Étienne","FRA","DF",NA,18,15,9,60,12,12,66.7,5,4,1,12,15,0
"Dilane Bakwa","Bordeaux","FRA","FW","MF",18,1,1,100,2,2,50,0,0,0,0,1,0
"Leonardo Balerdi","Marseille","ARG","DF",NA,22,9,6,66.6666666666667,14,14,35.7,11,4,7,19,30,0
"Abdoulaye Bamba","Angers","CIV","DF","FW",31,6,5,83.3333333333333,11,11,36.4,5,1,4,9,13,0
"Jonathan Bamba","Lille","CIV","MF","FW",25,30,12,40,36,36,36.1,24,1,23,21,10,0
"Simon Banza","Lens","COD","FW",NA,24,2,1,50,2,2,0,1,0,1,1,2,0
"Bradley Barcola","Lyon","FRA","FW","MF",18,7,4,57.1428571428571,8,8,12.5,7,1,6,2,1,0
"Melvin Bard","Nice","FRA","DF",NA,20,59,37,62.7118644067797,63,63,65.1,33,10,23,51,56,0
"Toma Bašić","Bordeaux","CRO","MF",NA,24,2,2,100,4,4,0,4,1,3,2,0,0
"Amine Bassi","Metz","FRA","MF","FW",23,6,3,50,3,3,33.3,5,0,5,0,0,0
"Youcef Belaïli","Brest","ALG","MF","FW",29,2,1,50,9,9,22.2,5,1,4,7,4,0
"Haris Belkebla","Brest","ALG","MF",NA,27,46,23,50,39,39,46.2,26,6,20,48,30,1
"Jean-Ricner Bellegarde","Strasbourg","FRA","MF",NA,23,51,32,62.7450980392157,41,41,41.5,29,4,25,27,19,0
"Hatem Ben Arfa","Lille","FRA","FW","MF",34,4,2,50,4,4,50,3,0,3,0,1,0
"Wissam Ben Yedder","Monaco","FRA","FW",NA,30,18,8,44.4444444444444,15,15,40,12,1,11,0,1,0
"Walter Benítez","Nice","ARG","GK",NA,28,0,0,NA,2,2,0,1,0,1,0,12,2
"Nabil Bentaleb","Angers","ALG","MF",NA,26,42,24,57.1428571428571,29,29,55.2,24,9,15,28,13,0
"Patrick Berg","Lens","NOR","MF",NA,23,14,6,42.8571428571429,4,4,0,2,1,1,4,3,0
"Mitchell van Bergen","Reims","NED","FW","MF",21,8,5,62.5,15,15,40,9,0,9,4,7,0
"Valon Berisha","Reims","KVX","MF","FW",28,10,7,70,10,10,20,9,0,9,4,3,0
"Paul Bernardoni","Angers","FRA","GK",NA,24,3,2,66.6666666666667,4,4,75,0,0,0,0,8,1
"Juan Bernat","Paris S-G","ESP","DF","MF",28,24,14,58.3333333333333,18,18,72.2,8,0,8,8,16,0
"Dimitry Bertaud","Montpellier","COD","GK",NA,23,0,0,NA,1,1,0,0,0,0,0,5,1
"Jason Berthomier","Clermont Foot","FRA","MF",NA,31,29,14,48.2758620689655,34,34,35.3,14,2,12,8,4,1
"Giulian Biancone","Troyes","FRA","DF","MF",21,70,42,60,69,69,58,23,8,15,53,71,1
"El Bilal Touré","Reims","MLI","FW",NA,19,13,6,46.1538461538462,7,7,28.6,10,3,7,6,19,0
"Jean-Claude Billong","Clermont Foot","CMR","DF",NA,27,17,8,47.0588235294118,11,11,72.7,9,1,8,10,35,0
"Marco Bizot","Brest","NED","GK",NA,30,3,1,33.3333333333333,5,5,60,1,0,1,0,24,1
"Ludovic Blas","Nantes","FRA","MF","FW",23,33,18,54.5454545454545,44,44,34.1,33,3,30,31,6,1
"Myron Boadu","Monaco","NED","FW",NA,20,9,7,77.7777777777778,5,5,20,6,0,6,2,1,0
"Jérôme Boateng","Lyon","GER","DF",NA,32,20,15,75,17,17,52.9,20,10,10,20,73,0
"Quentin Boisgard","Lorient","FRA","MF","FW",24,19,11,57.8947368421053,17,17,47.1,15,0,15,6,5,0
"Sven Botman","Lille","NED","DF",NA,21,24,11,45.8333333333333,18,18,66.7,32,21,11,26,116,0
"Denis Bouanga","Saint-Étienne","GAB","FW","MF",26,46,25,54.3478260869565,63,63,34.9,30,0,30,8,34,1
"Hicham Boudaoui","Nice","ALG","MF",NA,21,31,18,58.0645161290323,36,36,36.1,17,4,13,18,15,0
"Ryad Boudebouz","Saint-Étienne","ALG","MF","FW",31,27,15,55.5555555555556,29,29,41.4,17,2,15,10,5,0
"Sofiane Boufal","Angers","MAR","FW","MF",27,44,29,65.9090909090909,38,38,47.4,19,2,17,7,1,0
"Farid Boulaya","Metz","ALG","MF","FW",28,18,10,55.5555555555556,38,38,36.8,8,2,6,12,5,0
"Benjamin Bourigeaud","Rennes","FRA","FW","MF",27,46,24,52.1739130434783,67,67,35.8,33,3,30,30,44,0
"Domagoj Bradarić","Lille","CRO","DF",NA,21,11,9,81.8181818181818,12,12,58.3,5,2,3,10,7,1
"Bilal Brahimi","Nice","ALG","MF",NA,21,1,1,100,2,2,0,1,0,1,2,1,0
"Bilal Brahimi","Angers","ALG","FW",NA,21,1,1,100,3,3,0,0,0,0,1,1,0
