"Player","Squad","Nation","Pos","Pos2","Age","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Yunis Abdelhamid","Reims","MAR","DF",NA,33,5,1,0,1,39
"Salis Abdul Samed","Clermont Foot","GHA","MF",NA,21,12,3,2,5,43
"Laurent Abergel","Lorient","FRA","MF",NA,28,9,0,0,0,41
"Matthis Abline","Rennes","FRA","FW",NA,18,0,0,0,0,2
"Martin Adeline","Reims","FRA","MF","FW",17,1,0,0,0,16
"Yacine Adli","Bordeaux","FRA","MF","FW",21,5,0,0,0,21
"Lucien Agoume","Brest","FRA","MF",NA,19,6,0,0,0,31
"Nayef Aguerd","Rennes","MAR","DF",NA,25,3,1,0,1,20
"Ruben Aguilar","Monaco","FRA","DF",NA,28,4,0,0,0,32
"Anel Ahmedhodžić","Bordeaux","BIH","DF",NA,22,6,0,0,0,21
"Jean-Eudes Aholou","Strasbourg","CIV","MF",NA,27,2,0,0,0,21
"Ludovic Ajorque","Strasbourg","FRA","FW",NA,27,5,1,0,1,40
"Maghnes Akliouche","Monaco","FRA","MF","FW",19,1,0,0,0,4
"Sofiane Alakouch","Metz","MAR","DF","MF",23,1,0,0,0,5
"Doğan Alemdar","Rennes","TUR","GK",NA,18,1,0,0,0,0
"Mohamed Ali Cho","Angers","FRA","FW",NA,17,6,2,2,4,32
"Jim Allevinah","Clermont Foot","GAB","FW",NA,26,1,0,0,0,16
"Ibrahim Amadou","Metz","FRA","DF","MF",28,4,0,0,0,11
"Jordan Amavi","Nice","FRA","DF",NA,27,1,0,0,0,2
"Jordan Amavi","Marseille","FRA","DF","FW",27,0,0,0,0,3
"Benjamin André","Lille","FRA","MF",NA,30,12,1,1,2,67
"Houssem Aouar","Lyon","ALG","MF","FW",23,1,0,0,0,27
"Adil Aouchiche","Saint-Étienne","FRA","MF","FW",19,2,0,0,0,10
"Dennis Appiah","Nantes","FRA","DF",NA,29,4,0,0,0,39
"Lorenz Assignon","Rennes","TOG","DF",NA,21,0,0,0,0,10
"Youcef Atal","Nice","ALG","DF",NA,25,4,0,0,0,17
"Jean-Kévin Augustin","Nantes","FRA","FW","MF",24,1,0,0,0,1
"Karim Azamoum","Troyes","FRA","DF",NA,31,2,0,0,0,12
"Loïc Bade","Rennes","FRA","DF",NA,21,3,1,1,2,6
"Benoît Badiashile","Monaco","FRA","DF",NA,20,4,0,0,0,24
"Youssouph Badji","Brest","SEN","FW","MF",19,0,0,0,0,4
"Stéphane Bahoken","Angers","CMR","FW",NA,29,0,0,0,0,23
"Dénys Bain","Brest","FRA","DF",NA,28,0,0,0,0,4
"Stefan Bajic","Saint-Étienne","FRA","GK",NA,19,0,0,0,0,0
"Cédric Bakambu","Marseille","COD","FW",NA,30,1,0,0,0,6
"Abdoulaye Bakayoko","Saint-Étienne","FRA","DF",NA,18,0,0,0,0,7
"Dilane Bakwa","Bordeaux","FRA","FW","MF",18,0,0,0,0,2
"Ibrahima Baldé","Lens","FRA","FW","MF",18,0,0,0,0,0
"Leonardo Balerdi","Marseille","ARG","DF",NA,22,4,1,0,1,10
"Abdoulaye Bamba","Angers","CIV","DF","FW",31,1,0,0,0,5
"Jonathan Bamba","Lille","CIV","MF","FW",25,3,0,0,0,11
"Simon Banza","Lens","COD","FW",NA,24,0,0,0,0,3
"Danilo Barbosa","Nice","BRA","DF",NA,25,0,0,0,0,0
"Bradley Barcola","Lyon","FRA","FW","MF",18,0,0,0,0,5
"Melvin Bard","Nice","FRA","DF",NA,20,3,0,0,0,21
"Toma Bašić","Bordeaux","CRO","MF",NA,24,0,0,0,0,6
"Amine Bassi","Metz","FRA","MF","FW",23,0,0,0,0,4
"Youcef Belaïli","Brest","ALG","MF","FW",29,2,0,0,0,12
"Haris Belkebla","Brest","ALG","MF",NA,27,2,0,0,0,27
"Jean-Ricner Bellegarde","Strasbourg","FRA","MF",NA,23,5,0,0,0,36
"Hatem Ben Arfa","Lille","FRA","FW","MF",34,1,0,0,0,7
"Wissam Ben Yedder","Monaco","FRA","FW",NA,30,3,0,0,0,19
"Darío Benedetto","Marseille","ARG","FW","MF",31,0,0,0,0,0
"Walter Benítez","Nice","ARG","GK",NA,28,2,0,0,0,0
"Nabil Bentaleb","Angers","ALG","MF",NA,26,4,0,0,0,29
"Patrick Berg","Lens","NOR","MF",NA,23,0,0,0,0,5
"Mitchell van Bergen","Reims","NED","FW","MF",21,1,0,0,0,8
"Valon Berisha","Reims","KVX","MF","FW",28,2,1,1,2,13
"Paul Bernardoni","Angers","FRA","GK",NA,24,0,0,0,0,0
"Paul Bernardoni","Saint-Étienne","FRA","GK",NA,24,0,0,0,0,0
"Juan Bernat","Paris S-G","ESP","DF","MF",28,2,0,0,0,4
"Dimitry Bertaud","Montpellier","COD","GK",NA,23,0,0,0,0,0
"Jason Berthomier","Clermont Foot","FRA","MF",NA,31,0,0,0,0,14
"Giulian Biancone","Troyes","FRA","DF","MF",21,10,0,0,0,34
"El Bilal Touré","Reims","MLI","FW",NA,19,2,0,0,0,20
