"Squad","Player_Count","Progression_Carries","Progression_Passes","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Possession","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Arminia",26,405,887,9382,13511,69.4,3765,4741,79.4,1305,2712,48.1,4031,5156,78.2,11765,1692,385,25,69,487,743,147,54,40.7,17629,567,284,50.1,283,49.9
"Augsburg",26,441,895,9181,13035,70.4,3586,4449,80.6,1455,2827,51.5,3892,4935,78.9,11240,1722,415,28,159,592,784,145,73,41.5,17060,511,262,51.3,249,48.7
"Bayern Munich",30,833,2164,20087,23780,84.5,9343,10393,89.9,1747,2675,65.3,8473,9518,89,22043,1661,434,108,149,656,736,215,76,64.5,27678,832,492,59.1,340,40.9
"Bochum",28,467,926,9624,13679,70.4,3445,4288,80.3,1764,3334,52.9,4176,5235,79.8,11928,1678,421,26,124,600,779,122,73,44.7,17579,443,226,51,216,48.8
"Dortmund",33,670,1468,17410,21052,82.7,8010,8996,89,1495,2454,60.9,7168,8170,87.7,19358,1621,447,67,121,491,681,182,73,59.2,24819,636,352,55.3,284,44.7
"Eint Frankfurt",27,609,1255,12628,17023,74.2,5346,6380,83.8,1313,2783,47.2,5660,6861,82.5,15216,1754,387,44,106,697,825,193,53,49.6,21105,544,285,52.4,258,47.4
"Freiburg",26,401,1229,11641,15652,74.4,4842,5855,82.7,1504,2875,52.3,4953,5947,83.3,13970,1624,421,33,120,633,672,181,58,49,19480,420,226,53.8,194,46.2
"Gladbach",26,527,1291,14537,17978,80.9,6542,7467,87.6,1318,2354,56,6272,7138,87.9,16210,1697,535,74,89,440,681,152,71,54,21886,610,359,58.9,251,41.1
"Greuther Fürth",29,413,976,10180,13971,72.9,4297,5107,84.1,1187,2565,46.3,4428,5407,81.9,12140,1762,482,24,54,478,738,138,69,43.6,17946,536,266,49.6,270,50.4
"Hertha BSC",36,462,975,10314,14077,73.3,4615,5523,83.6,1226,2478,49.5,4151,5105,81.3,12218,1786,516,30,94,505,746,141,73,43.7,18046,526,281,53.4,245,46.6
"Hoffenheim",32,588,1474,14323,18141,79,6165,7101,86.8,1564,2758,56.7,6198,7189,86.2,16308,1763,445,36,91,703,798,190,70,53.2,21823,525,249,47.4,275,52.4
"Köln",26,550,1406,12636,16910,74.7,4661,5646,82.6,1722,3053,56.4,5989,7240,82.7,14957,1886,536,26,124,829,833,181,67,54.8,20891,509,252,49.5,256,50.3
"Leverkusen",29,709,1341,14735,18338,80.4,6448,7325,88,1474,2579,57.2,6309,7258,86.9,16593,1681,380,80,89,537,726,194,64,53.7,22247,706,401,56.8,305,43.2
"Mainz 05",28,445,1178,10773,15000,71.8,4904,5893,83.2,1175,2534,46.4,4358,5557,78.4,13190,1747,415,23,60,598,818,178,63,46.5,19090,506,269,53.2,237,46.8
"RB Leipzig",29,542,1467,16163,19771,81.8,7780,8702,89.4,1269,2311,54.9,6442,7384,87.2,18099,1606,504,70,63,523,644,162,66,56.1,23539,561,347,61.9,213,38
"Stuttgart",34,571,1269,13753,17353,79.3,6094,7015,86.9,1484,2611,56.8,5735,6674,85.9,15564,1736,452,42,192,550,762,148,53,50.7,21548,693,372,53.7,321,46.3
"Union Berlin",28,429,1123,10673,14818,72,4154,5080,81.8,1458,2914,50,4744,5871,80.8,13166,1588,366,31,59,663,742,138,64,43.7,18570,413,244,59.1,168,40.7
"Wolfsburg",30,502,1220,12596,16439,76.6,4894,5882,83.2,1568,2774,56.5,5811,6785,85.6,14701,1664,455,44,153,619,721,147,74,50.5,20456,541,319,59,222,41
