"Squad","Progression_Carries","Progression_Passes","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Possession","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Arminia",618,1559,15867,20046,79.2,6804,7870,86.5,1685,2972,56.7,6982,8124,85.9,18187,1771,459,55,126,682,808,197,88,59.5,24123,543,305,56.2,238,43.8
"Augsburg",561,1537,14770,18679,79.1,6244,7261,86,1608,2778,57.9,6511,7603,85.6,16797,1825,487,50,95,685,805,195,57,58.8,22478,584,334,57.2,250,42.8
"Bayern Munich",439,918,9519,13089,72.7,4271,5131,83.2,1194,2385,50.1,3665,4548,80.6,11510,1497,362,38,80,441,543,107,82,35.2,17397,559,300,53.7,259,46.3
"Bochum",600,1406,12790,16907,75.6,5654,6564,86.1,1325,2693,49.2,5423,6603,82.1,15041,1819,460,53,100,581,850,178,47,55.5,20636,575,297,51.7,277,48.2
"Dortmund",490,1056,10982,14551,75.5,4653,5455,85.3,1326,2589,51.2,4738,5649,83.9,12940,1544,409,46,115,510,620,145,67,40.4,18431,551,295,53.5,255,46.3
"Eint Frankfurt",519,1236,13117,17401,75.4,5571,6627,84.1,1513,2850,53.1,5620,6778,82.9,15561,1756,453,32,101,586,776,160,84,50.4,21621,673,390,57.9,283,42.1
"Freiburg",582,1123,12623,16596,76.1,5266,6303,83.5,1462,2745,53.3,5575,6687,83.4,14810,1732,432,40,106,622,758,175,54,50.8,20400,477,262,54.9,215,45.1
"Gladbach",540,1193,11762,15346,76.6,5109,5971,85.6,1327,2489,53.3,4993,5889,84.8,13736,1521,396,54,112,606,661,162,89,45.6,19174,615,330,53.7,285,46.3
"Greuther Fürth",619,1501,14382,18256,78.8,5927,6936,85.5,1721,2866,60,6346,7396,85.8,16478,1723,480,56,133,678,782,185,55,56.6,22142,568,297,52.3,270,47.5
"Hertha BSC",519,1500,14462,18324,78.9,6143,7079,86.8,1610,2821,57.1,6311,7321,86.2,16461,1772,460,52,139,698,814,194,91,56.5,22122,546,292,53.5,252,46.2
"Hoffenheim",509,1073,12393,16045,77.2,5166,5945,86.9,1458,2643,55.2,5365,6337,84.7,14197,1746,475,69,104,540,749,148,102,46.4,19930,484,261,53.9,223,46.1
"Köln",494,1085,10051,14126,71.2,4315,5284,81.7,1394,2751,50.7,3964,5009,79.1,12175,1877,458,43,132,517,828,179,74,44.9,18297,666,377,56.6,288,43.2
"Leverkusen",553,1288,12236,15822,77.3,5495,6366,86.3,1283,2409,53.3,5111,6099,83.8,14184,1586,404,44,101,554,679,145,52,46.1,19814,493,268,54.4,225,45.6
"Mainz 05",528,1190,13243,17406,76.1,5557,6563,84.7,1559,2925,53.3,5703,6833,83.5,15579,1782,526,30,125,561,748,156,45,53.7,21599,595,313,52.6,282,47.4
"RB Leipzig",451,986,11694,15427,75.8,5115,5996,85.3,1217,2408,50.5,4946,5904,83.8,13757,1582,410,52,79,463,701,126,88,43.4,19166,512,293,57.2,219,42.8
"Stuttgart",544,1292,13134,16993,77.3,5716,6683,85.5,1372,2683,51.1,5579,6581,84.8,15338,1623,400,29,68,656,720,173,32,49.3,20890,530,289,54.5,241,45.5
"Union Berlin",540,1280,15211,19206,79.2,6456,7425,86.9,1621,2977,54.5,6715,7777,86.3,17386,1786,471,41,116,577,819,148,34,56.6,22978,568,300,52.8,268,47.2
"Wolfsburg",458,1321,12400,16308,76,5429,6384,85,1353,2607,51.9,5243,6292,83.3,14529,1726,454,27,84,644,768,181,53,49.4,20194,540,283,52.4,257,47.6
