"Squad","Rank","Wins","Draws","Losses","Pts","Home_Wins","Away_Wins","Home_Draws","Away_Draws","Home_Losses","Away_Losses","Home_Pts","Away_Pts"
"Bayern Munich",1,24,5,5,77,13,11,2,3,2,3,41,36
"Dortmund",2,22,3,9,69,13,9,0,3,4,5,39,30
"Leverkusen",3,19,7,8,64,10,9,2,5,5,3,32,32
"RB Leipzig",4,17,7,10,58,11,6,2,5,4,6,35,23
"Union Berlin",5,16,9,9,57,10,6,5,4,2,7,35,22
"Freiburg",6,15,10,9,55,8,7,5,5,4,5,29,26
"Köln",7,14,10,10,52,9,5,4,6,4,6,31,21
"Mainz 05",8,13,7,14,46,10,3,5,2,2,12,35,11
"Hoffenheim",9,13,7,14,46,8,5,4,3,5,9,28,18
"Gladbach",10,12,9,13,45,8,4,4,5,5,8,28,17
"Eint Frankfurt",11,10,12,12,42,4,6,7,5,6,6,19,23
"Wolfsburg",12,12,6,16,42,7,5,3,3,7,9,24,18
"Bochum",13,12,6,16,42,8,4,4,2,5,11,28,14
"Augsburg",14,10,8,16,38,7,3,4,4,6,10,25,13
"Stuttgart",15,7,12,15,33,6,1,4,8,7,8,22,11
"Hertha BSC",16,9,6,19,33,6,3,3,3,8,11,21,12
"Arminia",17,5,13,16,28,2,3,10,3,5,11,16,12
"Greuther Fürth",18,3,9,22,18,3,0,5,4,9,13,14,4
