"Squad","Goalkeepers_Used","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Arminia",2,53,129,74.4,7,20.6,0,0
"Augsburg",1,56,102,67.3,9,26.5,0,0
"Bayern Munich",3,37,76,68.8,11,32.4,0,0
"Bochum",2,52,126,73.3,7,20.6,2,28.6
"Dortmund",3,52,86,66.2,7,20.6,0,0
"Eint Frankfurt",3,49,117,72.7,5,14.7,0,0
"Freiburg",2,46,108,71.2,10,29.4,0,0
"Gladbach",2,61,122,68.6,5,14.7,2,40
"Greuther Fürth",3,82,111,59.6,6,17.6,0,0
"Hertha BSC",2,71,101,63.4,6,17.6,0,0
"Hoffenheim",2,60,102,64.2,8,23.5,1,33.3
"Köln",2,49,106,68.2,4,11.8,1,100
"Leverkusen",3,47,115,72.2,8,23.5,1,33.3
"Mainz 05",2,45,80,68,10,29.4,1,16.7
"RB Leipzig",3,37,79,70.4,10,29.4,0,0
"Stuttgart",2,59,105,66.3,4,11.8,0,0
"Union Berlin",2,44,82,65.6,8,23.5,0,0
"Wolfsburg",2,54,101,67.9,11,32.4,2,33.3
