"Squad","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Arminia",590,345,58.4745762711864,567,567,49.9,400,108,292,349,653,11
"Augsburg",547,324,59.2321755027422,511,511,48.7,337,81,256,361,606,11
"Bayern Munich",678,386,56.9321533923304,832,832,40.9,457,154,303,498,798,22
"Bochum",498,314,63.0522088353414,442,442,48.9,313,86,227,293,591,13
"Dortmund",594,342,57.5757575757576,636,636,44.7,402,104,298,481,573,12
"Eint Frankfurt",552,317,57.427536231884,543,543,47.5,420,125,295,417,721,10
"Freiburg",413,239,57.8692493946731,420,420,46.2,387,100,287,333,692,11
"Gladbach",560,321,57.3214285714286,610,610,41.1,434,134,300,364,499,12
"Greuther Fürth",578,325,56.2283737024221,536,536,50.4,368,82,286,312,549,7
"Hertha BSC",561,333,59.3582887700535,526,526,46.6,372,75,297,352,526,11
"Hoffenheim",516,316,61.2403100775194,524,524,52.5,414,106,308,362,658,11
"Köln",514,324,63.0350194552529,508,508,50.4,395,95,300,367,880,9
"Leverkusen",601,347,57.7371048252912,706,706,43.2,395,95,300,414,588,13
"Mainz 05",532,312,58.6466165413534,506,506,46.8,385,105,280,359,748,10
"RB Leipzig",569,318,55.8875219683656,560,560,38,389,96,293,402,569,11
"Stuttgart",623,346,55.53772070626,693,693,46.3,390,109,281,345,607,7
"Union Berlin",399,227,56.8922305764411,412,412,40.8,350,71,279,354,641,15
"Wolfsburg",506,282,55.7312252964427,541,541,41,356,94,262,349,583,10
