"Squad","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Arminia",549,311,56.6484517304189,543,543,43.8,395,110,285,421,770,7
"Augsburg",561,335,59.7147950089127,584,584,42.8,397,116,281,363,769,12
"Bayern Munich",563,338,60.0355239786856,559,559,46.3,338,68,270,349,404,18
"Bochum",566,353,62.3674911660777,574,574,48.3,420,119,301,429,616,13
"Dortmund",541,322,59.5194085027726,550,550,46.4,351,82,269,347,519,11
"Eint Frankfurt",595,330,55.4621848739496,673,673,42.1,435,95,340,377,592,12
"Freiburg",518,299,57.7220077220077,477,477,45.1,352,130,222,355,751,13
"Gladbach",572,345,60.3146853146853,615,615,46.3,402,91,311,326,553,13
"Greuther Fürth",568,336,59.1549295774648,567,567,47.6,416,124,292,374,712,8
"Hertha BSC",546,321,58.7912087912088,544,544,46.3,377,105,272,406,816,15
"Hoffenheim",483,291,60.248447204969,484,484,46.1,390,88,302,285,520,17
"Köln",598,361,60.3678929765886,665,665,43.3,442,99,343,426,628,10
"Leverkusen",484,281,58.0578512396694,493,493,45.6,350,101,249,360,620,12
"Mainz 05",579,305,52.6770293609672,595,595,47.4,404,94,310,439,584,9
"RB Leipzig",499,289,57.9158316633267,512,512,42.8,399,81,318,349,523,12
"Stuttgart",532,307,57.7067669172932,530,530,45.5,386,124,262,342,708,8
"Union Berlin",538,296,55.0185873605948,568,568,47.2,322,90,232,376,657,7
"Wolfsburg",539,298,55.2875695732839,540,540,47.6,388,103,285,388,740,9
