"Squad","Total_Goals_Scored","Total_Goals_Conceded","Assists","Goals+Assists","Penalty_Attempts","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Arminia",53,27,34,85,7,7,521,173,33.2,0.08,0.25,15.7,14,926,697,229,90,65,25
"Augsburg",56,39,40,94,5,5,482,151,31.3,0.1,0.32,17.5,23,834,586,248,91,67,24
"Bayern Munich",37,97,28,64,2,2,315,110,34.9,0.11,0.31,17.2,9,521,365,156,64,51,13
"Bochum",52,38,34,82,8,5,467,169,36.2,0.09,0.25,17,10,787,563,224,72,47,25
"Dortmund",52,85,32,82,6,6,365,130,35.6,0.12,0.34,16.9,15,624,423,201,85,57,28
"Eint Frankfurt",49,45,33,81,4,4,429,161,37.5,0.1,0.27,16.5,12,739,537,202,77,52,25
"Freiburg",46,58,35,80,2,2,480,151,31.5,0.09,0.28,18.3,12,819,591,228,75,57,18
"Gladbach",61,54,46,107,5,3,472,180,38.1,0.12,0.32,15.9,14,773,530,243,109,80,29
"Greuther Fürth",82,28,56,133,6,6,505,182,36,0.14,0.39,17,15,907,661,246,131,87,44
"Hertha BSC",71,37,44,115,8,8,455,164,36,0.14,0.38,16.8,22,803,565,238,119,80,39
"Hoffenheim",60,58,46,105,4,2,420,159,37.9,0.14,0.36,16.3,8,705,492,213,96,62,34
"Köln",49,52,38,85,1,0,429,153,35.7,0.11,0.31,16.6,19,741,519,222,84,66,18
"Leverkusen",47,80,25,71,4,2,452,159,35.2,0.1,0.28,17.8,11,781,575,206,71,50,21
"Mainz 05",45,50,32,76,6,5,377,119,31.6,0.1,0.33,18.7,22,651,461,190,74,47,27
"RB Leipzig",37,72,23,59,3,3,349,112,32.1,0.09,0.29,16.9,8,595,416,179,55,35,20
"Stuttgart",59,41,44,102,4,4,499,159,31.9,0.11,0.34,17.6,12,858,622,236,104,73,31
"Union Berlin",44,50,28,68,2,2,393,120,30.5,0.1,0.32,17.6,12,680,482,198,70,55,15
"Wolfsburg",54,43,39,92,7,4,437,150,34.3,0.11,0.33,17.9,16,761,534,227,94,68,26
