"Squad","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Arminia",27,85,77.5,13,38.2,0,0
"Augsburg",39,83,72.1,9,26.5,0,0
"Bayern Munich",97,168,64.6,0,0,0,0
"Bochum",38,103,75.9,13,38.2,1,20
"Dortmund",85,95,58,1,2.9,0,0
"Eint Frankfurt",45,94,68.1,10,29.4,1,50
"Freiburg",58,103,66.7,6,17.6,1,16.7
"Gladbach",54,125,72.9,5,14.7,2,28.6
"Greuther Fürth",28,75,77.2,11,32.4,0,0
"Hertha BSC",37,87,72.1,8,23.5,0,0
"Hoffenheim",58,95,61.3,8,23.5,0,NA
"Köln",52,98,66,7,20.6,0,0
"Leverkusen",80,110,58.7,4,11.8,3,60
"Mainz 05",50,106,70.3,7,20.6,0,0
"RB Leipzig",72,105,63.8,5,14.7,0,0
"Stuttgart",41,114,74.2,11,32.4,1,50
"Union Berlin",50,104,70.8,8,23.5,0,0
"Wolfsburg",43,98,71.6,10,29.4,1,25
