"Squad","Total_Goals_Scored","Total_Goals_Conceded","Goal_Difference","Home_Goals_Scored","Home_Goals_Conceded","Home_Goal_Difference","Away_Goals_Scored","Away_Goals_Conceded","Away_Goal_Difference","Assists","Goals+Assists","Penalty_Attempted","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Arminia",27,53,-26,15,23,-8,12,30,-18,18,44,2,2,361,109,30.2,0.07,0.22,19.7,10,586,410,176,42,32,10
"Augsburg",39,56,-17,25,26,-1,14,30,-16,26,65,5,5,362,117,32.3,0.09,0.29,17.8,11,608,433,175,59,37,22
"Bayern Munich",97,37,60,48,15,33,49,22,27,70,162,5,5,668,255,38.2,0.13,0.34,16.7,12,1170,874,296,161,122,39
"Bochum",38,52,-14,21,17,4,17,35,-18,22,59,6,4,409,136,33.3,0.08,0.24,18.2,17,662,451,211,60,38,22
"Dortmund",85,52,33,52,28,24,33,24,9,57,138,11,11,442,165,37.3,0.16,0.42,16.7,20,796,570,226,141,96,45
"Eint Frankfurt",45,49,-4,20,22,-2,25,27,-2,33,76,2,1,446,136,30.5,0.09,0.31,17.8,14,762,528,234,75,51,24
"Freiburg",58,46,12,32,25,7,26,21,5,37,92,6,5,457,153,33.5,0.11,0.33,16.7,20,775,526,249,90,57,33
"Gladbach",54,61,-7,33,27,6,21,34,-13,38,92,7,5,489,174,35.6,0.1,0.28,16.8,13,870,642,228,89,66,23
"Greuther Fürth",28,82,-54,15,33,-18,13,49,-36,15,41,5,5,309,96,31.1,0.07,0.22,18.2,13,525,357,168,43,27,16
"Hertha BSC",37,71,-34,24,33,-9,13,38,-25,23,58,3,3,365,119,32.6,0.09,0.27,17.5,15,639,432,207,58,35,23
"Hoffenheim",58,60,-2,34,24,10,24,36,-12,42,97,0,0,452,150,33.2,0.12,0.37,15.1,13,785,583,202,100,81,19
"Köln",52,49,3,27,21,6,25,28,-3,40,92,1,1,467,149,31.9,0.11,0.34,16.3,9,796,590,206,91,67,24
"Leverkusen",80,47,33,39,23,16,41,24,17,58,134,6,2,453,184,40.6,0.16,0.4,16.4,11,804,596,208,134,100,34
"Mainz 05",50,45,5,33,11,22,17,34,-17,36,85,4,4,465,151,32.5,0.1,0.3,17.6,22,760,526,234,81,63,18
"RB Leipzig",72,37,35,43,17,26,29,20,9,53,125,9,8,429,169,39.4,0.15,0.38,16.3,18,762,551,211,129,88,41
"Stuttgart",41,59,-18,28,32,-4,13,27,-14,31,71,3,1,449,153,34.1,0.09,0.25,17.5,10,794,552,242,70,43,27
"Union Berlin",50,44,6,25,17,8,25,27,-2,33,83,5,5,408,149,36.5,0.11,0.3,16.2,7,688,496,192,70,49,21
"Wolfsburg",43,54,-11,25,21,4,18,33,-15,25,67,4,3,416,137,32.9,0.09,0.28,17.9,19,723,502,221,68,47,21
