"Squad","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Arminia",55,2,1,3,433
"Augsburg",74,0,0,0,448
"Bayern Munich",36,2,0,2,305
"Bochum",55,2,0,2,424
"Dortmund",63,1,1,2,362
"Eint Frankfurt",61,1,1,2,422
"Freiburg",34,0,0,0,392
"Gladbach",67,1,0,1,359
"Greuther Fürth",61,0,0,0,437
"Hertha BSC",62,2,0,2,421
"Hoffenheim",75,0,0,0,429
"Köln",68,1,1,2,419
"Leverkusen",66,2,1,3,364
"Mainz 05",62,4,2,6,495
"RB Leipzig",49,0,0,0,360
"Stuttgart",64,2,1,3,371
"Union Berlin",62,1,1,2,423
"Wolfsburg",61,3,1,4,411
