"Squad","Total_Goals_Scored","Total_Goals_Conceded","Assists","Goals+Assists","Penalty_Attempts","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Arsenal",43,88,27,69,5,3,337,133,39.5,0.12,0.29,16.1,8,569,398,171,66,49,17
"Aston Villa",46,51,25,67,6,5,424,145,34.2,0.09,0.26,16.5,14,757,530,227,74,48,26
"Bournemouth",71,37,49,117,7,6,619,198,32,0.1,0.31,17,15,1090,820,270,114,73,41
"Brentford",46,58,30,73,2,2,557,195,35,0.07,0.21,18.4,13,999,764,235,76,51,25
"Brighton",53,72,34,81,8,6,380,123,32.4,0.11,0.33,16.2,15,673,483,190,82,54,28
"Chelsea",47,38,32,76,1,1,437,158,36.2,0.1,0.27,16.7,10,751,543,208,70,45,25
"Crystal Palace",49,40,32,78,4,4,452,156,34.5,0.09,0.27,16.2,14,796,578,218,81,59,22
"Everton",57,34,36,93,6,5,570,179,31.4,0.09,0.29,16.4,15,1017,736,281,99,67,32
"Fulham",53,55,30,81,8,7,497,188,37.8,0.09,0.23,16.7,20,878,639,239,87,55,32
"Leeds United",78,48,50,127,6,5,522,180,34.5,0.14,0.4,16.5,19,921,640,281,140,98,42
"Leicester City",68,51,46,109,5,4,567,173,30.5,0.1,0.34,17.2,21,986,712,274,106,81,25
"Liverpool",47,75,32,77,4,2,366,154,42.1,0.12,0.28,15.9,9,655,481,174,78,52,26
"Manchester City",33,94,21,53,3,3,291,89,30.6,0.1,0.33,17.2,11,494,348,146,51,36,15
"Manchester Utd",43,58,28,70,3,2,478,139,29.1,0.08,0.29,16.6,18,824,568,256,68,50,18
"Newcastle Utd",33,68,23,54,5,2,382,123,32.2,0.08,0.24,17.6,13,678,492,186,53,38,15
"Nott'ham Forest",68,38,45,113,9,6,548,174,31.8,0.11,0.36,16.3,21,1000,703,297,120,85,35
"Southampton",73,36,55,123,3,2,523,147,28.1,0.13,0.45,16.5,11,920,702,218,121,94,27
"Tottenham",63,70,45,107,4,3,516,168,32.6,0.11,0.35,18.1,18,905,681,224,111,82,29
"West Ham",55,42,42,96,6,4,493,165,33.5,0.1,0.3,17.6,10,890,674,216,100,72,28
"Wolves",58,31,44,101,4,2,551,170,30.9,0.1,0.32,17.2,27,959,688,271,98,71,27
