"Squad","Player_Count","Progression_Carries","Progression_Passes","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Possession","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Arsenal",26,824,2049,18281,21969,83.2,8542,9478,90.1,1454,2548,57.1,7825,8821,88.7,20293,1620,516,86,97,674,615,223,56,59.3,25909,751,351,46.7,290,38.6
"Aston Villa",26,637,1242,13782,17396,79.2,6111,6947,88,1345,2579,52.2,5979,6934,86.2,15544,1794,599,54,101,561,684,162,58,49.3,21500,682,293,43,279,40.9
"Bournemouth",31,504,1006,11715,15381,76.2,5412,6278,86.2,1192,2491,47.9,4751,5644,84.2,13607,1736,424,48,87,509,706,144,38,40.4,19950,743,329,44.3,344,46.3
"Brentford",25,392,1131,11317,15551,72.8,5142,6116,84.1,1438,2947,48.8,4475,5602,79.9,13766,1713,453,53,107,661,738,163,72,43.8,19749,600,267,44.5,248,41.3
"Brighton",29,809,1849,19210,22888,83.9,9346,10305,90.7,1463,2462,59.4,7892,8919,88.5,21109,1709,445,81,130,694,693,233,70,60.2,26728,726,345,47.5,279,38.4
"Chelsea",32,829,1737,19147,22836,83.8,9510,10494,90.6,1461,2499,58.5,7700,8709,88.4,20995,1767,503,58,129,693,722,209,74,58.7,27166,838,380,45.3,352,42
"Crystal Palace",26,556,1243,13395,17308,77.4,6005,6901,87,1309,2751,47.6,5794,6772,85.6,15416,1834,525,41,118,591,763,186,58,46.3,21713,784,367,46.8,314,40.1
"Everton",28,500,1052,11790,15783,74.7,5336,6174,86.4,1366,2947,46.4,4771,5750,83,13984,1735,434,39,93,704,707,174,64,42.8,20233,674,310,46,296,43.9
"Fulham",29,663,1326,13974,18014,77.6,5867,6818,86.1,1551,2860,54.2,6222,7333,84.8,16136,1818,471,20,157,769,795,182,60,48.8,22162,607,281,46.3,238,39.2
"Leeds United",29,555,1429,12437,16924,73.5,6115,7225,84.6,1072,2528,42.4,4782,5973,80.1,14953,1911,484,41,87,653,837,199,60,47,21642,688,268,39,328,47.7
"Leicester City",28,580,1304,14887,18871,78.9,7245,8221,88.1,1165,2422,48.1,6087,7165,85,17049,1739,464,76,93,496,724,135,83,47.7,23124,623,294,47.2,245,39.3
"Liverpool",28,719,1992,20043,24361,82.3,9023,10114,89.2,1962,3283,59.8,8561,9758,87.7,22466,1811,416,103,198,799,860,235,84,60.8,28398,693,323,46.6,281,40.5
"Manchester City",24,988,2073,23263,26642,87.3,11020,11888,92.7,1932,2849,67.8,9848,10836,90.9,25047,1544,440,94,177,742,614,238,51,64.7,29895,704,336,47.7,239,33.9
"Manchester Utd",26,711,1595,16603,20525,80.9,8273,9294,89,1438,2651,54.2,6359,7306,87,18827,1619,325,105,165,517,715,196,79,53.7,24847,730,317,43.4,338,46.3
"Newcastle Utd",27,695,1618,13925,17837,78.1,6433,7370,87.3,1523,2774,54.9,5580,6605,84.5,16020,1746,447,88,142,740,728,270,71,52.3,22106,784,350,44.6,322,41.1
"Nott'ham Forest",33,436,859,9543,13606,70.1,4046,4952,81.7,1187,2708,43.8,4071,5126,79.4,11801,1738,446,31,66,530,720,128,67,37.6,17911,574,260,45.3,234,40.8
"Southampton",36,588,1125,12319,16391,75.2,5972,6925,86.2,1170,2625,44.6,4830,5823,82.9,14585,1749,426,38,87,613,752,157,57,44.5,21094,760,362,47.6,318,41.8
"Tottenham",29,692,1449,15972,19672,81.2,7333,8180,89.6,1499,2669,56.2,6707,7682,87.3,17950,1655,404,74,165,719,664,203,67,50,23836,666,306,45.9,288,43.2
"West Ham",25,615,1274,12369,16357,75.6,5883,6778,86.8,1383,2753,50.2,4784,5831,82,14625,1670,347,41,162,768,722,206,62,42.1,20411,615,250,40.7,266,43.3
"Wolves",32,610,1343,14554,18294,79.6,6350,7195,88.3,1574,2890,54.5,6306,7257,86.9,16575,1657,430,49,149,661,663,185,62,49.9,22539,782,385,49.2,302,38.6
