"Squad","Progression_Carries","Progression_Passes","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Possession","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Arsenal",510,907,11424,15090,75.7,5278,6079,86.8,1174,2519,46.6,4656,5577,83.5,13335,1672,407,51,99,510,662,139,83,40.1,19203,587,260,44.3,249,42.4
"Aston Villa",608,1323,14277,18089,78.9,6523,7424,87.9,1554,2778,55.9,5885,6859,85.8,16219,1754,446,95,180,689,765,211,116,50.6,22019,732,336,45.9,312,42.6
"Bournemouth",810,1988,18709,22764,82.2,8431,9452,89.2,1777,2972,59.8,8068,9207,87.6,20999,1700,403,54,126,930,732,271,65,59.9,26820,705,358,50.8,256,36.3
"Brentford",741,1540,15959,20073,79.5,7989,8970,89.1,1318,2713,48.6,6154,7254,84.8,18299,1713,403,63,112,781,715,214,61,56.6,24215,689,346,50.2,253,36.7
"Brighton",527,1026,11658,15116,77.1,5500,6255,87.9,1061,2361,44.9,4775,5646,84.6,13420,1653,473,44,69,444,607,134,43,39.5,19339,646,295,45.7,266,41.2
"Chelsea",593,1203,12591,16256,77.5,5875,6743,87.1,1242,2398,51.8,5133,6094,84.2,14458,1748,456,41,83,591,744,182,50,41,20668,746,323,43.3,333,44.6
"Crystal Palace",590,1592,16316,20332,80.2,7628,8660,88.1,1522,2746,55.4,6712,7780,86.3,18512,1750,484,50,140,682,763,176,70,53.9,24639,622,251,40.4,281,45.2
"Everton",752,1678,17041,21204,80.4,7993,9020,88.6,1559,2848,54.7,7025,8188,85.8,19286,1864,438,51,153,758,846,238,54,57.4,25326,702,310,44.2,309,44
"Fulham",559,1406,15001,19010,78.9,6992,8025,87.1,1459,2750,53.1,6190,7186,86.1,17219,1703,438,76,137,608,720,204,88,51.3,23236,684,289,42.3,299,43.7
"Leeds United",596,1469,15111,19538,77.3,6666,7739,86.1,1516,2885,52.5,6577,7786,84.5,17541,1911,492,69,131,612,866,182,86,53.1,24304,973,451,46.4,412,42.3
"Leicester City",721,1575,16629,20664,80.5,7582,8521,89,1633,2896,56.4,6972,8068,86.4,18816,1770,461,75,157,712,756,236,78,52.4,24726,779,369,47.4,308,39.5
"Liverpool",506,1101,11949,15970,74.8,5604,6558,85.5,1275,2707,47.1,4725,5743,82.3,14167,1715,466,76,122,515,677,134,88,38.9,20606,754,370,49.1,281,37.3
"Manchester City",434,860,11294,14441,78.2,5050,5740,88,1161,2406,48.3,4772,5482,87,12946,1423,382,30,104,395,489,97,72,34.7,18167,531,250,47.1,212,39.9
"Manchester Utd",697,1355,13767,17675,77.9,6443,7404,87,1365,2622,52.1,5597,6630,84.4,15911,1721,476,45,105,670,651,207,43,46,21993,720,300,41.7,300,41.7
"Newcastle Utd",600,1201,12444,16389,75.9,5805,6626,87.6,1271,2745,46.3,5082,6095,83.4,14572,1761,460,49,116,564,717,162,56,47.6,20772,733,335,45.7,307,41.9
"Nott'ham Forest",813,1904,18444,22551,81.8,8568,9564,89.6,1577,2845,55.4,7833,8956,87.5,20654,1839,477,79,123,817,816,239,58,62.8,26489,702,293,41.7,296,42.2
"Southampton",653,1735,16376,20617,79.4,7450,8538,87.3,1618,2893,55.9,6901,8048,85.7,18768,1796,471,78,164,686,802,208,53,55.6,24922,691,315,45.6,297,43
"Tottenham",685,1516,16079,19765,81.4,7658,8556,89.5,1511,2800,54,6515,7425,87.7,18051,1667,467,58,123,665,648,196,47,50.1,24011,659,299,45.4,275,41.7
"West Ham",805,1721,18872,22778,82.9,9153,10097,90.7,1503,2780,54.1,7696,8790,87.6,21093,1640,406,75,126,730,691,195,45,58.2,27046,656,293,44.7,270,41.2
"Wolves",703,1596,14585,18284,79.8,6776,7682,88.2,1388,2572,54,6056,7032,86.1,16482,1765,493,61,140,735,755,203,37,49.8,22412,713,331,46.4,285,40
