"Squad","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Arsenal",88,113,56.9,4,10.5,0,0
"Aston Villa",51,99,67.6,8,21.1,0,0
"Bournemouth",37,89,70.6,18,47.4,0,NA
"Brentford",58,98,67.1,9,23.7,1,12.5
"Brighton",72,157,70.7,5,13.2,0,0
"Chelsea",38,116,77.3,14,36.8,0,0
"Crystal Palace",40,96,71.1,16,42.1,1,50
"Everton",34,114,78.8,14,36.8,0,0
"Fulham",55,90,65.5,9,23.7,3,37.5
"Leeds United",48,97,67.1,10,26.3,1,50
"Leicester City",51,96,67.6,12,31.6,3,50
"Liverpool",75,134,64.4,8,21.1,0,0
"Manchester City",94,122,60.3,3,7.9,0,0
"Manchester Utd",58,153,73.7,7,18.4,0,0
"Newcastle Utd",68,126,67.4,11,28.9,0,0
"Nott'ham Forest",38,78,70.1,12,31.6,3,50
"Southampton",36,98,75,15,39.5,2,50
"Tottenham",70,123,66.1,4,10.5,1,16.7
"West Ham",42,98,74.5,13,34.2,2,25
"Wolves",31,94,77,15,39.5,0,0
