"Squad","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Arsenal",51,0,0,0,373
"Aston Villa",80,1,0,1,417
"Bournemouth",68,0,0,0,391
"Brentford",57,1,1,2,354
"Brighton",58,0,0,0,427
"Chelsea",81,3,2,5,397
"Crystal Palace",82,3,2,5,446
"Everton",81,2,1,3,396
"Fulham",80,1,0,1,411
"Leeds United",89,3,2,5,467
"Leicester City",63,2,2,4,410
"Liverpool",57,1,0,1,405
"Manchester City",44,1,0,1,347
"Manchester Utd",78,2,0,2,424
"Newcastle Utd",61,1,0,1,406
"Nott'ham Forest",84,0,0,0,445
"Southampton",73,0,0,0,430
"Tottenham",77,3,1,4,424
"West Ham",44,0,0,0,362
"Wolves",85,6,1,7,463
