"Squad","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Arsenal",568,343,60.387323943662,509,509,48.9,362,86,276,237,599,23
"Aston Villa",632,338,53.4810126582278,648,648,48.1,438,118,320,324,714,14
"Bournemouth",618,371,60.0323624595469,614,614,41.7,499,170,329,353,1027,11
"Brentford",588,338,57.4829931972789,599,599,42.2,456,168,288,341,822,14
"Brighton",616,340,55.1948051948052,561,561,47.4,392,104,288,303,432,15
"Chelsea",740,445,60.1351351351351,656,656,50.8,466,108,358,341,661,21
"Crystal Palace",690,421,61.0144927536232,532,532,52.8,463,119,344,359,807,7
"Everton",708,424,59.8870056497175,619,619,49.9,510,180,330,390,874,17
"Fulham",625,350,56,588,588,50.9,455,125,330,340,749,15
"Leeds United",840,480,57.1428571428571,863,863,47.7,536,131,405,392,734,18
"Leicester City",699,412,58.9413447782547,677,677,45.5,517,170,347,367,777,12
"Liverpool",590,370,62.7118644067797,651,651,43.2,350,74,276,333,568,20
"Manchester City",471,272,57.7494692144374,462,462,45.9,339,95,244,223,402,9
"Manchester Utd",657,400,60.882800608828,600,600,50,496,146,350,352,771,11
"Newcastle Utd",607,360,59.3080724876442,642,642,47.8,448,116,332,333,680,10
"Nott'ham Forest",659,387,58.7253414264036,589,589,50.3,500,156,344,349,944,7
"Southampton",714,426,59.6638655462185,612,612,48.5,542,165,377,427,852,11
"Tottenham",619,353,57.0274636510501,574,574,47.9,428,148,280,340,762,20
"West Ham",608,336,55.2631578947368,563,563,48,415,139,276,408,810,10
"Wolves",660,370,56.0606060606061,616,616,46.3,497,175,322,279,817,19
