"Squad","Total_Goals_Scored","Total_Goals_Conceded","Goal_Difference","Home_Goals_Scored","Home_Goals_Conceded","Home_Goal_Difference","Away_Goals_Scored","Away_Goals_Conceded","Away_Goal_Difference","Assists","Goals+Assists","Penalty_Attempted","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Arsenal",88,43,45,53,25,28,35,18,17,64,148,4,3,589,194,32.9,0.14,0.42,16,16,1045,776,269,150,121,29
"Aston Villa",51,46,5,33,21,12,18,25,-7,35,84,4,3,427,145,34,0.11,0.32,18,18,751,565,186,84,55,29
"Bournemouth",37,71,-34,20,28,-8,17,43,-26,24,61,0,0,358,126,35.2,0.1,0.29,15.5,14,616,444,172,64,44,20
"Brentford",58,46,12,35,18,17,23,28,-5,36,92,8,7,400,147,36.8,0.12,0.33,15.7,14,702,475,227,98,65,33
"Brighton",72,53,19,37,21,16,35,32,3,46,114,6,6,607,219,36.1,0.1,0.28,16.8,12,1075,819,256,115,83,32
"Chelsea",38,47,-9,20,19,1,18,28,-10,27,64,3,3,481,151,31.4,0.07,0.23,16.8,10,859,667,192,68,57,11
"Crystal Palace",40,49,-9,21,23,-2,19,26,-7,29,67,3,1,423,133,31.4,0.09,0.28,17.6,23,746,497,249,67,43,24
"Everton",34,57,-23,16,27,-11,18,30,-12,24,56,3,3,426,143,33.6,0.07,0.2,16.8,12,735,493,242,59,41,18
"Fulham",55,53,2,31,29,2,24,24,0,33,85,9,5,420,137,32.6,0.11,0.34,17.3,17,751,528,223,90,56,34
"Leeds United",48,78,-30,26,37,-11,22,41,-19,31,76,3,1,459,141,30.7,0.1,0.31,16.6,19,783,535,248,69,43,26
"Leicester City",51,68,-17,23,27,-4,28,41,-13,36,85,6,3,412,142,34.5,0.11,0.32,17.7,14,744,540,204,87,59,28
"Liverpool",75,47,28,46,17,29,29,30,-1,58,129,4,2,601,203,33.8,0.11,0.34,16.2,7,1046,778,268,129,97,32
"Manchester City",94,33,61,60,17,43,34,16,18,69,161,10,9,590,205,34.7,0.14,0.4,16.6,20,1099,826,273,168,130,38
"Manchester Utd",58,43,15,36,10,26,22,33,-11,42,98,3,3,590,206,34.9,0.09,0.26,17.8,20,1051,840,211,99,79,20
"Newcastle Utd",68,33,35,36,14,22,32,19,13,42,106,6,6,565,184,32.6,0.1,0.32,15.6,15,1008,690,318,106,64,42
"Nott'ham Forest",38,68,-30,27,24,3,11,44,-33,22,58,6,3,362,111,30.7,0.09,0.3,17.2,9,593,416,177,54,31,23
"Southampton",36,73,-37,19,37,-18,17,36,-19,25,61,4,2,413,132,32,0.08,0.26,18.1,17,718,493,225,61,35,26
"Tottenham",70,63,7,37,25,12,33,38,-5,46,114,6,5,512,186,36.3,0.12,0.34,16.7,14,910,692,218,116,84,32
"West Ham",42,55,-13,26,24,2,16,31,-15,25,66,8,6,466,133,28.5,0.08,0.26,17.3,13,817,586,231,67,41,26
"Wolves",31,58,-27,19,20,-1,12,38,-26,12,40,3,3,409,119,29.1,0.06,0.21,18,18,713,520,193,44,32,12
