"Player","Squad","Nation","Pos","Pos2","Age","Assists","Goals+Assists","Penalty_Attempted","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Aaron Leya Iseka","Toulouse","BEL","FW",NA,21,0,2,2,1,24,9,37.5,0.04,0.11,14.9,0,21,13,8,2,0,2
"Abdallah N'dour","Strasbourg","SEN","DF",NA,25,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,10,9,1,0,0,0
"Abdou Diallo","Paris S-G","SEN","DF",NA,23,1,1,0,0,5,2,40,0,0,7.4,0,11,8,3,1,1,0
"Abdoul Kader Bamba","Nantes","FRA","FW","MF",25,3,4,0,0,19,9,47.4,0.05,0.11,20.1,0,74,46,28,6,2,4
"Abdoulaye Bamba","Angers","CIV","DF",NA,29,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,6,6,0,0,0,0
"Abdoulaye Touré","Nantes","GUI","MF",NA,25,0,3,2,2,32,8,25,0.03,0.13,26.6,0,41,24,17,2,1,1
"Abdul Majeed Waris","Strasbourg","GHA","FW",NA,27,1,3,0,0,6,2,33.3,0.33,1,15.5,0,8,7,1,2,2,0
"Abou Ouattara","Lille","BFA","FW",NA,19,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Adam Ounas","Nice","ALG","FW","MF",22,4,6,0,0,21,9,42.9,0.1,0.22,17.9,1,53,35,18,5,4,1
"Adama Soumaoro","Lille","FRA","DF",NA,27,0,1,0,0,4,2,50,0.25,0.5,7.7,0,4,3,1,1,0,1
"Adama Traoré","Metz","MLI","FW","MF",24,4,5,0,0,17,4,23.5,0.06,0.25,25.3,7,0,0,0,0,0,0
"Adama Traoré","Metz","MLI","FW","MF",24,4,5,0,0,17,4,23.5,0.06,0.25,25.3,7,61,40,21,4,3,1
"Adama Traoré","Monaco","MLI","MF",NA,24,0,0,0,0,17,4,23.5,0.06,0.25,25.3,7,0,0,0,0,0,0
"Adama Traoré","Monaco","MLI","MF",NA,24,0,0,0,0,17,4,23.5,0.06,0.25,25.3,7,61,40,21,4,3,1
"Adil Aouchiche","Paris S-G","FRA","MF",NA,17,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,1,1,0,0,0
"Adil Taoui","Toulouse","FRA","MF",NA,17,0,0,0,0,1,1,100,0,0,27.2,1,0,0,0,0,0,0
"Adrien Hunou","Rennes","FRA","FW","MF",25,1,9,1,1,27,14,51.9,0.26,0.5,11.7,0,35,23,12,6,3,3
"Adrien Lebeau","Strasbourg","FRA","MF","FW",20,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Adrien Silva","Monaco","POR","MF",NA,30,2,2,0,0,14,3,21.4,0,0,26.5,4,37,24,13,3,1,2
"Adrien Tameze","Nice","CMR","MF",NA,25,0,1,0,0,5,1,20,0.2,1,14.8,0,10,10,0,1,1,0
"Adrien Thomasson","Strasbourg","FRA","MF","FW",25,1,9,0,0,50,18,36,0.16,0.44,16.4,0,85,64,21,7,6,1
"Agustín Rogel","Toulouse","URU","DF",NA,21,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,6,4,2,1,0,1
"Ahmad Ngouyamsa","Dijon","CHA","DF",NA,18,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,0,1
"Alaixys Romao","Reims","TOG","MF",NA,35,0,0,0,0,12,2,16.7,0,0,18.9,0,42,36,6,2,1,1
"Alban Lafont","Nantes","FRA","GK",NA,20,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,1,1,0,0,0
"Albert Lottin","Bordeaux","FRA","MF",NA,17,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Aleksandr Golovin","Monaco","RUS","MF",NA,23,4,7,0,0,38,14,36.8,0.08,0.21,21.3,1,92,47,45,11,8,3
"Alexander Djiku","Strasbourg","GHA","DF","MF",24,1,2,0,0,20,7,35,0.05,0.14,18.1,0,19,17,2,1,1,0
"Alexandre Mendy","Brest","GNB","FW",NA,25,1,4,1,0,28,9,32.1,0.11,0.33,13.8,0,16,9,7,3,2,1
"Alexandre Oukidja","Metz","ALG","GK",NA,31,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,7,5,2,1,0,1
"Alexis Blin","Amiens","FRA","MF",NA,22,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,16,12,4,1,1,0
