"Player","Squad","Nation","Pos","Pos2","Age","Born","Total_Match_Played","Total_Playing_Time","Minutes_Per_Match_Played","Percent_of_Squad_Minutes_Played","Matches_Started","Minutes_Per_Match_Start","Complete_Matches_PLayed","Matches_Played_As_Substitute","Minutes_Per_Match_Substitute","Player_Points_Per_Match","Player_On_Pitch_Squad_Goals","Player_On_Pitch_Goals_Allowed","Weekly_Wages","Annual_Wages"
"Aaron Leya Iseka","Toulouse","BEL","FW",NA,21,1997,22,777,35,30.8,6,81,2,16,18,0.27,5,25,11538,6e+05
"Abdallah N'dour","Strasbourg","SEN","DF",NA,25,1993,6,373,62,15.3,4,88,2,2,10,1.17,1,4,7308,380000
"Abdou Diallo","Paris S-G","SEN","DF",NA,23,1996,16,1201,75,49.4,14,80,10,2,42,2.44,27,9,96154,5e+06
"Abdoul Kader Bamba","Nantes","FRA","FW","MF",25,1994,27,1468,54,58.3,16,82,5,11,15,1.37,19,14,6346,330000
"Abdoulaye Bamba","Angers","CIV","DF",NA,29,1990,7,554,79,22,6,90,6,1,13,2.14,9,3,9615,5e+05
"Abdoulaye Touré","Nantes","GUI","MF",NA,25,1994,27,2221,82,88.1,24,89,22,3,29,1.37,23,24,9231,480000
"Abdul Majeed Waris","Strasbourg","GHA","FW",NA,27,1991,7,371,53,15.3,4,81,1,3,15,1.57,6,3,18269,950000
"Adam Ounas","Nice","ALG","FW","MF",22,1996,16,1123,70,44.6,14,76,4,2,30,1.69,20,15,32115,1670000
"Adama Soumaoro","Lille","FRA","DF",NA,27,1992,6,415,69,16.5,4,90,4,2,27,1.67,7,5,34423,1790000
"Adama Traoré","Metz","MLI","FW","MF",24,1995,15,1007,67,40,12,79,5,3,18,1.2,11,11,25385,1320000
"Adama Traoré","Metz","MLI","FW","MF",24,1995,15,1007,67,40,12,79,5,3,18,1.2,11,11,2115,110000
"Adrien Hunou","Rennes","FRA","FW","MF",25,1994,23,1210,53,48,13,80,4,10,17,1.74,21,12,15577,810000
"Adrien Silva","Monaco","POR","MF",NA,30,1989,22,1221,56,48.5,13,86,9,9,12,1.64,21,15,98654,5130000
"Adrien Tameze","Nice","CMR","MF",NA,25,1994,8,519,65,20.6,6,81,4,2,18,1.25,8,11,13462,7e+05
"Adrien Thomasson","Strasbourg","FRA","MF","FW",25,1993,25,2072,83,85.3,24,86,13,1,18,1.52,28,25,9038,470000
"Agustín Rogel","Toulouse","URU","DF",NA,21,1997,10,858,86,34,9,89,8,1,60,0.1,5,20,13846,720000
"Alaixys Romao","Reims","TOG","MF",NA,35,1984,22,1781,81,70.7,21,84,16,1,11,1.41,15,13,10577,550000
"Aleksandr Golovin","Monaco","RUS","MF",NA,23,1996,25,2061,82,81.8,24,85,15,1,26,1.44,35,34,53846,2800000
"Alexander Djiku","Strasbourg","GHA","DF","MF",24,1994,25,2064,83,84.9,23,88,22,2,19,1.52,29,24,6923,360000
"Alexandre Mendy","Brest","GNB","FW",NA,25,1994,20,899,45,35.7,9,74,2,11,21,1.05,13,16,16923,880000
"Alexis Blin","Amiens","FRA","MF",NA,22,1996,24,1841,77,73.1,21,85,14,3,18,0.92,24,33,9038,470000
"Alexis Claude-Maurice","Nice","FRA","FW","MF",21,1998,22,1629,74,64.6,19,83,12,3,14,1.41,25,25,7885,410000
"Álvaro González","Marseille","ESP","DF",NA,29,1990,20,1628,81,64.6,19,84,17,1,27,2.25,30,17,16923,880000
"Anastasios Donis","Reims","GRE","FW",NA,22,1996,15,609,41,24.2,6,66,0,9,23,1.33,5,5,15000,780000
"Ander Herrera","Paris S-G","ESP","MF","DF",29,1989,8,547,68,22.5,6,85,4,2,18,2.38,17,7,180000,9360000
"Andy Pelmard","Nice","FRA","DF",NA,19,2000,10,766,77,30.4,8,89,6,2,28,1,8,14,2308,120000
"Ángel Di María","Paris S-G","ARG","FW","MF",31,1988,26,2000,77,82.3,23,83,15,3,27,2.5,63,20,255769,13300000
"Angelo Fulgini","Angers","FRA","MF",NA,22,1996,20,1579,79,62.7,19,82,12,1,29,1.35,12,17,9231,480000
"Anthony Briançon","Nîmes","FRA","DF",NA,24,1994,22,1737,79,68.9,20,86,17,2,9,0.91,15,31,8077,420000
"Anthony Limbombe","Nantes","BEL","FW","MF",25,1994,4,151,38,6,2,66,0,2,10,1,2,1,17308,9e+05
"Antonin Bobichon","Angers","FRA","MF",NA,23,1995,11,649,59,25.8,8,71,1,3,26,1.73,6,6,2308,120000
"Arnaud Lusamba","Nice","COD","MF","FW",22,1997,15,982,65,39,11,83,5,4,18,1.4,14,14,5000,260000
"Arnaud Nordin","Saint-Étienne","FRA","FW","MF",21,1998,18,908,50,36,9,83,4,9,18,1.28,9,15,6538,340000
"Arnaud Souquet","Montpellier","FRA","DF","FW",27,1992,24,2016,84,80,22,89,21,2,27,1.42,26,24,17500,910000
"Assane Dioussé","Saint-Étienne","SEN","MF",NA,21,1997,4,120,30,4.8,1,93,1,3,9,2,2,2,10577,550000
"Aurélien Tchouaméni","Bordeaux","FRA","MF",NA,19,2000,15,1110,74,44,13,83,8,2,17,1.6,21,13,5769,3e+05
"Baptiste Reynet","Toulouse","FRA","GK",NA,28,1990,23,2035,88,80.8,22,90,22,1,54,0.52,22,49,20769,1080000
"Bassem Srarfi","Nice","TUN","FW","MF",22,1997,3,133,44,5.3,1,76,0,2,29,2,2,2,10385,540000
"Benjamin André","Lille","FRA","MF",NA,28,1990,26,2054,79,81.5,23,87,19,3,14,1.88,30,21,18462,960000
"Benjamin Bourigeaud","Rennes","FRA","MF",NA,25,1994,25,1903,76,75.5,21,86,16,4,23,1.84,29,20,17115,890000
"Benjamin Corgnet","Strasbourg","FRA","MF","FW",32,1987,6,261,44,10.7,3,82,1,3,5,1.5,1,4,11538,6e+05
"Benjamin Henrichs","Monaco","GER","DF","MF",22,1997,13,890,68,35.3,10,86,8,3,9,1.31,11,19,43462,2260000
"Bertrand Traoré","Lyon","BFA","FW","MF",23,1995,23,1253,54,49.7,14,75,4,9,22,1.35,28,11,69038,3590000
"Bongani Zungu","Amiens","RSA","MF",NA,26,1992,21,992,47,39.4,10,86,6,11,12,0.9,16,29,5769,3e+05
"Boubakary Soumaré","Lille","FRA","MF",NA,20,1999,20,1213,61,48.1,15,77,7,5,11,1.4,12,19,2308,120000
"Boulaye Dia","Reims","SEN","FW",NA,22,1996,24,1812,76,71.9,21,82,12,3,28,1.5,20,17,1538,80000
"Bouna Sarr","Marseille","SEN","DF","FW",27,1992,27,2164,80,85.9,25,85,17,2,21,2.04,35,24,36731,1910000
"Brendan Chardonnet","Brest","FRA","DF",NA,24,1994,12,823,69,32.7,9,88,8,3,11,1.25,7,13,1923,1e+05
"Bryan Soumaré","Dijon","FRA","MF","FW",20,1999,12,384,32,15.2,4,69,1,8,13,0.58,3,3,769,40000
"Casimir Ninga","Angers","CHA","MF","FW",26,1993,16,683,43,27.1,6,75,2,10,23,1.31,8,9,9231,480000
"Cesc Fàbregas","Monaco","ESP","MF",NA,32,1987,18,930,52,36.9,12,72,2,6,11,1.56,22,21,121538,6320000
"Chadrac Akolo","Amiens","COD","FW","MF",24,1995,15,544,36,21.6,5,65,0,10,22,0.87,7,16,19231,1e+06
"Christophe Hérelle","Nice","MTQ","DF",NA,26,1992,15,1103,74,43.8,13,80,8,2,33,1.53,19,15,5769,3e+05
"Christophe Jallet","Amiens","FRA","DF",NA,35,1983,12,855,71,33.9,10,83,8,2,14,0.75,9,15,17308,9e+05
"Clément Grenier","Rennes","FRA","MF",NA,28,1991,11,839,76,33.3,10,82,6,1,16,1.27,9,9,46538,2420000
"Colin Dagba","Paris S-G","FRA","DF",NA,20,1998,10,668,67,27.5,7,86,6,3,22,2.4,17,4,2885,150000
"Cristian Battocchio","Brest","ITA","MF",NA,27,1992,24,1392,58,55.2,16,81,9,8,11,1.38,22,21,3269,170000
"Cristian Benavente","Nantes","PER","MF","FW",25,1994,12,349,29,13.8,4,68,0,8,10,1.5,5,4,38846,2020000
"Daniel Congré","Montpellier","FRA","DF",NA,34,1985,24,1941,81,77,23,84,20,1,1,1.46,25,26,13846,720000
"Danilo Barbosa","Nice","BRA","DF","MF",23,1996,16,1122,70,44.5,12,89,11,4,15,1.38,17,15,16154,840000
"Danilo Barbosa","Nice","BRA","DF","MF",23,1996,16,1122,70,44.5,12,89,11,4,15,1.38,17,15,16154,840000
"Darío Benedetto","Marseille","ARG","FW",NA,29,1990,26,2101,81,83.4,25,83,10,1,17,1.92,33,24,69038,3590000
"Denis Bouanga","Saint-Étienne","GAB","FW","MF",24,1994,26,2042,79,81,23,85,16,3,31,1.15,26,34,6731,350000
"Dennis Appiah","Nantes","FRA","DF",NA,27,1992,19,1605,84,63.7,18,88,16,1,28,1.37,16,16,20000,1040000
"Dénys Bain","Brest","FRA","DF",NA,26,1993,15,1268,85,50.3,13,88,12,2,59,1.27,16,15,4615,240000
"Dereck Kutesa","Reims","SUI","FW","MF",21,1997,14,528,38,21,4,79,1,10,21,0.71,2,7,6346,330000
"Dimitri Liénard","Strasbourg","FRA","MF",NA,31,1988,22,1489,68,61.3,16,85,11,6,22,1.45,24,23,12115,630000
"Domagoj Bradarić","Lille","CRO","DF",NA,19,1999,18,1419,79,56.3,16,88,14,2,3,1.94,22,15,10769,560000
"Donovan Léon","Brest","GUF","GK",NA,26,1992,2,123,62,4.9,1,91,1,1,32,1.5,3,3,2308,120000
"Duje Ćaleta-Car","Marseille","CRO","DF",NA,22,1996,23,1886,82,74.8,20,90,20,3,28,2.04,29,22,43654,2270000
"Eddy Gnahoré","Amiens","FRA","MF",NA,25,1993,17,1133,67,45,14,79,8,3,10,0.88,14,21,2885,150000
"Edinson Cavani","Paris S-G","URU","FW",NA,32,1987,14,605,43,24.9,7,73,3,7,13,2.29,15,9,354231,18420000
"Eduardo Camavinga","Rennes","FRA","MF",NA,16,2002,25,2107,84,83.6,24,87,18,1,25,1.96,32,21,15769,820000
"Efthimis Koulouris","Toulouse","GRE","FW",NA,23,1996,24,1541,64,61.2,17,80,8,7,26,0.54,18,29,15000,780000
"Elie Youan","Nantes","FRA","FW","MF",20,1999,5,163,33,6.5,2,69,0,3,8,0,0,4,2500,130000
"Enock Kwateng","Bordeaux","FRA","DF",NA,22,1997,14,983,70,39,13,75,8,1,10,1.86,16,11,3846,2e+05
"Enzo Loiodice","Dijon","FRA","MF",NA,18,2000,5,192,38,7.6,2,76,1,3,13,0.6,0,2,3269,170000
"Eric Maxim Choupo-Moting","Paris S-G","CMR","FW","MF",30,1989,9,451,50,18.6,5,69,1,4,26,2.67,11,1,45000,2340000
"Farid Boulaya","Metz","ALG","FW",NA,26,1993,19,821,43,32.6,8,80,1,11,16,1.21,10,12,7115,370000
"Farid El Melali","Angers","ALG","MF","FW",22,1997,8,306,38,12.1,4,65,0,4,12,2.13,6,1,3462,180000
"Flavien Tait","Rennes","FRA","MF","FW",26,1993,17,885,52,35.1,9,82,5,8,18,1.65,14,9,13846,720000
"Florent Balmont","Dijon","FRA","MF",NA,39,1980,11,401,36,15.9,4,74,2,7,15,1.45,2,4,10385,540000
"Florent Mollet","Montpellier","FRA","MF","FW",27,1991,25,1684,67,66.8,19,82,10,6,21,1.44,28,25,6923,360000
"Florian Miguel","Nîmes","FRA","DF",NA,22,1996,24,2056,86,81.6,23,88,18,1,35,1.08,23,34,5000,260000
"Fodé Ballo-Touré","Monaco","SEN","DF",NA,22,1997,21,1679,80,66.6,18,90,18,3,19,1.24,29,38,4808,250000
"Fouad Chafik","Dijon","MAR","DF",NA,32,1986,20,1528,76,60.6,18,84,14,2,6,1.2,18,20,9808,510000
"Fousseni Diabaté","Amiens","MLI","FW","MF",23,1995,20,1190,60,47.2,15,74,1,5,17,0.8,14,26,17500,910000
"Franck Honorat","Saint-Étienne","FRA","FW","DF",22,1996,12,849,71,33.7,9,83,6,3,35,0.92,14,15,5577,290000
"François Kamano","Bordeaux","GUI","DF","MF",23,1996,11,648,59,25.7,7,84,4,4,15,1.36,9,8,23077,1200000
"Frédéric Sammaritano","Dijon","FRA","MF","FW",33,1986,10,518,52,20.6,6,66,0,4,31,1.1,8,10,5769,3e+05
"Gabriel Boschilia","Monaco","BRA","MF","FW",23,1996,5,130,26,5.2,1,58,0,4,18,1.4,1,4,35577,1850000
"Gabriel Magalhães","Lille","BRA","DF",NA,21,1997,24,2087,87,82.8,23,89,22,1,31,1.88,30,21,6538,340000
"Gabriel Silva","Saint-Étienne","BRA","DF",NA,28,1991,4,231,58,9.2,3,75,2,1,5,1,2,6,13462,7e+05
"Gaël Kakuta","Amiens","COD","MF","FW",28,1991,24,2001,83,79.4,23,85,13,1,37,0.92,23,35,16154,840000
"Gaëtan Belaud","Brest","FRA","DF",NA,32,1986,7,580,83,23,6,89,5,1,45,1.14,5,7,3077,160000
"Gaëtan Charbonnier","Brest","FRA","FW","MF",30,1988,26,2065,79,81.9,23,87,17,3,24,1.31,31,29,10385,540000
"Gaëtan Laborde","Montpellier","FRA","FW",NA,25,1994,28,2237,80,88.8,27,82,13,1,29,1.43,32,26,20769,1080000
