"Player","Squad","Nation","Pos","Pos2","Age","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Yunis Abdelhamid","Reims","MAR","DF",NA,31,0,0,0,0,21
"Mehdi Abeid","Nantes","ALG","MF",NA,26,5,0,0,0,55
"Charles Abi","Saint-Étienne","FRA","FW",NA,19,2,0,0,0,16
"Amine Adli","Toulouse","MAR","MF","FW",19,1,0,0,0,2
"Yacine Adli","Bordeaux","FRA","MF",NA,19,3,0,0,0,13
"Nayef Aguerd","Dijon","MAR","DF",NA,23,2,0,0,0,13
"Ruben Aguilar","Monaco","FRA","DF",NA,26,2,2,0,2,10
"Jean-Eudes Aholou","Saint-Étienne","CIV","MF",NA,25,3,1,0,1,11
"Youssef Aït Bennasser","Bordeaux","MAR","MF",NA,23,1,0,0,0,10
"Rayan Aït-Nouri","Angers","ALG","DF",NA,18,3,0,0,0,12
"Ludovic Ajorque","Strasbourg","FRA","FW",NA,25,3,0,0,0,38
"Marley Aké","Marseille","FRA","FW","MF",18,1,0,0,0,3
"Chadrac Akolo","Amiens","COD","FW","MF",24,1,0,0,0,9
"Sofiane Alakouch","Nîmes","MAR","DF",NA,21,3,0,0,0,14
"Haitam Aleesami","Amiens","NOR","DF",NA,28,4,0,0,0,31
"Rúnar Alex Rúnarsson","Dijon","ISL","GK",NA,24,0,0,0,0,0
"Rachid Alioui","Angers","MAR","FW",NA,27,1,0,0,0,24
"Mickaël Alphonse","Dijon","GLP","DF",NA,30,2,0,0,0,16
"Romain Amalfitano","Dijon","FRA","MF",NA,29,5,0,0,0,26
"Jordan Amavi","Marseille","FRA","DF",NA,25,9,0,0,0,41
"Thierry Ambrose","Metz","GLP","FW",NA,22,1,0,0,0,7
"Kelvin Amian","Toulouse","FRA","DF",NA,21,3,0,0,0,23
"Joachim Andersen","Lyon","DEN","DF",NA,23,3,0,0,0,17
"Benjamin André","Lille","FRA","MF",NA,28,6,0,0,0,55
"Victorien Angban","Metz","CIV","MF",NA,22,0,0,0,0,18
"Houssem Aouar","Lyon","ALG","MF","FW",21,3,0,0,0,24
"Dennis Appiah","Nantes","FRA","DF",NA,27,2,0,0,0,26
"Luiz Araújo","Lille","BRA","FW","MF",23,1,0,0,0,13
"Youcef Atal","Nice","ALG","FW","DF",23,5,0,0,0,15
"Jean-Kévin Augustin","Monaco","FRA","FW",NA,22,0,0,0,0,2
"Mathias Autret","Brest","FRA","MF","FW",28,3,0,0,0,14
"Ludovic Baal","Brest","GUF","DF",NA,33,1,0,0,0,10
"Benoît Badiashile","Monaco","FRA","DF",NA,18,0,0,0,0,19
"Bastian Badu","Montpellier","FRA","FW",NA,19,0,0,0,0,0
"Stéphane Bahoken","Angers","CMR","FW",NA,27,3,0,0,0,24
"Dénys Bain","Brest","FRA","DF",NA,26,3,1,0,1,7
"Tiemoué Bakayoko","Monaco","FRA","MF",NA,24,4,1,0,1,34
"Mitchel Bakker","Paris S-G","NED","DF",NA,19,1,0,0,0,1
"Keita Baldé","Monaco","SEN","FW","MF",24,4,0,0,0,12
"Fodé Ballo-Touré","Monaco","SEN","DF",NA,22,4,0,0,0,17
"Florent Balmont","Dijon","FRA","MF",NA,39,1,0,0,0,4
"Abdoulaye Bamba","Angers","CIV","DF",NA,29,2,0,0,0,4
"Jonathan Bamba","Lille","CIV","FW","MF",23,1,0,0,0,15
"Danilo Barbosa","Nice","BRA","DF","MF",23,4,0,0,0,16
"Melvin Bard","Lyon","FRA","DF",NA,18,0,0,0,0,0
"Toma Bašić","Bordeaux","CRO","MF",NA,22,4,0,0,0,13
"Thomas Basila","Nantes","FRA","DF",NA,20,1,0,0,0,3
"Gil Bastião Dias","Monaco","POR","DF","MF",22,3,0,0,0,13
"Cristian Battocchio","Brest","ITA","MF",NA,27,1,0,0,0,9
"Gaëtan Belaud","Brest","FRA","DF",NA,32,0,0,0,0,6
